FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,SEA_WARN_AREA,LOC_WARN_AREA,TRAVEL1,TRAVEL2,TRAVEL3,TRAVEL4,TRAVEL5
BSSW,BSSW1,가덕도,외양포,128.825748,35.006929,357,424,167,129,142,180,219,239,4,166,180,94,72,부산앞바다,부산,문화체험,-,-,-,-
BSSW,BSSW2,가덕도,가덕도등대,128.826475,35.010206,357,424,168,131,142,180,219,239,4,166,180,94,72,부산앞바다,부산,문화체험,-,-,-,-
BSSW,BSSW3,가덕도,대항어촌체험마을,128.827679,35.011669,357,424,168,131,142,180,219,239,4,166,180,94,72,부산앞바다,부산,어촌체험,-,-,-,-
BSSW,BSSW4,가덕도,외양포항,128.823386,35.005691,358,424,167,131,142,180,219,239,4,166,180,93,72,부산앞바다,부산,바다낚시,문화체험,-,-,-
BSSW,BSSW5,가덕도,대항항,128.826415,35.012281,358,424,168,128,142,180,219,239,4,166,180,94,72,부산앞바다,부산,바다낚시,-,-,-,-
BSSW,BSSW6,가덕도,가덕도갈맷길,128.835004,35.06573,357,426,169,129,142,181,220,232,4,166,179,94,73,부산앞바다,부산,트래킹,-,-,-,-
BSSW,BSSW7,가덕도,천성항,128.814859,35.028204,358,425,166,131,142,180,218,237,4,166,180,93,72,부산앞바다,부산,바다낚시,-,-,-,-
BSSW,BSSW8,가덕도,가거해저터널,128.792015,35.019174,356,424,167,131,142,180,215,238,4,166,180,93,72,부산앞바다,부산,드라이브,-,-,-,-
BSSW,BSSW9,사하구,을숙도공원,128.947329,35.111637,361,428,169,125,143,181,234,227,4,167,179,96,74,부산앞바다,부산,문화체험,-,-,-,-
BSSW,BSSW10,사하구,다대포해수욕장,128.966177,35.046894,361,425,171,129,144,179,236,234,4,168,180,96,73,부산앞바다,부산,해수욕,서핑,-,-,-
