WARN1,WARN2,RAIN,SKY,TEMP,WSPD,SST,WAVE,MUL,CURRENT,CARNIVAL
해수욕,해수욕,해수욕,해수욕,해수욕,해수욕,해수욕,해수욕,-,-,해수욕
바다낚시,바다낚시,바다낚시,바다낚시,바다낚시,바다낚시,바다낚시,바다낚시,바다낚시,-,바다낚시
서핑,서핑,서핑,서핑,-,서핑,서핑,서핑,-,-,서핑
스쿠버,스쿠버,스쿠버,스쿠버,-,-,스쿠버,스쿠버,스쿠버,스쿠버,스쿠버
스노클링,스노클링,스노클링,스노클링,-,-,스노클링,스노클링,스노클링,스노클링,스노클링
어촌체험,어촌체험,어촌체험,어촌체험,어촌체험,어촌체험,-,-,-,-,어촌체험
바다갈라짐,바다갈라짐,바다갈라짐,바다갈라짐,바다갈라짐,바다갈라짐,-,-,-,-,바다갈라짐
해양레포츠,해양레포츠,해양레포츠,해양레포츠,해양레포츠,해양레포츠,해양레포츠,해양레포츠,-,해양레포츠,해양레포츠
요트·유람선·여객선,요트·유람선·여객선,요트·유람선·여객선,요트·유람선·여객선,요트·유람선·여객선,요트·유람선·여객선,-,요트·유람선·여객선,-,-,요트·유람선·여객선
섬여행(선박탑승),섬여행(선박탑승),섬여행(선박탑승),섬여행(선박탑승),섬여행(선박탑승),섬여행(선박탑승),-,섬여행(선박탑승),-,-,섬여행(선박탑승)
섬여행(선박미탑승),섬여행(선박미탑승),섬여행(선박미탑승),섬여행(선박미탑승),섬여행(선박미탑승),섬여행(선박미탑승),-,-,-,-,섬여행(선박미탑승)
문화체험,문화체험,문화체험,문화체험,문화체험,문화체험,-,-,-,-,문화체험
트래킹,트래킹,트래킹,트래킹,트래킹,트래킹,-,-,-,-,트래킹
드라이브,드라이브,드라이브,드라이브,드라이브,드라이브,-,-,-,-,드라이브
