FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,SEA_WARN_AREA,LOC_WARN_AREA,TRAVEL1,TRAVEL2,TRAVEL3,TRAVEL4,TRAVEL5
ICNWIS,ICNWIS1,옹진군,백령도,124.6653,37.9589,225,528,70,48,92,216,119,125,1,116,144,20,135,인천·경기북부앞바다,서해5도,섬여행(선박탑승),해수욕,트래킹,문화체험,-
ICNWIS,ICNWIS2,옹진군,대청도,124.6999,37.8271,227,523,75,50,92,214,201,139,1,116,146,21,132,인천·경기북부앞바다,서해5도,섬여행(선박탑승),해수욕,트래킹,문화체험,-
ICNWIS,ICNWIS3,옹진군,소청도,124.7517,37.7696,227,522,70,54,92,213,201,148,1,116,147,20,131,인천·경기북부앞바다,서해5도,섬여행(선박탑승),바다낚시,-,-,-
ICNWIS,ICNWIS4,옹진군,연평도,125.6899,37.6596,258,518,96,56,104,212,321,161,1,128,148,38,129,인천·경기북부앞바다,서해5도,섬여행(선박탑승),해수욕,트래킹,문화체험,-
ICSWIS,ICSWIS1,옹진군,덕적도,126.1279,37.2376,272,502,104,68,110,207,371,208,1,134,153,45,119,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,트래킹,문화체험,-
ICSWIS,ICSWIS2,옹진군,소야도,126.1696,37.2189,273,501,108,67,110,207,378,214,1,134,153,46,119,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,바다낚시,-,-
ICSWIS,ICSWIS3,옹진군,굴업도,125.9798,37.1914,267,501,101,70,108,206,355,217,1,132,154,43,118,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,트래킹,-,-
ICSWIS,ICSWIS4,옹진군,자월도,126.3215,37.2521,279,503,109,69,112,207,396,207,1,136,153,49,120,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,트래킹,-,-
ICSWIS,ICSWIS5,옹진군,문갑도,126.0968,37.1751,272,501,104,68,109,206,369,219,1,133,154,45,118,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,바다낚시,-,-
ICSWIS,ICSWIS6,옹진군,대이작도,126.2575,37.1771,276,500,108,68,111,206,388,216,1,135,154,47,118,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,트래킹,-,-
ICSWIS,ICSWIS7,옹진군,승봉도,126.2747,37.1476,277,500,108,72,111,206,390,222,1,135,154,48,118,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,트래킹,-,-
ICSWIS,ICSWIS8,옹진군,백아도,125.9500,37.0843,266,497,100,70,107,205,351,230,1,131,155,42,116,인천·경기남부앞바다,옹진,섬여행(선박탑승),바다낚시,-,-,-
ICSWIS,ICSWIS9,옹진군,지도,126.0178,37.0709,268,497,103,74,108,205,359,231,1,132,155,43,116,인천·경기남부앞바다,옹진,섬여행(선박탑승),바다낚시,-,-,-
ICSWIS,ICSWIS10,옹진군,울도,125.9947,37.0256,267,495,102,75,108,204,356,237,1,132,156,43,115,인천·경기남부앞바다,옹진,섬여행(선박탑승),바다낚시,-,-,-
ICCN,ICCN1,강화군,강화평화전망대,126.4331,37.8265,282,524,114,53,113,214,412,141,1,137,146,50,132,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN2,강화군,교동도,126.2709,37.7908,275,523,110,54,111,213,391,150,1,135,147,48,131,인천·경기북부앞바다,강화,섬여행(선박미탑승),바다낚시,트래킹,문화체험,-
ICCN,ICCN3,강화군,연미정,126.5118,37.7708,285,522,114,52,114,213,421,148,1,138,147,52,131,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN4,강화군,석모도,126.3321,37.6898,278,519,110,56,112,212,395,158,1,136,148,49,129,인천·경기북부앞바다,강화,섬여행(선박미탑승),바다낚시,트래킹,문화체험,-
ICCN,ICCN5,강화군,볼음도,126.1976,37.6680,275,518,109,57,110,212,381,161,1,134,148,46,129,인천·경기북부앞바다,강화,섬여행(선박탑승),해수욕,바다낚시,-,-
ICCN,ICCN6,강화군,광성보,126.5300,37.6650,285,518,114,57,114,212,424,160,1,138,148,52,129,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN7,강화군,덕진진,126.5243,37.6492,285,518,115,58,114,212,423,162,1,138,148,52,128,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN8,강화군,주문도,126.2487,37.6382,275,517,110,56,111,212,338,164,1,135,148,47,128,인천·경기북부앞바다,강화,섬여행(선박탑승),해수욕,바다낚시,-,-
ICCN,ICCN9,강화군,초지진,126.5325,37.6325,285,517,115,56,114,212,424,164,1,138,148,52,128,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN10,강화군,마니산참성단,126.4283,37.6177,282,517,112,56,113,211,411,166,1,137,149,50,128,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN11,강화군,해든뮤지엄,126.5093,37.6129,284,516,115,58,114,211,421,166,1,138,149,52,128,인천·경기북부앞바다,강화,문화체험,-,-,-,-
ICCN,ICCN12,강화군,강화갯벌센터,126.3827,37.6094,280,516,111,58,113,211,406,167,1,137,149,50,128,인천·경기북부앞바다,강화,어촌체험,-,-,-,-
ICCN,ICCN13,강화군,동막해변,126.4582,37.5926,283,516,114,58,113,211,414,171,1,137,149,51,127,인천·경기북부앞바다,강화,해수욕,-,-,-,-
ICCN,ICCN14,서구,드림파크야생화단지,126.6540,37.5750,289,515,118,58,116,211,438,171,1,140,149,54,127,인천·경기북부앞바다,인천,트래킹,-,-,-,-
ICCN,ICCN15,서구,경인아라뱃길여객터미널,126.6060,37.5580,287,514,116,59,115,211,419,173,1,139,149,53,126,인천·경기남부앞바다,인천,요트·유람선·여객선,-,-,-,-
ICCN,ICCN16,서구,경인아라뱃길,126.6048,37.5570,287,514,116,60,115,211,429,172,1,139,149,53,126,인천·경기남부앞바다,인천,트래킹,해양레포츠,문화체험,-,-
ICCN,ICCN17,서구,영종대교기념관,126.6070,37.5540,288,514,117,60,115,211,433,174,1,139,149,53,126,인천·경기남부앞바다,인천,문화체험,-,-,-,-
ICCN,ICCN18,서구,영종대교,126.5900,37.5475,287,514,117,61,115,211,431,174,1,139,149,53,126,인천·경기남부앞바다,인천,드라이브,-,-,-,-
ICCN,ICCN19,옹진군,시도,126.4253,37.5412,282,514,112,60,113,210,411,174,1,137,150,50,126,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,바다낚시,트래킹,문화체험
ICCN,ICCN20,옹진군,장봉도,126.3366,37.5390,278,514,111,59,112,210,397,175,1,136,150,49,126,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,바다낚시,트래킹,-
ICCN,ICCN21,옹진군,모도,126.4098,37.5313,281,513,111,61,113,210,409,178,1,137,150,50,126,인천·경기남부앞바다,옹진,섬여행(선박탑승),해수욕,바다낚시,트래킹,-
ICCN,ICCN22,옹진군,신도,126.4577,37.5283,282,513,114,61,113,210,415,179,1,137,150,51,126,인천·경기남부앞바다,옹진,섬여행(선박탑승),바다낚시,트래킹,-,-
