FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,SEA_WARN_AREA,LOC_WARN_AREA,TRAVEL1,TRAVEL2,TRAVEL3,TRAVEL4,TRAVEL5
JJNW,JJNW1,애월읍,애월해안도로,126.366595,33.478278,280,371,111,174,112,162,404,243,3,136,198,50,37,제주북부앞바다,제주도북부,드라이브,트래킹,-,-,-
JJNW,JJNW2,애월읍,곽지해수욕장,126.30534,33.45077,278,371,110,175,112,162,398,243,3,136,198,49,37,제주북부앞바다,제주도북부,해수욕,서핑,-,-,-
JJNW,JJNW3,애월읍,한담해변,126.310521,33.461609,278,371,110,171,112,162,398,243,3,136,198,49,37,제주북부앞바다,제주도북부,해수욕,스노클링,해양레포츠,-,-
JJNW,JJNW4,애월읍,고내리포구,126.337556,33.467338,279,371,112,174,112,162,401,244,3,136,198,49,37,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW5,애월읍,제주올레15코스,126.30534,33.45077,278,370,110,175,112,161,397,246,3,136,199,48,36,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW6,애월읍,제주올레16코스,126.37636,33.484358,280,371,111,174,113,162,405,242,3,137,198,49,37,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW7,애월읍,고내리다락쉼터,126.340383,33.469984,279,371,112,171,112,162,401,244,3,136,198,50,38,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW8,애월읍,구엄포구,126.37636,33.484358,280,371,111,174,113,162,405,242,3,137,198,48,37,제주북부앞바다,제주도북부,문화체험,트래킹,-,-,-
JJNW,JJNW9,애월읍,금성포구,126.298281,33.446812,278,370,109,175,112,161,396,246,3,136,199,50,38,제주북부앞바다,제주도북부,문화체험,트래킹,-,-,-
JJNW,JJNW10,애월읍,동귀방파제,126.406421,33.486788,281,371,113,174,113,162,409,242,3,137,198,49,37,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW11,애월읍,신엄포구,126.350647,33.472795,279,371,110,173,112,162,402,243,3,136,198,49,37,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW12,애월읍,애월항,126.324468,33.468681,279,371,111,172,112,162,399,241,3,136,198,50,37,제주북부앞바다,제주도북부,스쿠버,-,-,-,-
JJNW,JJNW13,애월읍,중엄리새물,126.369176,33.47847,280,371,112,174,112,162,404,243,3,136,198,50,38,제주북부앞바다,제주도북부,트래킹,-,-,-,-
JJNW,JJNW14,한경면,수월봉,126.162598,33.294837,274,365,106,179,110,160,380,265,3,134,200,46,33,제주서부앞바다,제주도서부,트래킹,-,-,-,-
JJNW,JJNW15,한경면,당산봉,126.17518,33.307049,274,365,106,179,110,160,381,263,3,134,200,46,34,제주서부앞바다,제주도서부,트래킹,-,-,-,-
JJNW,JJNW16,한경면,판포포구,126.199715,33.365329,274,367,106,177,110,160,384,255,3,134,200,47,35,제주서부앞바다,제주도서부,스노클링,문화체험,-,-,-
JJNW,JJNW17,한경면,신창풍차해안,126.175925,33.343987,274,366,107,178,110,160,381,259,3,134,200,46,35,제주서부앞바다,제주도서부,드라이브,트래킹,-,-,-
JJNW,JJNW18,한경면,싱계물공원,126.173899,33.343608,274,366,108,174,110,160,381,259,3,134,200,46,35,제주서부앞바다,제주도서부,트래킹,-,-,-,-
JJNW,JJNW19,한경면,엉알해안,126.167453,33.300355,274,365,105,179,110,160,380,264,3,134,200,46,34,제주서부앞바다,제주도서부,트래킹,-,-,-,-
JJNW,JJNW20,한경면,자구네포구,126.165634,33.308628,273,365,105,179,110,160,379,264,3,134,200,46,34,제주서부앞바다,제주도서부,요트·유람선·여객선,트래킹,-,-,-
JJNW,JJNW21,한경면,용수항,126.164487,33.322971,274,366,105,178,110,160,380,261,3,134,200,46,34,제주서부앞바다,제주도서부,문화체험,트래킹,-,-,-
JJNW,JJNW22,한경면,차귀도,126.148761,33.311448,273,365,105,178,110,160,379,264,3,134,200,46,34,제주서부앞바다,제주도서부,스쿠버,요트·유람선·여객선,,-,-
JJNW,JJNW23,한경면,제주올레13코스,126.164487,33.322971,274,366,105,178,110,160,380,261,3,134,200,46,34,제주서부앞바다,제주도서부,트래킹,-,-,-,-
JJNW,JJNW24,한림읍,협재해수욕장,126.239728,33.394132,276,369,109,173,111,161,389,251,3,135,199,47,36,제주서부앞바다,제주도서부,해수욕,스노클링,-,-,-
