OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,-999,-999,-999,-999,-999
조위관측,평택,-999,-999,-999,-999,-999
조위관측,영광,-999,-999,-999,-999,-999
조위관측,제주,-999,-999,-999,-999,-999
조위관측,부산,-999,-999,-999,-999,-999
조위관측,묵호,-999,-999,-999,-999,-999
조위관측,목포,-999,-999,-999,-999,-999
조위관측,안산,-999,-999,-999,-999,-999
조위관측,포항,-999,-999,-999,-999,-999
조위관측,서귀포,-999,-999,-999,-999,-999
조위관측,후포,-999,-999,-999,-999,-999
조위관측,속초,-999,-999,-999,-999,-999
조위관측,울릉도,-999,-999,-999,-999,-999
조위관측,통영,-999,-999,-999,-999,-999
조위관측,마산,-999,-999,-999,-999,-999
조위관측,여수,-999,-999,-999,-999,-999
조위관측,대산,-999,-999,-999,-999,-999
조위관측,군산,-999,-999,-999,-999,-999
조위관측,가덕도,-999,-999,-999,-999,-999
조위관측,울산,-999,-999,-999,-999,-999
조위관측,추자도,-999,-999,-999,-999,-999
조위관측,성산포,-999,-999,-999,-999,-999
조위관측,모슬포,-999,-999,-999,-999,-999
조위관측,장항,-999,-999,-999,-999,-999
조위관측,보령,-999,-999,-999,-999,-999
조위관측,고흥발포,-999,-999,-999,-999,-999
조위관측,완도,-999,-999,-999,-999,-999
조위관측,진도,-999,-999,-999,-999,-999
조위관측,거제도,-999,-999,-999,-999,-999
조위관측,위도,-999,-999,-999,-999,-999
조위관측,거문도,-999,-999,-999,-999,-999
조위관측,강화대교,-999,-999,-999,-999,-999
조위관측,안흥,-999,-999,-999,-999,-999
조위관측,흑산도,-999,-999,-999,-999,-999
조위관측,어청도,-999,-999,-999,-999,-999
조위관측,굴업도,-999,-999,-999,-999,-999
조위관측,왕돌초,-999,-999,-999,-999,-999
조위관측,복사초,-999,-999,-999,-999,-999
조위관측,교본초,-999,-999,-999,-999,-999
조위관측,영흥도,-999,-999,-999,-999,-999
조위관측,영종대교,-999,-999,-999,-999,-999
조위관측,광양,-999,-999,-999,-999,-999
조위관측,태안,-999,-999,-999,-999,-999
조위관측,서천마량,-999,-999,-999,-999,-999
조위관측,인천송도,-999,-999,-999,-999,-999
조위관측,부산항신항,-999,-999,-999,-999,-999
조위관측,동해항,-999,-999,-999,-999,-999
조위관측,경인항,-999,-999,-999,-999,-999
조위관측,삼천포,-999,-999,-999,-999,-999
해양부이,이어도,-999,-999,-999,-999,-999
해양부이,신안가거초,-999,-999,-999,-999,-999
해양부이,옹진소청초,-999,-999,-999,-999,-999
해양부이,경포대해수욕장,-999,-999,-999,-999,-999
해양부이,상왕등도,-999,-999,-999,-999,-999
해양부이,우이도,-999,-999,-999,-999,-999
해양부이,생일도,-999,-999,-999,-999,-999
해양부이,해운대해수욕장,-999,-999,-999,-999,-999
해양부이,군산항,-999,-999,-999,-999,-999
해양부이,평택·당진항,-999,-999,-999,-999,-999
해양부이,대천해수욕장,-999,-999,-999,-999,-999
해양부이,여수항,-999,-999,-999,-999,-999
해양부이,통영항,-999,-999,-999,-999,-999
해양부이,완도항,-999,-999,-999,-999,-999
해양부이,부산항,-999,-999,-999,-999,-999
해양부이,부산항신항,-999,-999,-999,-999,-999
해양부이,경인항,-999,-999,-999,-999,-999
해양부이,광양항,-999,-999,-999,-999,-999
해양부이,태안항,-999,-999,-999,-999,-999
해양부이,감천항,-999,-999,-999,-999,-999
해양부이,인천항,-999,-999,-999,-999,-999
해양부이,마산항,-999,-999,-999,-999,-999
해양부이,송정해수욕장,-999,-999,-999,-999,-999
해양부이,낙산해수욕장,-999,-999,-999,-999,-999
해양부이,중문해수욕장,-999,-999,-999,-999,-999
해양부이,제주남부,-999,-999,-999,-999,-999
해양부이,대한해협,-999,-999,-999,-999,-999
해양부이,남해동부,-999,-999,-999,-999,-999
해양부이,제주해협,-999,-999,-999,-999,-999
해양부이,울릉도북동,-999,-999,-999,-999,-999
해양부이,울릉도북서,-999,-999,-999,-999,-999
해양부이,임랑해수욕장,-999,-999,-999,-999,-999
