STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2,FISH_NAME,FISH_TYPE,CITY_MID
SF2,황해남부,가거도,125.0880556,34.07308333,240,392,82,156,97,169,130,291,2,121,191,25,50,서해남부남쪽안쪽먼바다,해양기상,가거도,해양부이,신안가거초,해양기상,가거도,해양부이,신안가거초,감성돔,BP,11F20000
SF21,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,열기,GR,11F20000
SF35,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,농어,SB,11F20000
SF36,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,볼락,GP,11F20000
SF37,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,참돔,RP,11F20000
SF38,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,감성돔,BP,11F20000
SF39,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,우럭,RF,11F20000
SF14,남해동부,거제도,128.7629444,34.90544444,355,420,165,133,141,179,212,251,4,165,181,91,69,거제시동부앞바다,파고부이,해금강,해양기상,거제도,조위관측,거제도,해양기상,거제도,우럭,RF,11H20000
SF11,황해중부,국화도,126.5581667,37.06027778,286,496,116,74,115,205,427,233,1,139,155,52,115,인천·경기남부앞바다,파고부이,풍도,파고부이,이작도,해양부이,평택·당진항,파고부이,풍도,우럭,RF,11C20000
SF56,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,벵에돔,OP,11G00000
SF57,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,농어,SB,11G00000
SF58,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,돌돔,RB,11G00000
SF59,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,참돔,RP,11G00000
SF49,황해중부,모항항,126.11107,36.79456,272,487,106,82,109,202,373,265,1,133,158,46,109,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도,우럭,RF,11C20000
SF50,황해중부,모항항,126.11107,36.79456,272,487,106,82,109,202,373,265,1,133,158,46,109,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도,감성돔,BP,11C20000
SF51,황해중부,방포항,126.30287,36.51383,278,477,110,90,112,198,396,298,1,136,162,49,104,충남남부앞바다,파고부이,안면도,파고부이,삽시도,파고부이,삽시도,파고부이,안면도,우럭,RF,11C20000
SF74,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,우럭,RF,11H20000
SF75,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,감성돔,BP,11H20000
SF76,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,돌돔,RB,11H20000
SF77,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,참돔,RP,11H20000
SF78,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,벵에돔,OP,11H20000
SF79,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,농어,SB,11H20000
