STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2,FISH_NAME,FISH_TYPE,CITY_MID
SF14,남해동부,거제도,128.7629444,34.90544444,355,420,165,133,141,179,212,251,4,165,181,91,69,거제시동부앞바다,파고부이,해금강,해양기상,거제도,조위관측,거제도,해양기상,거제도,우럭,RF,11H20000
SF74,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,우럭,RF,11H20000
SF75,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,감성돔,BP,11H20000
SF76,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,돌돔,RB,11H20000
SF77,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,참돔,RP,11H20000
SF78,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,벵에돔,OP,11H20000
SF79,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,농어,SB,11H20000
SF80,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,열기,GR,11H20000
SF81,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,볼락,GP,11H20000
SF67,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,우럭,RF,11H20000
