FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,SEA_WARN_AREA,LOC_WARN_AREA,TRAVEL1,TRAVEL2,TRAVEL3,TRAVEL4,TRAVEL5
TAN,TAN1,이원면,솔향기길1코스,126.2904,36.9517,278,493,109,76,111,203,395,246,1,135,157,48,113,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN2,이원면,꾸지나무골해수욕장,126.2927,36.9350,278,492,108,76,112,203,394,248,1,135,157,48,113,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN3,이원면,만대어촌체험마을,126.3017,36.9300,278,492,111,76,112,203,398,248,1,137,156,48,113,충남북부앞바다,태안,어촌체험,-,-,-,-
TAN,TAN4,이원면,솔향기길2코스,126.2913,36.9193,278,491,110,75,111,203,395,250,1,135,157,48,113,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN5,이원면,이원방조제,126.2636,36.9029,277,491,110,79,111,203,392,251,1,135,157,48,112,충남북부앞바다,태안,바다낚시,-,-,-,-
TAN,TAN6,이원면,솔향기길3코스,126.3068,36.8668,278,490,110,76,112,202,397,256,1,136,158,48,111,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN7,원북면,학암포해수욕장,126.2033,36.8984,275,491,106,75,110,203,383,252,1,134,157,47,112,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN8,원북면,구례포해수욕장,126.1979,36.8871,274,490,107,79,110,203,382,252,1,134,157,46,112,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN9,원북면,해변길1코스,126.1912,36.8721,275,490,108,79,110,202,383,255,1,134,158,46,112,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN10,원북면,신두리해안사구,126.1967,36.8451,275,489,107,80,110,202,384,259,1,134,158,46,111,충남북부앞바다,태안,문화체험,트래킹,-,-,-
TAN,TAN11,원북면,신두리해수욕장,126.1909,36.8423,274,489,106,80,110,202,382,258,1,134,158,46,111,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN12,원북면,두웅습지,126.1959,36.8357,275,488,106,78,110,202,384,260,1,134,158,46,111,충남북부앞바다,태안,문화체험,트래킹,-,-,-
TAN,TAN13,원북면,솔향기길4코스,126.2970,36.8272,278,488,108,79,112,202,396,261,1,136,158,48,111,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN14,소원면,해변길2코스,126.1587,36.8484,273,489,106,80,110,202,379,258,1,134,158,46,111,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN15,소원면,태배전망대,126.1604,36.8464,274,489,108,78,110,202,379,258,1,134,158,46,111,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN16,소원면,구름포해수욕장,126.1535,36.8370,273,489,108,78,110,202,377,260,1,134,158,46,111,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN17,소원면,소근진성,126.1822,36.8197,274,488,108,81,110,202,382,262,1,134,158,46,110,충남북부앞바다,태안,문화체험,트래킹,-,-,-
TAN,TAN18,소원면,천리포해수욕장,126.1503,36.8030,272,487,108,79,110,202,376,264,1,134,158,46,110,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN19,태안읍,솔향기길5코스,126.2859,36.7992,277,487,110,80,111,202,394,264,1,135,158,48,110,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN20,소원면,천리포수목원,126.1495,36.7987,273,487,105,82,110,202,378,264,1,134,158,46,110,충남북부앞바다,태안,문화체험,트래킹,-,-,-
TAN,TAN21,소원면,만리포해수욕장,126.1424,36.7864,272,487,107,80,110,201,375,266,1,133,159,45,110,충남북부앞바다,태안,해수욕,해양레포츠,-,-,-
TAN,TAN22,소원면,모항항,126.1313,36.7786,272,486,107,82,110,201,374,267,1,133,159,45,110,충남북부앞바다,태안,바다낚시,-,-,-,-
TAN,TAN23,소원면,해변길3코스,126.1301,36.7642,273,486,105,82,110,201,376,268,1,134,159,45,109,충남북부앞바다,태안,트래킹,-,-,-,-
TAN,TAN24,소원면,어은돌해수욕장,126.1294,36.7526,272,486,107,83,110,201,374,270,1,133,159,45,109,충남북부앞바다,태안,해수욕,-,-,-,-
TAN,TAN25,소원면,법산갯다리연꽃마을,126.2181,36.7503,275,485,107,80,111,201,386,270,1,135,159,47,109,충남북부앞바다,태안,어촌체험,-,-,-,-
TAN,TAN26,소원면,노을지는갯마을,126.1957,36.7417,275,485,109,83,110,201,383,271,1,134,159,46,109,충남북부앞바다,태안,어촌체험,-,-,-,-
TAN,TAN27,근흥면,갈음이해수욕장,126.1520,36.6966,273,484,105,84,110,200,377,276,1,134,160,46,108,충남북부앞바다,태안,해수욕,-,-,-,-
TAS,TAS1,근흥면,용신어촌체험마을,126.2391,36.7055,276,484,108,83,111,200,389,275,1,135,160,47,108,충남북부앞바다,태안,어촌체험,-,-,-,-
TAS,TAS2,근흥면,연포해수욕장,126.2156,36.6942,275,483,108,83,111,200,386,278,1,135,160,47,108,충남북부앞바다,태안,해수욕,스쿠버,-,-,-
TAS,TAS3,근흥면,신진대교,126.1518,36.6825,273,483,108,85,110,200,378,278,1,134,160,46,107,충남북부앞바다,태안,드라이브,-,-,-,-
TAS,TAS4,근흥면,안흥성,126.1562,36.6825,273,483,106,85,110,200,379,278,1,134,160,46,107,충남북부앞바다,태안,문화체험,-,-,-,-
TAS,TAS5,근흥면,안흥항,126.1525,36.6803,273,483,105,83,110,200,377,277,1,134,160,46,107,충남북부앞바다,태안,바다낚시,-,-,-,-
TAS,TAS6,근흥면,신진항,126.1522,36.6803,273,483,107,83,110,200,376,277,1,134,160,46,107,충남북부앞바다,태안,요트·유람선·여객선,-,-,-,-
TAS,TAS7,근흥면,가의도,126.0727,36.6761,271,483,104,84,109,200,369,277,1,133,160,44,107,충남북부앞바다,태안,섬여행(선박탑승),바다낚시,-,-,-
TAS,TAS8,근흥면,몽산포해수욕장,126.2868,36.6699,276,483,109,85,111,200,393,281,1,135,160,48,107,충남북부앞바다,태안,해수욕,-,-,-,-
TAS,TAS9,근흥면,옹도,126.0090,36.6475,269,482,102,86,108,200,361,282,1,132,160,43,107,충남북부앞바다,태안,섬여행(선박탑승),-,-,-,-
TAS,TAS10,근흥면,격렬비열도,125.5611,36.6203,255,481,92,84,103,199,307,286,1,127,161,35,106,충남북부앞바다,태안,스쿠버,-,-,-,-
TAS,TAS11,남면,청산수목원,126.2970,36.6882,278,483,108,83,112,200,396,277,1,136,160,48,108,충남북부앞바다,태안,문화체험,트래킹,-,-,-
TAS,TAS12,남면,팜카밀레허브농원,126.2824,36.6873,277,483,108,81,111,200,394,278,1,135,160,48,108,충남북부앞바다,태안,문화체험,트래킹,-,-,-
TAS,TAS13,남면,숭의사,126.3265,36.6603,279,482,109,82,112,200,399,281,1,136,160,49,107,충남북부앞바다,태안,문화체험,-,-,-,-
TAS,TAS14,남면,청포대해수욕장,126.3008,36.6397,277,481,109,86,112,200,395,283,1,136,160,48,106,충남북부앞바다,태안,해수욕,-,-,-,-
TAS,TAS15,남면,별주부마을,126.3035,36.6329,278,481,109,86,112,200,396,284,1,136,160,48,106,충남북부앞바다,태안,어촌체험,-,-,-,-
TAS,TAS16,남면,해변길4코스,126.3028,36.6317,278,481,111,86,112,200,396,284,1,136,160,48,106,충남북부앞바다,태안,트래킹,-,-,-,-
TAS,TAS17,남면,마검포해수욕장,126.2881,36.6143,277,481,110,84,111,199,394,286,1,135,161,48,106,충남북부앞바다,태안,해수욕,-,-,-,-
