SK_CODE,SEA_WAY,SEA_WAY_NAME,SHIP_NAME,SHIP_TYPE,SAIL_HOUR,SAIL_DIST,SAIL_SPEED,SHIP_TONN,MAX_NUM,SHIP_COMP,SHIP_COMP_TEL,SHIP_COMP_HMP,KMA_SEAFORE_AREA,USE_YN,SK_LAT,SK_LON,DOM_INT,WARN_AREA1,WARN_AREA2,WARN_AREA3,WARN_AREA4
SK1,ICBR,인천-백령,하모니플라워,쾌속카페리,3:40,228,37,2071,544,㈜에이치해운,1644-4410,http://www.hferry.com/,황해중부,Y,37.359564,125.2812,DOM,인천·경기남부앞바다,인천·경기북부앞바다,,
SK1,ICBR,인천-백령,코리아킹,초쾌속선,3:40,228,35,534,449,고려고속훼리(주),1577-2891,http://www.kefship.com/,황해중부,Y,37.359564,125.2812,DOM,인천·경기남부앞바다,인천·경기북부앞바다,,
SK2,ICYP,인천-연평,플라잉카페리,쾌속카페리,2:00,124,25,573,411,고려고속훼리(주),1577-2891,http://www.kefship.com/index.html,황해중부,Y,37.518449,126.049074,DOM,인천·경기남부앞바다,인천·경기북부앞바다,,
SK24,ICDJ,인천-덕적,코리아익스프레스,카페리,1:50,48.7,20,903,694,고려고속훼리(주),1577-2891,http://www.kefship.com/,황해중부,Y,37.32086916,126.3822495,DOM,인천·경기남부앞바다,,,
SK19,ICDD,인천-단동,동방명주6,카페리,16:00,457,20,16537,800,거림해운㈜,032-891-3322,http://www.dandongferry.co.kr/,황해중부,Y,38.41903377,123.4810809,INT2,인천·경기남부앞바다,서해중부안쪽먼바다,서해중부바깥먼바다,
SK20,ICSD,인천-석도,화동명주8,카페리,14:00,355,22,35092,1500,㈜화동해운,"032-8991-8877,02-318-1581",http:www.huadong.co.kr/,황해중부,Y,36.71495652,124.243202,INT2,인천·경기남부앞바다,서해중부안쪽먼바다,서해중부바깥먼바다,
SK21,DHOY,대천-외연,웨스트프론티어,일반선,2:10,47,12.5,140,180,㈜신한해운,063-581-0023,http:www.shinhanhewoon.co.kr/,황해중부,Y,36.3299,126.4676,DOM,충남남부앞바다,서해중부안쪽먼바다,,
SK3,GSOC,군산-어청,어청카훼리,고속선,2:10,70,20.5,296,194,(주)대원해운,(041)934-8722~4,http://www.shinhanhewoon.com/,황해남부,Y,35.957771,126.340602,DOM,전북북부앞바다,충남남부앞바다,서해중부안쪽먼바다,
SK14,KPWD,격포-위도,파장금카페리,고속선,0:50,19,11,322,350,㈜포유디해운,1666-4923,http://www.widoship.com/,황해남부,Y,35.61483749,126.3041287,DOM,전북남부앞바다,,,
SK18,MPHD,목포-홍도,뉴골드스타,초쾌속선,2:30,130,35,308,377,(주)동양고속훼리,061-243-2111~4,http://www.ihongdo.co.kr/,황해남부,Y,34.6157,125.2669,DOM,전남중부서해앞바다,서해남부북쪽안쪽먼바다,,
SK18,MPHD,목포-홍도,남해엔젤,초쾌속선,2:30,130,35,319,351,(주)남해고속,061-244-9915~6,http://www.namhaegosok.co.kr/,황해남부,Y,34.6157,125.2669,DOM,전남중부서해앞바다,서해남부북쪽안쪽먼바다,,
SK4,MPJJ,목포-제주,퀸제누비아,카페리,4:30,178,24,27391,1284,씨월드고속훼리㈜,1577-3567,http://www.seaferry.co.kr/,황해남부,Y,34.807008,126.286302,DOM,전남중부서해앞바다,전남남부서해앞바다,남해서부서쪽먼바다,제주도북부앞바다
SK4,MPJJ,목포-제주,퀸메리,카페리,4:30,178,24,13665,1425,씨월드고속훼리(주),1577-3567,http://www.seaferry.co.kr/,황해남부,Y,34.807008,126.286302,DOM,전남중부서해앞바다,전남남부서해앞바다,남해서부서쪽먼바다,제주도북부앞바다
SK5,WDJJ,완도-제주,송림블루오션,카페리,5:00,120,14.5,2374,240,㈜한일고속,1688-2100,http://www.hanilexpress.co.kr/,남해서부,Y,34.267237,126.740316,DOM,전남서부남해앞바다,남해서부서쪽먼바다,제주도북부앞바다,
SK5,WDJJ,완도-제주,한일블루나래,쾌속카페리,1:40,104,40,1605,282,(주)한일고속,02-535-2101~6,http://www.hanilexpress.co.kr/,남해서부,Y,34.267237,126.740316,DOM,전남서부남해앞바다,남해서부서쪽먼바다,제주도북부앞바다,
SK5,WDJJ,완도-제주,실버클라우드,카페리,2:40,104,20,20263,975,㈜한일고속,1688-2100,http://www.hanilexpress.co.kr/,남해서부,Y,34.267237,126.740316,DOM,전남서부남해앞바다,남해서부서쪽먼바다,제주도북부앞바다,
SK16,WDCS,완도-청산,퀸청산,고속선,0:45,22,16,997,767,청산농협,061-552-9385,http://www.csdnonghyup.com/,남해서부,Y,34.17824133,126.8512918,DOM,전남서부남해앞바다,,,
SK16,WDCS,완도-청산,청산아일랜드,고속선,0:45,22,13,498,517,청산농협,061-552-9385,http://www.csdnonghyup.com/,남해서부,Y,34.17824133,126.8512918,DOM,전남서부남해앞바다,,,
SK6,NDJJ,녹동-제주,아리온제주,카페리,3:50,130,21.5,6266,818,(주)남해고속,061-244-9915~6,http://www.namhaegosok.co.kr/,남해서부,Y,34.537084,127.077227,DOM,전남동부남해앞바다,전남서부남해앞바다,남해서부서쪽먼바다,제주도북부앞바다
SK22,YSJJ,여수-제주,한일골드스텔라,카페리,5:00,200,23,15195,1220,㈜한일고속,061-243-2111,http://www.hanilexpress.co.kr/,남해서부,Y,34.6544,127.8625,DOM,전남동부남해앞바다,남해서부동쪽먼바다,남해서부서쪽먼바다,제주도북부앞바다
SK25,YSGM,여수-거문,파라다이스,초쾌속선,2:20,109,30,309,395,엘에스쉽핑㈜,061-662-1144,-,남해서부,Y,34.14656267,127.2801587,DOM,전남동부남해앞바다,남해서부동쪽먼바다,,
SK26,YSYD,여수-연도,금오고속페리,고속선,1:40,48,12,255,240,(유)한림해운,061-666-8092,http://company.haewoon.co.kr/CompanySite/View.aspx?CompanyID=9214,남해서부,Y,34.46083534,127.7821744,DOM,전남동부남해앞바다,,,
SK17,TYSM,통영-소매물,한솔1,고속선,1:40,39,13,128,268,㈜한솔해운,055-645-3717,http://hshaewoon.co.kr/,남해동부,Y,34.63074716,128.556884,DOM,경남서부남해앞바다,,,
SK17,TYSM,통영-소매물,한솔2,고속선,1:40,39,13,109,230,㈜한솔해운,055-645-3717,http://hshaewoon.co.kr/,남해동부,Y,34.63074716,128.556884,DOM,경남서부남해앞바다,,,
SK10,BSJJ,부산-제주,뉴스타,일반카페리,12:00,313,16,9997,710,㈜엠에스페리,1661-9559,http://company.haewoon.co.kr/CompanySite/View.aspx?CompanyID=6994,남해,Y,34.265921,128.286004,DOM,부산앞바다,남해동부안쪽먼바다,남해서부동쪽먼바다,제주도북부앞바다
SK11,BSDM,부산-대마,오션플라워,초쾌속선,1:10,52,40,445,443,㈜대아고속해운,1644-9604,http://www.daea.com/,남해동부,Y,34.883306,129.440941,INT,부산앞바다,남해동부안쪽먼바다,,
SK11,BSDM,부산-대마,니나,초쾌속선,1:30,52,34,364,440,미래고속코비,092-282-7888,http://www.kobee.co.kr,남해동부,Y,34.883306,129.440941,INT,부산앞바다,남해동부안쪽먼바다,,
SK11,BSDM,부산-대마,비틀(대마),초쾌속선,1:30,52,43,164,191,JR큐슈고속선,051-469-0778,http://www.jrbeetle.co.kr,남해동부,Y,34.883306,129.440941,INT,부산앞바다,남해동부안쪽먼바다,,
SK12,BSHK,부산-후쿠오카,뉴카멜리아,카페리,9:00,135,24,19961,522,고려훼리㈜,1688-7447,http://koreaferry.kr/,남해동부,Y,34.483546,129.927086,INT,부산앞바다,남해동부안쪽먼바다,남해동부바깥먼바다,
SK12,BSHK,부산-후쿠오카,코비(후쿠오카),초쾌속선,3:30,135,45,162,200,미래고속코비,092-282-7888,http://www.kobee.co.kr,남해동부,Y,34.483546,129.927086,INT,부산앞바다,남해동부안쪽먼바다,남해동부바깥먼바다,
SK12,BSHK,부산-후쿠오카,비틀(후쿠오카),초쾌속선,3:30,135,43,164,191,JR큐슈고속선,051-469-0778,http://www.jrbeetle.co.kr,남해동부,Y,34.483546,129.927086,INT,부산앞바다,남해동부안쪽먼바다,남해동부바깥먼바다,
SK13,BSOS,부산-오사카,팬스타,카페리,19:00,650,23,21688,545,팬스타라인,1577-9996,http://www.panstar.co.kr,남해동부,Y,33.984363,132.615967,INT,부산앞바다,남해동부안쪽먼바다,남해동부바깥먼바다,
SK7,PHUR,포항-울릉,엘도라도,초쾌속선,3:10,217,34,668,414,(주)대저해운,1899-8114,http://www.daezer.com/,동해남부,Y,36.136931,129.481177,DOM,경북남부앞바다,동해남부북쪽안쪽먼바다,동해중부안쪽먼바다,
SK7,PHUR,포항-울릉,썬라이즈,초쾌속선,3:10,219,36,388,448,(주)대저해운,1899-8114,http://www.tssc.co.kr/,동해남부,Y,36.136931,129.481177,DOM,경북남부앞바다,동해남부북쪽안쪽먼바다,동해중부안쪽먼바다,
SK23,HPUR,후포-울릉,씨플라워,초쾌속선,2:30,222,38,388,443,㈜제이에이치페리,061-244-9915,http://www.jhferry.com/,동해남부,Y,36.6552,129.5312,DOM,경북북부앞바다,동해남부북쪽안쪽먼바다,동해중부안쪽먼바다,
SK8,GRUR,강릉-울릉,씨스타11,초쾌속선,3:00,185,35,420,449,씨스포빌㈜,1577-8665,http://www.seaspovill.co.kr/index2.html,동해중부,Y,37.806972,129.013983,DOM,강원중부앞바다,동해중부안쪽먼바다,,
SK8,GRUR,강릉-울릉,씨스타5,초쾌속선,3:00,185,35,388,438,씨스포빌(주),033-653-8670~1,http://www.seaspovill.co.kr/index2.html,동해중부,Y,37.806972,129.013983,DOM,강원중부앞바다,동해중부안쪽먼바다,,
SK9,MHUR,묵호-울릉,씨스타1,초쾌속선,2:40,157,40,388,442,씨스포빌(주),1577-8665,http://www.sspvjd.co.kr/main/main.html,동해중부,Y,37.542148,129.137197,DOM,강원남부앞바다,동해중부안쪽먼바다,,
SK9,MHUR,묵호-울릉,씨스타3,쾌속카페리,2:40,161,35,550,587,씨스포빌㈜,1577-8665,http://www.sspvjd.co.kr/main/main.html,동해중부,Y,37.542148,129.137197,DOM,강원남부앞바다,동해중부안쪽먼바다,,
SK27,ULDD,울릉-독도,씨플라워,초쾌속선,1:50,93.8,40,388,443,(주)제이에이치페리,061-244-9915,http://www.jhferry.com/,동해중부,Y,37.35023104,131.3792182,DOM,동해중부안쪽먼바다,동해중부바깥먼바다,,
SK28,MSMR,모슬포-마라도,블루레이1,고속선,0:25,10.7,15,199,294,(주)아름다운섬나라,064-794-5490,https://wonderfulis.co.kr/,제주,Y,33.14857232,126.2589307,DOM,제주도서부앞바다,,,
SK28,MSMR,모슬포-마라도,블루레이3,고속선,0:25,10.7,14.5,199,294,(주)아름다운섬나라,064-794-5490,https://wonderfulis.co.kr/,제주,Y,33.14857232,126.2589307,DOM,제주도서부앞바다,,,
