FCST_AREA,STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,MOHID_X,MOHID_Y,CITY_X,CITY_Y,WARN_SEA,WARN_LAND,여행종류1,여행종류2,여행종류3,여행종류4,여행종류5
YSCN,YSCN1,율촌면,손양원목사유적공원,127.643897,34.83994,320,418,140,136,128,178,437,199,2,152,182,909,556,72,68,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN2,율촌면,지석묘군,127.553887,34.885671,317,420,138,135,127,179,426,194,2,151,181,891,565,71,69,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN3,율촌면,애양원역사박물관,127.629585,34.840417,320,418,140,135,128,178,436,199,2,152,182,896,559,72,68,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN4,율촌면,여수민속전시관,127.556877,34.846819,317,418,138,136,127,178,427,198,2,151,182,871,550,71,68,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN5,소라면,갯벌노을마을,127.568009,34.790243,318,416,139,134,127,177,428,205,2,151,183,882,539,71,66,전남동부남해앞바다,여수,어촌체험,-,-,-,-
YSCN,YSCN6,소라면,가사리생태공원,127.59623,34.747663,318,415,139,138,127,177,432,210,2,151,183,888,528,72,66,전남동부남해앞바다,여수,트래킹,-,-,-,-
YSCN,YSCN7,소라면,달천도,127.56447,34.764476,317,415,138,137,127,177,426,208,2,151,185,883,531,71,66,전남동부남해앞바다,여수,섬여행(선박미탑승),-,-,-,-
YSCN,YSCN8,화양면,장등해수욕장,127.611237,34.644876,319,410,140,141,127,176,432,224,2,151,185,896,497,72,63,전남동부남해앞바다,여수,해수욕,-,-,-,-
YSCN,YSCN9,화양면,용문사,127.612679,34.725721,319,414,140,138,127,177,434,213,2,151,183,899,518,72,65,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN10,쌍봉동,소호요트경기장,127.650897,34.738776,320,414,140,136,127,177,439,212,2,152,184,907,524,73,65,전남동부남해앞바다,여수,요트·유람선·여객선,-,-,-,-
YSCN,YSCN11,중앙동,이순신광장,127.73598,34.739389,323,415,142,139,129,177,448,211,2,153,183,931,524,74,65,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN12,중앙동,진남관,127.73661,34.741922,323,415,142,139,129,177,448,211,2,153,183,932,524,74,65,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN13,중앙동,천사벽화마을,127.741167,34.738971,323,415,143,139,129,177,449,211,2,153,183,932,524,74,65,전남동부남해앞바다,여수,문화체험,-,-,-,-
YSCN,YSCN14,교동,여수연안여객터미널,127.732294,34.738579,324,415,142,138,129,177,445,214,2,153,185,931,524,74,65,전남동부남해앞바다,여수,요트·유람선·여객선,-,-,-,-
YSCN,YSCN15,종화동,하멜전시관,127.748677,34.736575,323,415,143,137,129,177,450,212,2,153,183,935,523,74,65,전남동부남해앞바다,여수,문화체험,-,-,-,-
