STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2,CITY_MID
SS1,동해중부,동명항,128.6136,38.2097,350,538,162,43,139,219,194,215,5,163,141,87,141,강원북부앞바다,파고부이,토성,파고부이,연곡,파고부이,토성,조위관측,속초,11D20000
SS2,동해중부,남애항,128.7951,37.9442,356,528,166,50,142,215,215,247,5,166,145,53,32,강원중부앞바다,파고부이,연곡,해양부이,경포대해수욕장,파고부이,연곡,해양부이,경포대해수욕장,11D20000
SS3,동해중부,강문해변,128.934,37.8025,360,523,169,54,143,214,232,264,5,167,146,91,136,강원중부앞바다,파고부이,연곡,해양부이,경포대해수욕장,조위관측,묵호,파고부이,연곡,11D20000
SS4,동해남부,오산항,129.429,36.8856,376,490,180,79,149,203,292,374,5,174,157,93,133,경북북부앞바다,조위관측,왕돌초,파고부이,후포,조위관측,후포,파고부이,후포,11H10000
SS5,동해남부,월포해수욕장,129.4123,36.1961,375,466,180,98,149,194,289,96,4,173,166,103,113,경북남부앞바다,파고부이,월포,해양기상,포항,조위관측,포항,파고부이,월포,11H10000
SS6,남해동부,구조라해수욕장,128.6874,34.8058,354,416,164,137,141,177,202,263,4,165,181,103,98,거제시동부앞바다,파고부이,해금강,해양기상,거제도,조위관측,거제도,해양기상,거제도,11H20000
SS7,남해동부,미조도,128.0551,34.7209,333,414,150,140,133,177,127,273,4,157,183,91,67,경남서부남해앞바다,파고부이,금오도,파고부이,나로도,조위관측,여수,파고부이,금오도,11H20000
SS8,남해서부,거문도,127.328,34.0239,310,390,133,159,124,168,399,297,2,148,192,80,65,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,11F20000
SS9,제주도,성산일출봉,126.9453,33.4534,298,370,124,175,119,161,474,246,3,143,199,67,50,제주도동부앞바다,파고부이,우도,파고부이,신산,조위관측,성산포,파고부이,우도,11G00000
SS10,제주도,문섬,126.568,33.2273,286,362,115,181,115,159,428,274,3,139,202,60,37,제주도남부앞바다,해양부이,중문해수욕장,파고부이,중문,조위관측,서귀포,해양부이,중문해수욕장,11G00000
SS11,황해남부,홍도,125.199611,34.673769,243,412,86,141,98,176,144,219,2,122,184,29,64,서해남부북쪽먼바다,해양기상,칠발도,해양부이,우이도,조위관측,흑산도,해양기상,칠발도,11F20000
SS12,동해중부,울릉도,130.900258,37.559824,422,514,217,60,167,211,468,293,5,191,149,127,129,동해중부먼바다,파고부이,혈암,파고부이,울릉읍,파고부이,혈암,조위관측,울릉도,11H10000
SS13,제주도,어영,126.4849,33.5196,284,373,114,172,114,163,419,237,3,138,197,52,38,제주도북부앞바다,파고부이,제주항,파고부이,김녕,파고부이,제주항,조위관측,제주,11G00000
