STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,USE_YN,CITY_MID
TL1,황해남부,우전마을,126.1346,34.9662,273,423,106,133,110,180,256,184,2,134,180,45,70,전남중부서해앞바다,N,11F20000
TL2,황해중부,백미리마을,126.6803,37.1449,290,500,119,72,116,206,442,223,1,140,154,55,118,인천·경기남부앞바다,Y,11B00000
TL3,남해동부,문항마을,127.9305,34.9145,329,421,147,135,131,179,112,250,4,155,181,78,69,경남중부남해앞바다,Y,11H20000
TL4,황해중부,전곡리마을,126.654,37.1897,289,501,118,69,116,206,438,217,1,140,154,54,118,인천·경기남부앞바다,N,11B00000
TL5,황해남부,만돌마을,126.5143,35.5345,285,442,115,117,114,186,302,116,2,138,174,52,82,전북남부앞바다,Y,11F10000
TL6,황해남부,하전마을,126.5625,35.5484,286,443,116,117,115,187,307,114,2,139,173,53,83,전북남부앞바다,Y,11F10000
TL7,황해중부,궁평마을,126.682,37.1242,290,499,118,71,116,205,442,225,1,140,155,55,117,전북남부앞바다,N,11B00000
TL8,황해중부,신리마을,126.8858,34.4436,296,404,123,147,119,173,346,247,2,143,187,59,59,충남북부앞바다,N,11F20000
TL9,황해중부,월하성마을,126.5627,36.1316,286,463,116,100,115,194,308,44,2,139,166,53,95,충남남부앞바다,Y,11C20000
TL10,황해중부,선감마을,126.6315,37.2165,288,502,118,70,116,207,436,214,1,140,153,54,119,인천·경기남부앞바다,Y,11B00000
TL11,황해남부,선유도마을,126.4097,35.8174,281,452,112,108,113,190,289,82,2,137,170,50,89,전북북부앞바다,N,11F10000
TL12,황해중부,무창포마을,126.5343,36.2456,285,467,116,97,114,195,304,31,2,138,165,52,98,충남남부앞바다,N,11C20000
TL13,황해남부,돌머리마을,126.4389,35.0868,282,427,113,129,113,181,293,170,2,137,179,51,73,전남북부서해앞바다,Y,11F20000
TL14,황해남부,모항마을,126.5143,35.5863,285,444,115,115,114,187,302,110,2,138,173,52,84,전북남부앞바다,N,11F10000
TL15,황해중부,종현마을,126.5453,37.2797,286,504,114,68,115,207,425,206,1,139,153,52,120,인천·경기남부앞바다,N,11B00000
TL16,황해남부,수문마을,127.0363,34.6341,301,411,127,142,120,176,364,224,2,144,184,62,63,전남서부남해앞바다,N,11F20000
TL17,황해남부,신시도마을,126.452,35.8189,283,452,114,109,113,190,294,82,2,137,170,51,89,전북북부앞바다,Y,11F10000
TL18,황해중부,대야도마을,126.4159,36.4722,282,476,113,91,113,198,410,303,1,137,162,50,103,충남북부앞바다,N,11C20000
TL19,황해남부,장자도마을,126.3956,35.8104,281,452,112,106,113,190,287,83,2,137,170,50,88,전북북부앞바다,N,11F10000
TL20,남해동부,다대마을,128.6282,34.7353,351,414,163,139,140,177,195,272,4,164,183,90,66,경남중부남해앞바다,Y,11H20000
TL21,남해동부,냉천마을,128.0251,34.9009,332,420,149,135,132,179,123,252,4,156,181,79,69,경남서부남해앞바다,Y,11H20000
TL22,황해남부,사금마을,126.9872,34.546,299,408,125,143,120,175,358,234,2,144,185,61,61,전남서부남해앞바다,N,11F20000
TL23,황해남부,서중마을,126.81,34.4535,294,405,121,145,118,173,337,246,2,142,187,58,59,전남서부남해앞바다,N,11F20000
TL24,황해중부,제부마을,126.618,37.1586,288,500,116,69,115,206,434,221,1,139,154,54,118,인천·경기남부앞바다,N,11B00000
TL25,황해중부,병술만마을,126.3379,36.4663,279,475,111,91,112,198,401,304,1,136,162,49,103,충남북부앞바다,Y,11C20000
TL26,황해남부,송계마을,126.3361,35.1543,279,429,111,125,112,182,280,161,2,136,178,49,74,전남북부서해앞바다,N,11F20000
TL27,황해중부,국화리마을,126.5582,37.0628,286,497,115,74,115,205,427,232,1,139,155,53,116,인천·경기남부앞바다,N,11B00000
TL28,남해동부,유포마을,127.8139,34.8628,325,419,144,135,130,178,98,256,4,154,182,76,68,경남중부남해앞바다,N,11H20000
TL29,남해동부,대포마을,128.0395,34.9911,332,423,150,130,132,180,125,241,4,156,180,79,71,경남중부남해앞바다,N,11H20000
TL30,남해서부,청용마을,126.215,34.5214,275,407,108,145,111,174,266,237,2,135,186,47,60,전남남부서해앞바다,N,11F20000
TL31,남해서부,백사마을,126.7939,34.4928,293,406,121,146,118,174,335,241,2,142,186,57,60,전남서부남해앞바다,Y,11F20000
TL32,남해서부,장양마을,127.3944,34.8274,312,418,137,134,125,178,407,201,2,149,182,68,67,전남동부남해앞바다,Y,11F20000
TL33,남해서부,거차마을,127.444126,34.833251,314,418,136,136,125,178,413,200,2,149,182,69,67,전남동부남해앞바다,Y,11F20000
TL34,황해남부,죽림마을,126.262815,34.391027,277,403,108,147,111,173,272,253,2,135,187,48,57,전남남부서해앞바다,Y,11F20000
