STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2
HS1,황해중부,대천해수욕장,126.514,36.31,284,470,114,95,114,196,301,23,2,138,164,52,99,충남남부앞바다,해양부이,대천해수욕장,파고부이,서천,해양부이,대천해수욕장,파고부이,서천
HS2,황해중부,춘장대해수욕장,126.524,36.163,285,466,115,99,114,194,302,39,2,138,166,52,96,충남남부앞바다,해양부이,대천해수욕장,파고부이,서천,해양부이,대천해수욕장,파고부이,서천
HS3,황해중부,무창포해수욕장,126.536,36.244,285,467,115,97,114,195,303,31,2,138,165,52,98,충남남부앞바다,해양부이,대천해수욕장,파고부이,서천,해양부이,대천해수욕장,파고부이,서천
HS4,황해중부,꽃지해수욕장,126.336,36.497,278,476,111,90,112,198,399,300,1,136,162,49,103,충남북부앞바다,파고부이,안면도,파고부이,신진도,파고부이,안면도,파고부이,신진도
HS5,황해중부,만리포해수욕장,126.14,36.785,272,487,107,82,110,201,376,265,1,133,159,45,110,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도
HS6,황해중부,몽산포해수욕장,126.287,36.669,276,483,110,86,111,200,393,281,1,135,160,48,107,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도
HS7,황해남부,우전해수욕장,126.137,34.971,272,423,106,133,110,180,256,183,2,134,180,45,70,전남중부서해앞바다,파고부이,대치마도,해양기상,신안,파고부이,대치마도,해양기상,신안
HS8,황해중부,연포해수욕장,126.21,36.694,275,483,108,85,111,200,385,278,1,135,160,47,108,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도
HS9,황해중부,어은돌해수욕장,126.129,36.753,272,486,106,83,110,201,374,270,1,133,159,45,109,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도
HS10,황해중부,신두리해수욕장,126.189,36.84,274,489,108,80,110,202,382,258,1,134,158,46,111,충남북부앞바다,파고부이,신진도,파고부이,풍도,해양부이,태안항,조위관측,대산
HS11,황해중부,학암포해수욕장,126.213,36.899,275,491,108,79,111,203,386,251,1,135,157,47,112,충남북부앞바다,파고부이,풍도,파고부이,이작도,해양부이,태안항,조위관측,대산
HS12,황해남부,가마미해수욕장,126.408,35.399,281,438,112,121,113,185,288,132,2,137,175,50,79,전남북부서해앞바다,파고부이,영광,파고부이,낙월,파고부이,영광,파고부이,낙월
HS15,황해남부,가계해수욕장,126.355,34.435,280,404,111,148,112,173,284,248,2,136,187,49,58,전남남부서해앞바다,파고부이,불무도,파고부이,진도,조위관측,진도,파고부이,불무도
HS16,황해중부,을왕리해수욕장,126.372,37.448,280,510,112,64,112,209,403,186,1,136,151,49,124,인천·경기남부앞바다,파고부이,장봉도,파고부이,자월도,파고부이,장봉도,해양부이,인천항
HS17,남해서부,만성리해수욕장,127.745,34.779,324,416,143,138,129,177,92,267,4,154,183,74,66,전남동부남해앞바다,파고부이,금오도,파고부이,나로도,조위관측,여수,파고부이,금오도
HS18,남해동부,상주해수욕장,127.988,34.721,331,413,148,140,132,176,119,275,4,156,184,79,65,경남서부남해앞바다,파고부이,두미도,해양기상,통영,조위관측,여수,파고부이,두미도
HS19,남해서부,명사십리해수욕장,126.813,34.327,294,401,121,151,118,172,338,261,2,142,188,58,56,전남서부남해앞바다,파고부이,청산도,파고부이,노화도,조위관측,완도,파고부이,청산도
HS20,제주도,함덕서우봉해수욕장,126.67,33.544,289,374,118,172,116,163,440,233,3,140,197,55,39,제주도북부앞바다,파고부이,제주항,파고부이,김녕,조위관측,제주,파고부이,김녕
HS21,제주도,협재해수욕장,126.24,33.394,275,368,108,176,111,161,389,251,3,135,199,47,36,제주도서부앞바다,파고부이,협재,파고부이,김녕,조위관측,제주,파고부이,김녕
HS22,제주도,중문색달해수욕장,126.412,33.245,281,363,112,181,113,159,409,272,3,137,202,51,32,제주도남부앞바다,해양부이,중문해수욕장,파고부이,중문,해양부이,중문해수욕장,파고부이,중문
HS23,남해서부,율포해수욕장,127.089,34.67,303,412,128,141,121,176,371,221,2,145,185,63,64,전남동부남해앞바다,파고부이,청산도,파고부이,노화도,조위관측,완도,파고부이,청산도
HS24,황해남부,송호해수욕장,126.518,34.316,284,400,114,151,114,172,301,262,2,137,188,52,56,전남남부서해앞바다,파고부이,노화도,파고부이,청산도,조위관측,진도,파고부이,노화도
HS25,제주도,이호테우해수욕장,126.452,33.497,283,372,113,174,113,162,414,239,3,137,198,51,38,제주도북부앞바다,파고부이,제주항,파고부이,김녕,조위관측,제주,파고부이,김녕
HS26,제주도,표선해비치해수욕장,126.837,33.328,295,366,121,175,118,160,461,263,3,142,201,58,34,제주도동부앞바다,파고부이,신산,파고부이,우도,파고부이,신산,조위관측,성산포
HS28,남해동부,구조라해수욕장,128.69,34.81,354,417,164,137,140,177,203,263,4,164,183,91,67,거제시동부앞바다,파고부이,해금강,해양기상,거제도,조위관측,거제도,해양기상,거제도
HS29,남해동부,해운대해수욕장,129.16,35.16,367,429,175,128,146,182,259,221,4,170,179,99,75,부산앞바다,해양부이,해운대해수욕장,해양부이,송정해수욕장,해양부이,해운대해수욕장,해양부이,송정해수욕장
HS30,남해동부,광안리해수욕장,129.12,35.15,367,429,174,128,145,181,255,223,4,169,179,99,75,부산앞바다,해양부이,해운대해수욕장,해양부이,송정해수욕장,해양부이,해운대해수욕장,해양부이,송정해수욕장
HS31,남해동부,송도해수욕장,129.02,35.08,364,426,172,130,144,180,242,231,4,168,180,97,74,부산앞바다,파고부이,다대포,해양부이,해운대해수욕장,조위관측,부산,해양부이,감천항
HS32,남해동부,송정해수욕장,129.2,35.18,369,430,176,127,146,182,265,219,4,170,179,100,76,부산앞바다,해양부이,송정해수욕장,해양부이,해운대해수욕장,해양부이,송정해수욕장,해양부이,해운대해수욕장
HS33,남해동부,다대포해수욕장,128.97,35.05,361,425,170,131,143,181,236,234,4,168,180,96,73,부산앞바다,파고부이,다대포,해양부이,해운대해수욕장,파고부이,다대포,해양부이,감천항
HS34,남해동부,일광해수욕장,129.23,35.26,371,433,177,124,147,183,270,209,4,171,178,101,78,부산앞바다,파고부이,장안,파고부이,간절곶,조위관측,울산,파고부이,장안
HS35,동해중부,경포해수욕장,128.91,37.8,360,523,168,54,143,214,230,263,5,167,146,93,133,강원중부앞바다,해양부이,경포대해수욕장,파고부이,연곡,해양부이,경포대해수욕장,파고부이,연곡
HS36,동해중부,망상해수욕장,129.09,37.59,365,516,172,60,146,211,251,287,5,170,149,96,128,강원남부앞바다,파고부이,삼척,파고부이,죽변,조위관측,묵호,파고부이,삼척
HS37,동해중부,속초해수욕장,128.6,38.19,351,537,162,43,140,218,193,217,5,164,142,87,141,강원북부앞바다,해양부이,낙산해수욕장,파고부이,토성,조위관측,속초,해양부이,낙산해수욕장
HS38,동해중부,낙산해수욕장,128.64,38.12,351,535,162,45,140,217,198,225,5,165,143,88,139,강원북부앞바다,해양부이,낙산해수욕장,파고부이,토성,해양부이,낙산해수욕장,파고부이,토성
HS39,동해남부,영일대해수욕장,129.38,36.06,375,461,179,102,149,193,287,114,4,173,167,102,95,경북남부앞바다,파고부이,월포,파고부이,구룡포,조위관측,포항,파고부이,포항
HS40,동해남부,월포해수욕장,129.37,36.2,375,466,179,98,149,194,287,96,4,173,166,102,98,경북남부앞바다,파고부이,월포,해양기상,포항,조위관측,포항,파고부이,월포
HS41,동해중부,주문진해수욕장,128.82,37.91,357,527,166,51,142,215,219,251,5,166,145,91,135,강원중부앞바다,파고부이,연곡,해양부이,경포대해수욕장,파고부이,연곡,해양부이,경포대해수욕장
HS42,동해남부,고래불해수욕장,129.41,36.6,376,480,180,87,149,199,291,48,4,174,161,102,107,경북북부앞바다,조위관측,왕돌초,파고부이,후포,조위관측,후포,파고부이,후포
HS43,동해중부,화진포해수욕장,128.44,38.48,345,548,158,35,138,222,174,182,5,162,138,84,147,강원북부앞바다,파고부이,토성,파고부이,연곡,조위관측,속초,파고부이,토성
HS44,동해남부,관성해수욕장,129.45,35.66,377,447,181,113,150,188,297,161,4,174,172,104,86,경북남부앞바다,파고부이,간절곶,파고부이,구룡포,조위관측,울산,파고부이,장안
HS46,동해중부,삼척해수욕장,129.17,37.47,369,511,174,63,146,210,261,303,5,170,150,98,126,강원남부앞바다,파고부이,삼척,파고부이,죽변,조위관측,묵호,파고부이,삼척
HS47,동해중부,송지호해수욕장,128.53,38.33,348,542,160,39,139,220,185,200,5,163,140,86,144,강원북부앞바다,파고부이,토성,파고부이,연곡,조위관측,속초,파고부이,토성
HS49,동해남부,칠포해수욕장,129.4,36.13,376,463,180,100,149,194,290,103,4,173,166,103,97,경북남부앞바다,파고부이,월포,파고부이,구룡포,조위관측,포항,파고부이,월포
HS50,동해남부,진하해수욕장,129.35,35.38,374,437,179,121,149,185,283,194,4,173,175,103,80,울산앞바다,파고부이,간절곶,파고부이,장안,조위관측,울산,파고부이,장안
HS51,황해남부,변산해수욕장,126.528,35.676,285,448,115,113,114,188,302,98,2,138,172,52,86,전북북부앞바다,파고부이,변산,파고부이,비안도,파고부이,변산,파고부이,비안도
HS52,황해남부,선유도해수욕장,126.411,35.816,281,453,113,109,113,190,287,81,2,137,170,50,89,전북북부앞바다,파고부이,군산,파고부이,비안도,조위관측,군산,파고부이,군산
HS53,황해남부,구시포해수욕장,126.435,35.445,282,440,113,119,113,185,291,127,2,137,175,51,81,전북남부앞바다,파고부이,영광,파고부이,낙월,파고부이,영광,파고부이,낙월
