STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2
SK19,황해중부,인천-단동,125.63156,37.46412,257,511,95,60,104,210,316,184,1,128,150,1,1,인천·경기남부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK19,황해중부,인천-단동,124.70451,37.57514,228,515,73,60,92,211,205,171,1,116,149,1,1,인천·경기남부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK19,황해중부,인천-단동,123.90533,37.87958,203,526,58,50,83,215,109,134,1,107,145,1,1,서해중부먼바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK19,황해중부,인천-단동,123.45779,38.4299,189,546,45,35,77,221,55,68,1,101,139,1,1,서해중부먼바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK19,황해중부,인천-단동,123.71352,39.22047,197,575,52,14,81,231,87,1,1,105,129,1,1,서해중부먼바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK20,황해중부,인천-석도,125.95123,37.10218,267,498,102,72,107,205,354,228,1,131,155,1,1,인천·경기남부앞바다,해양기상,인천,파고부이,이작도,-,-,-,-
SK20,황해중부,인천-석도,125.27992,36.87858,246,490,86,77,99,203,274,255,1,123,157,1,1,인천·경기남부앞바다,해양기상,인천,파고부이,이작도,-,-,-,-
SK20,황해중부,인천-석도,124.54467,36.7385,223,485,67,81,91,201,185,271,1,115,159,1,1,서해중부먼바다,해양기상,인천,파고부이,이작도,-,-,-,-
SK20,황해중부,인천-석도,123.74549,36.71045,198,484,54,84,81,201,89,275,1,105,159,1,1,서해중부먼바다,해양기상,인천,파고부이,이작도,-,-,-,-
SK20,황해중부,인천-석도,122.85041,36.71045,170,484,36,84,70,201,1,274,1,94,159,1,1,서해중부먼바다,해양기상,인천,파고부이,이작도,-,-,-,-
SK1,황해중부,인천-백령,126.58802,37.4542,287,511,116,63,115,209,431,185,1,139,151,1,1,인천·경기남부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK1,황해중부,인천-백령,126.41386,37.41365,281,509,113,62,113,209,410,200,1,137,151,1,1,인천·경기남부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK1,황해중부,인천-백령,125.80449,37.46802,262,511,97,63,106,210,337,184,1,130,150,1,1,인천·경기남부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK1,황해중부,인천-백령,125.02915,37.53862,238,514,79,60,96,210,243,175,1,120,150,1,1,인천·경기북부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK1,황해중부,인천-백령,124.74052,37.80327,229,523,72,53,93,214,209,144,1,117,146,1,1,인천·경기북부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK1,황해중부,인천-백령,124.73581,37.93925,229,528,72,50,93,215,208,127,1,117,145,1,1,인천·경기북부앞바다,해양기상,인천,해양부이,옹진소청초,-,-,-,-
SK2,황해중부,인천-연평,126.58802,37.4542,287,511,116,63,115,209,431,185,1,139,151,1,1,인천·경기남부앞바다,해양기상,인천,파고부이,풍도,-,-,-,-
SK2,황해중부,인천-연평,126.43841,37.3555,282,507,112,66,113,208,413,197,1,137,152,1,1,인천·경기남부앞바다,해양기상,인천,파고부이,풍도,-,-,-,-
SK2,황해중부,인천-연평,126.10493,37.33531,272,506,105,67,109,208,373,200,1,133,152,1,1,인천·경기남부앞바다,해양기상,인천,파고부이,풍도,-,-,-,-
SK2,황해중부,인천-연평,125.86673,37.42599,264,510,98,62,106,209,344,189,1,130,151,1,1,인천·경기북부앞바다,해양기상,인천,파고부이,풍도,-,-,-,-
SK2,황해중부,인천-연평,125.7202,37.64977,260,518,95,58,105,212,326,162,1,129,148,1,1,인천·경기북부앞바다,해양기상,인천,파고부이,풍도,-,-,-,-
SK21,황해중부,대천-외연,126.4676,36.3299,283,470,114,94,114,196,296,20,2,138,164,1,1,충남남부앞바다,파고부이,삽시도,해양부이,대천해수욕장,-,-,-,-
SK21,황해중부,대천-외연,126.3525,36.3221,280,470,110,95,112,196,282,21,2,136,164,1,1,충남남부앞바다,파고부이,삽시도,해양부이,대천해수욕장,-,-,-,-
SK21,황해중부,대천-외연,126.275,36.2751,277,468,109,94,111,195,273,26,2,135,165,1,1,서해중부먼바다,파고부이,삽시도,해양부이,대천해수욕장,-,-,-,-
SK21,황해중부,대천-외연,126.2075,36.2264,275,467,107,97,110,195,265,33,2,134,165,1,1,서해중부먼바다,파고부이,삽시도,해양부이,대천해수욕장,-,-,-,-
SK21,황해중부,대천-외연,126.115,36.2234,272,467,107,98,109,195,254,33,2,133,165,1,1,서해중부먼바다,파고부이,삽시도,해양부이,대천해수욕장,-,-,-,-
SK3,황해남부,군산-어청,126.60723,35.98408,288,458,116,103,115,192,313,62,2,139,168,1,1,전북북부앞바다,파고부이,군산,파고부이,서천,-,-,-,-
SK3,황해남부,군산-어청,126.52326,36.02901,285,460,114,103,114,192,303,57,2,138,168,1,1,전북북부앞바다,파고부이,군산,파고부이,서천,-,-,-,-
SK3,황해남부,군산-어청,126.42632,36.06741,282,461,112,102,113,193,291,52,2,137,167,1,1,전북북부앞바다,파고부이,군산,파고부이,서천,-,-,-,-
SK3,황해남부,군산-어청,126.23595,36.09498,276,462,109,101,111,193,268,49,2,135,167,1,1,전북북부앞바다,파고부이,군산,파고부이,서천,-,-,-,-
SK3,황해남부,군산-어청,125.99454,36.10748,267,463,102,101,108,193,239,47,2,132,167,1,1,전북북부앞바다,파고부이,군산,파고부이,서천,-,-,-,-
SK14,황해남부,격포-위도,126.455425,35.621712,283,445,114,114,113,187,294,105,2,137,173,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK14,황해남부,격포-위도,126.410628,35.623861,281,446,112,114,113,187,289,105,2,137,173,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK14,황해남부,격포-위도,126.365831,35.628159,280,446,110,112,112,188,284,105,2,136,172,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK14,황해남부,격포-위도,126.329993,35.630308,279,446,109,114,112,188,280,104,2,136,172,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK14,황해남부,격포-위도,126.312074,35.623861,278,446,110,114,112,187,277,105,2,136,173,1,1,전북남부앞바다,파고부이,위도,파고부이,비안도,-,-,-,-
SK18,황해남부,목포-홍도,126.2709,34.75063,277,415,110,138,111,177,273,210,2,135,183,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK18,황해남부,목포-홍도,126.00833,34.75,269,415,101,136,108,177,241,210,2,132,183,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
SK18,황해남부,목포-홍도,125.81667,34.7,263,413,100,140,106,176,218,216,2,130,184,1,1,전남중부서해앞바다,파고부이,옥도,해양기상,칠발도,-,-,-,-
