생산일,코드,권역,해수욕장,예측년월일,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,총점수,예보지수
20210709,HS1,황해중부,대천해수욕장,20210709,AM,22.0,3,23.5,5,3.1,4,0.2,5,4.60,좋음
20210709,HS1,황해중부,대천해수욕장,20210709,PM,21.7,2,24.4,5,3.0,4,0.2,5,4.55,좋음
20210709,HS2,황해중부,춘장대해수욕장,20210709,AM,22.2,3,24.0,5,3.2,4,0.1,5,4.60,좋음
20210709,HS2,황해중부,춘장대해수욕장,20210709,PM,21.9,2,25.0,5,3.5,4,0.1,5,4.55,좋음
20210709,HS3,황해중부,무창포해수욕장,20210709,AM,21.9,2,23.9,5,3.3,4,0.2,5,4.55,좋음
20210709,HS3,황해중부,무창포해수욕장,20210709,PM,21.8,2,24.9,5,3.4,4,0.2,5,4.55,좋음
20210709,HS4,황해중부,꽃지해수욕장,20210709,AM,25.2,4,22.3,5,4.5,4,0.1,5,4.65,좋음
20210709,HS4,황해중부,꽃지해수욕장,20210709,PM,23.7,3,22.9,5,4.6,4,0.1,5,4.60,좋음
20210709,HS5,황해중부,만리포해수욕장,20210709,AM,26.4,4,19.4,3,5.0,3,0.1,5,4.15,좋음
20210709,HS5,황해중부,만리포해수욕장,20210709,PM,25.2,4,19.5,3,4.8,4,0.1,5,4.45,좋음
20210709,HS6,황해중부,몽산포해수욕장,20210709,AM,21.0,2,22.8,5,3.0,4,0.1,5,4.55,좋음
20210709,HS6,황해중부,몽산포해수욕장,20210709,PM,21.0,2,23.5,5,3.5,4,0.1,5,4.55,좋음
20210709,HS7,황해남부,우전해수욕장,20210709,AM,22.9,3,23.9,5,5.2,3,0.1,5,4.30,좋음
20210709,HS7,황해남부,우전해수욕장,20210709,PM,23.4,3,24.1,5,5.1,3,0.1,5,4.30,좋음
20210709,HS8,황해중부,연포해수욕장,20210709,AM,20.9,2,22.2,5,3.0,4,0.2,5,4.55,좋음
20210709,HS8,황해중부,연포해수욕장,20210709,PM,20.9,2,23.1,5,3.0,4,0.1,5,4.55,좋음
20210709,HS9,황해중부,어은돌해수욕장,20210709,AM,21.1,2,19.5,3,3.1,4,0.1,5,4.35,좋음
20210709,HS9,황해중부,어은돌해수욕장,20210709,PM,20.8,2,20.0,4,3.0,4,0.1,5,4.45,좋음
20210709,HS10,황해중부,신두리해수욕장,20210709,AM,25.4,4,19.7,3,3.6,4,0.1,5,4.45,좋음
20210709,HS10,황해중부,신두리해수욕장,20210709,PM,25.8,4,20.3,4,5.5,3,0.1,5,4.25,좋음
20210709,HS11,황해중부,학암포해수욕장,20210709,AM,20.8,2,19.9,3,2.2,4,0.1,5,4.35,좋음
20210709,HS11,황해중부,학암포해수욕장,20210709,PM,21.2,2,20.7,4,5.1,3,0.1,5,4.15,좋음
20210709,HS12,황해남부,가마미해수욕장,20210709,AM,22.5,3,24.6,5,4.2,4,0.1,5,4.60,좋음
20210709,HS12,황해남부,가마미해수욕장,20210709,PM,22.5,3,24.9,5,5.4,3,0.1,5,4.30,좋음
20210709,HS15,황해남부,가계해수욕장,20210709,AM,24.0,4,22.5,5,6.4,3,0.3,5,4.35,좋음
20210709,HS15,황해남부,가계해수욕장,20210709,PM,23.9,3,23.6,5,7.1,3,0.3,5,4.30,좋음
20210709,HS16,황해중부,을왕리해수욕장,20210709,AM,20.7,2,23.1,5,1.4,5,0.1,5,4.85,매우좋음
20210709,HS16,황해중부,을왕리해수욕장,20210709,PM,20.4,2,24.1,5,2.4,4,0.1,5,4.55,좋음
20210709,HS17,남해서부,만성리해수욕장,20210709,AM,23.9,3,23.3,5,6.0,3,0.3,5,4.30,좋음
20210709,HS17,남해서부,만성리해수욕장,20210709,PM,24.2,4,23.8,5,8.5,2,0.3,5,4.05,좋음
20210709,HS18,남해동부,상주해수욕장,20210709,AM,24.7,4,23.7,5,4.7,4,0.8,4,4.10,좋음
20210709,HS18,남해동부,상주해수욕장,20210709,PM,25.5,4,24.5,5,5.3,3,0.9,4,3.80,보통
20210709,HS19,남해서부,명사십리해수욕장,20210709,AM,24.1,4,23.5,5,6.3,3,0.1,5,4.35,좋음
20210709,HS19,남해서부,명사십리해수욕장,20210709,PM,24.2,4,23.3,5,7.7,3,0.1,5,4.35,좋음
20210709,HS20,제주도,함덕서우봉해수욕장,20210709,AM,24.3,4,24.7,5,5.4,3,0.1,5,4.35,좋음
20210709,HS20,제주도,함덕서우봉해수욕장,20210709,PM,25.2,4,25.1,5,9.3,2,0.1,5,4.05,좋음
20210709,HS21,제주도,협재해수욕장,20210709,AM,24.6,4,25.0,5,6.0,3,0.1,5,4.35,좋음
20210709,HS21,제주도,협재해수욕장,20210709,PM,25.4,4,26.0,5,7.5,3,0.1,5,4.35,좋음
20210709,HS22,제주도,중문색달해수욕장,20210709,AM,25.5,4,23.6,5,6.5,3,0.9,4,3.80,보통
20210709,HS22,제주도,중문색달해수욕장,20210709,PM,25.4,4,24.5,5,7.1,3,0.9,4,3.80,보통
20210709,HS23,남해서부,율포해수욕장,20210709,AM,23.8,3,26.6,5,6.3,3,0.1,5,4.30,좋음
20210709,HS23,남해서부,율포해수욕장,20210709,PM,25.3,4,27.4,5,6.4,3,0.2,5,4.35,좋음
20210709,HS24,황해남부,송호해수욕장,20210709,AM,23.3,3,22.7,5,5.8,3,0.2,5,4.30,좋음
20210709,HS24,황해남부,송호해수욕장,20210709,PM,23.6,3,23.1,5,6.2,3,0.2,5,4.30,좋음
20210709,HS25,제주도,이호테우해수욕장,20210709,AM,28.9,5,25.4,5,8.2,2,0.1,5,4.10,좋음
20210709,HS25,제주도,이호테우해수욕장,20210709,PM,29.7,5,25.8,5,9.4,2,0.1,5,4.10,좋음
20210709,HS26,제주도,표선해비치해수욕장,20210709,AM,26.3,4,25.2,5,3.5,4,0.9,4,4.10,좋음
20210709,HS26,제주도,표선해비치해수욕장,20210709,PM,26.9,4,26.3,5,3.6,4,0.9,4,4.10,좋음
20210709,HS28,남해동부,구조라해수욕장,20210709,AM,24.2,4,20.0,4,5.1,3,0.3,5,4.25,좋음
20210709,HS28,남해동부,구조라해수욕장,20210709,PM,27.0,5,20.9,4,5.6,3,0.4,5,4.30,좋음
20210709,HS29,남해동부,해운대해수욕장,20210709,AM,22.6,3,20.1,4,3.2,4,0.4,5,4.50,좋음
20210709,HS29,남해동부,해운대해수욕장,20210709,PM,23.1,3,21.6,4,6.1,3,0.4,5,4.20,좋음
20210709,HS30,남해동부,광안리해수욕장,20210709,AM,22.4,3,20.1,4,3.5,4,0.3,5,4.50,좋음
20210709,HS30,남해동부,광안리해수욕장,20210709,PM,23.2,3,21.6,4,6.0,3,0.3,5,4.20,좋음
20210709,HS31,남해동부,송도해수욕장,20210709,AM,22.6,3,22.0,5,3.9,4,0.4,5,4.60,좋음
20210709,HS31,남해동부,송도해수욕장,20210709,PM,23.1,3,22.5,5,6.7,3,0.4,5,4.30,좋음
20210709,HS32,남해동부,송정해수욕장,20210709,AM,22.4,3,20.1,4,3.2,4,0.5,4,3.95,보통
20210709,HS32,남해동부,송정해수욕장,20210709,PM,23.4,3,21.6,4,6.6,3,0.5,4,3.65,보통
20210709,HS33,남해동부,다대포해수욕장,20210709,AM,22.9,3,22.5,5,4.5,4,0.6,4,4.05,좋음
20210709,HS33,남해동부,다대포해수욕장,20210709,PM,23.7,3,22.8,5,8.6,2,0.7,4,3.45,보통
20210709,HS34,남해동부,일광해수욕장,20210709,AM,22.4,3,20.1,4,3.9,4,0.1,5,4.50,좋음
20210709,HS34,남해동부,일광해수욕장,20210709,PM,23.9,3,19.5,3,7.6,3,0.2,5,4.10,좋음
20210709,HS35,동해중부,경포해수욕장,20210709,AM,22.3,3,21.5,4,5.2,3,0.4,5,4.20,좋음
20210709,HS35,동해중부,경포해수욕장,20210709,PM,22.5,3,22.7,5,6.8,3,0.4,5,4.30,좋음
20210709,HS36,동해중부,망상해수욕장,20210709,AM,24.5,4,22.8,5,4.8,4,0.4,5,4.65,좋음
20210709,HS36,동해중부,망상해수욕장,20210709,PM,23.7,3,23.2,5,5.3,3,0.4,5,4.30,좋음
20210709,HS37,동해중부,속초해수욕장,20210709,AM,22.6,3,22.4,5,3.9,4,0.4,5,4.60,좋음
20210709,HS37,동해중부,속초해수욕장,20210709,PM,22.6,3,22.7,5,5.8,3,0.4,5,4.30,좋음
20210709,HS38,동해중부,낙산해수욕장,20210709,AM,22.4,3,23.0,5,3.8,4,0.4,5,4.60,좋음
20210709,HS38,동해중부,낙산해수욕장,20210709,PM,22.6,3,22.9,5,5.7,3,0.5,4,3.75,보통
20210709,HS39,동해남부,영일대해수욕장,20210709,AM,24.3,4,21.2,4,3.7,4,0.1,5,4.55,좋음
20210709,HS39,동해남부,영일대해수욕장,20210709,PM,25.5,4,22.2,5,4.9,4,0.2,5,4.65,좋음
20210709,HS40,동해남부,월포해수욕장,20210709,AM,22.4,3,22.7,5,2.2,4,0.3,5,4.60,좋음
20210709,HS40,동해남부,월포해수욕장,20210709,PM,22.5,3,23.4,5,4.2,4,0.3,5,4.60,좋음
20210709,HS41,동해중부,주문진해수욕장,20210709,AM,22.6,3,21.5,4,4.4,4,0.4,5,4.50,좋음
20210709,HS41,동해중부,주문진해수욕장,20210709,PM,22.7,3,22.2,5,5.7,3,0.4,5,4.30,좋음
20210709,HS42,동해남부,고래불해수욕장,20210709,AM,22.6,3,22.2,5,3.7,4,0.3,5,4.60,좋음
20210709,HS42,동해남부,고래불해수욕장,20210709,PM,22.4,3,22.5,5,4.0,4,0.3,5,4.60,좋음
20210709,HS43,동해중부,화진포해수욕장,20210709,AM,22.3,3,23.9,5,3.5,4,0.4,5,4.60,좋음
20210709,HS43,동해중부,화진포해수욕장,20210709,PM,22.3,3,24.3,5,5.5,3,0.4,5,4.30,좋음
20210709,HS44,동해남부,관성해수욕장,20210709,AM,23.6,3,18.8,3,3.1,4,0.3,5,4.40,좋음
20210709,HS44,동해남부,관성해수욕장,20210709,PM,23.1,3,19.6,3,3.4,4,0.3,5,4.40,좋음
20210709,HS46,동해중부,삼척해수욕장,20210709,AM,22.7,3,22.7,5,5.0,3,0.4,5,4.30,좋음
20210709,HS46,동해중부,삼척해수욕장,20210709,PM,22.5,3,23.0,5,8.3,2,0.4,5,4.00,좋음
20210709,HS47,동해중부,송지호해수욕장,20210709,AM,22.5,3,23.6,5,4.1,4,0.4,5,4.60,좋음
20210709,HS47,동해중부,송지호해수욕장,20210709,PM,22.4,3,23.6,5,6.1,3,0.5,4,3.75,보통
20210709,HS49,동해남부,칠포해수욕장,20210709,AM,22.2,3,21.9,4,2.9,4,0.3,5,4.50,좋음
20210709,HS49,동해남부,칠포해수욕장,20210709,PM,22.7,3,22.7,5,5.5,3,0.3,5,4.30,좋음
