생성시간, 예측시간, 지점코드, 지점이름, 지수, 지수단계, 수정사유
2021-07-10,2021-07-10 00:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-10 06:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-10 12:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-10 18:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-11 00:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-11 06:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-11 12:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-11 18:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-12 00:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-12 06:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-12 12:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-12 18:00,MR_0001,왕산,4,LV1,00
2021-07-10,2021-07-10 00:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-10 06:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-10 12:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-10 18:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-11 00:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-11 06:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-11 12:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-11 18:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-12 00:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-12 06:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-12 12:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-12 18:00,MR_0002,전곡,4,LV1,00
2021-07-10,2021-07-10 00:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-10 06:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-10 12:00,MR_0003,수영,4,LV1,00
2021-07-10,2021-07-10 18:00,MR_0003,수영,4,LV1,00
2021-07-10,2021-07-11 00:00,MR_0003,수영,4,LV1,00
2021-07-10,2021-07-11 06:00,MR_0003,수영,4,LV1,00
2021-07-10,2021-07-11 12:00,MR_0003,수영,4,LV1,00
2021-07-10,2021-07-11 18:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-12 00:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-12 06:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-12 12:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-12 18:00,MR_0003,수영,3,LV2,00
2021-07-10,2021-07-10 00:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-10 06:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-10 12:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-10 18:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-11 00:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-11 06:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-11 12:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-11 18:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-12 00:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-12 06:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-12 12:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-12 18:00,MPM_001,목포,4,LV1,00
2021-07-10,2021-07-10 00:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-10 06:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-10 12:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-10 18:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-11 00:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-11 06:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-11 12:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-11 18:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-12 00:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-12 06:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-12 12:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-12 18:00,TY_0001,통영,4,LV1,00
2021-07-10,2021-07-10 00:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-10 06:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-10 12:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-10 18:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-11 00:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-11 06:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-11 12:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-11 18:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-12 00:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-12 06:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-12 12:00,YS_0001,소호,4,LV1,00
2021-07-10,2021-07-12 18:00,YS_0001,소호,4,LV1,00
