지역,생산일,예측파고,AI파고,서비스파고,예측수온,AI수온,서비스수온,예측지수,AI지수,서비스지수
상왕등도,20210710,0.2,0.3,0.3,23,22,22,좋음,보통,보통
울진후정,20210710,0.3,0.4,0.5,23,21,22,보통,보통,보통
추자도,20210710,0.8,1.1,0.7999999999999999,25,21,20,보통,나쁨,보통
상왕등도,20210711,0.1,0.1,-,23,22,23,좋음,좋음,좋음
울진후정,20210711,0.3,0.4,-,23,23,23,보통,보통,보통
추자도,20210711,1.1,1.2,-,24,20,20,나쁨,나쁨,나쁨
상왕등도,20210712,0.1,0.1,-,22,22,22,좋음,좋음,좋음
울진후정,20210712,0.2,0.2,-,23,22,23,보통,좋음,보통
추자도,20210712,0.7,0.6,-,24,21,20,보통,보통,보통
동명항,20210710,0.4,0.6,0.6,23,22,21,보통,보통,보통
월포해수욕장,20210710,0.3,0.5,0.5,24,24,23,보통,보통,보통
구조라해수욕장,20210710,0.3,0.3,0.7999999999999999,22,21,22,보통,보통,보통
문섬,20210710,1.0,1.1,0.7,25,23,23,나쁨,매우나쁨,나쁨
동명항,20210711,0.4,0.5,-,24,23,21,보통,보통,보통
월포해수욕장,20210711,0.4,0.5,-,23,22,23,보통,보통,보통
구조라해수욕장,20210711,0.4,0.4,-,23,22,23,보통,보통,보통
문섬,20210711,1.5,1.6,-,24,22,24,매우나쁨,매우나쁨,매우나쁨
동명항,20210712,0.3,0.3,-,24,24,21,보통,보통,보통
월포해수욕장,20210712,0.2,0.2,-,22,22,22,보통,보통,보통
구조라해수욕장,20210712,0.3,0.4,-,22,22,22,보통,보통,보통
문섬,20210712,0.9,0.9,-,25,22,25,나쁨,나쁨,나쁨
