OBS, STN, SST, MWHT
조위관측,인천,23.08,-999.0
조위관측,평택,21.85,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,25.1,-999.0
조위관측,부산,22.59,-999.0
조위관측,묵호,20.26,-999.0
조위관측,목포,23.14,-999.0
조위관측,안산,23.35,-999.0
조위관측,포항,23.42,-999.0
조위관측,서귀포,22.6,-999.0
조위관측,후포,21.9,-999.0
조위관측,속초,19.42,-999.0
조위관측,울릉도,21.65,-999.0
조위관측,통영,22.4,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,24.14,-999.0
조위관측,대산,18.48,-999.0
조위관측,군산,22.28,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,18.38,-999.0
조위관측,추자도,19.8,-999.0
조위관측,성산포,24.2,-999.0
조위관측,모슬포,21.3,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,23.7,-999.0
조위관측,고흥발포,23.89,-999.0
조위관측,완도,21.3,-999.0
조위관측,진도,22.01,-999.0
조위관측,거제도,22.1,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,22.74,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,20.6,-999.0
조위관측,어청도,21.82,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,24.09,-999.0
해양부이,이어도,25.449,0.8
해양부이,신안가거초,25.432,0.74
해양부이,옹진소청초,22.619,0.46
해양부이,경포대해수욕장,21.94,0.44
해양부이,상왕등도,22.06,0.27
해양부이,우이도,-999.0,0.78
해양부이,생일도,21.46,0.4
해양부이,해운대해수욕장,20.77,0.5
해양부이,군산항,22.83,-999.0
해양부이,평택·당진항,21.37,-999.0
해양부이,대천해수욕장,23.44,0.26
해양부이,여수항,23.71,-999.0
해양부이,통영항,22.54,-999.0
해양부이,완도항,21.14,-999.0
해양부이,부산항,20.6,-999.0
해양부이,부산항신항,23.53,-999.0
해양부이,경인항,23.28,-999.0
해양부이,광양항,23.68,-999.0
해양부이,태안항,17.82,-999.0
해양부이,감천항,17.76,0.1
해양부이,인천항,22.19,-999.0
해양부이,마산항,24.48,-999.0
해양부이,송정해수욕장,23.26,0.55
해양부이,낙산해수욕장,21.91,0.48
해양부이,중문해수욕장,23.3,0.72
해양부이,제주남부,26.8,-999.0
해양부이,대한해협,22.8,0.81
해양부이,남해동부,-999.0,-999.0
해양부이,제주해협,25.7,0.56
해양부이,울릉도북동,22.17,0.5
해양부이,울릉도북서,22.45,0.35
