생산일,코드,권역,해수욕장,예측일자,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,강수량,강수량점수,특보,특보점수,총점수,예보지수
20210710,HS1,황해중부,대천해수욕장,20210710,AM,22.6,3,23.4,5,3.3,4,0.3,5,0.0,5,-,5,4.60,좋음
20210710,HS1,황해중부,대천해수욕장,20210710,PM,22.5,3,23.4,5,3.0,4,0.3,5,0.0,5,-,5,4.60,좋음
20210710,HS2,황해중부,춘장대해수욕장,20210710,AM,22.9,3,23.4,5,2.9,4,0.3,5,0.0,5,-,5,4.60,좋음
20210710,HS2,황해중부,춘장대해수욕장,20210710,PM,22.7,3,23.4,5,2.9,4,0.3,5,0.0,5,-,5,4.60,좋음
20210710,HS3,황해중부,무창포해수욕장,20210710,AM,22.6,3,23.4,5,3.7,4,0.3,5,0.0,5,-,5,4.60,좋음
20210710,HS3,황해중부,무창포해수욕장,20210710,PM,22.4,3,23.4,5,2.8,4,0.3,5,0.0,5,-,5,4.60,좋음
20210710,HS4,황해중부,꽃지해수욕장,20210710,AM,25.2,4,20.4,4,5.5,3,0.2,5,0.0,5,-,5,4.25,좋음
20210710,HS4,황해중부,꽃지해수욕장,20210710,PM,24.9,4,20.4,4,5.6,3,0.2,5,0.0,5,-,5,4.25,좋음
20210710,HS5,황해중부,만리포해수욕장,20210710,AM,26.4,4,21.0,4,6.5,3,0.3,5,0.0,5,-,5,4.25,좋음
20210710,HS5,황해중부,만리포해수욕장,20210710,PM,26.1,4,21.0,4,6.7,3,0.3,5,0.0,5,-,5,4.25,좋음
20210710,HS6,황해중부,몽산포해수욕장,20210710,AM,21.6,2,21.0,4,4.8,4,0.3,5,0.0,5,-,5,4.45,좋음
20210710,HS6,황해중부,몽산포해수욕장,20210710,PM,21.6,2,21.0,4,5.0,3,0.3,5,0.0,5,-,5,4.15,좋음
20210710,HS7,황해남부,우전해수욕장,20210710,AM,23.9,3,21.5,4,5.2,3,0.2,5,0.0,5,-,5,4.20,좋음
20210710,HS7,황해남부,우전해수욕장,20210710,PM,24.7,4,21.5,4,5.2,3,0.2,5,0.0,5,-,5,4.25,좋음
20210710,HS8,황해중부,연포해수욕장,20210710,AM,21.4,2,21.0,4,4.3,4,0.3,5,0.0,5,-,5,4.45,좋음
20210710,HS8,황해중부,연포해수욕장,20210710,PM,21.5,2,21.0,4,5.0,3,0.3,5,0.0,5,-,5,4.15,좋음
20210710,HS9,황해중부,어은돌해수욕장,20210710,AM,21.4,2,21.0,4,4.7,4,0.3,5,0.0,5,-,5,4.45,좋음
20210710,HS9,황해중부,어은돌해수욕장,20210710,PM,21.5,2,21.0,4,5.0,3,0.3,5,0.0,5,-,5,4.15,좋음
20210710,HS10,황해중부,신두리해수욕장,20210710,AM,27.6,5,17.8,2,6.2,3,0.3,5,0.0,5,-,5,4.10,좋음
20210710,HS10,황해중부,신두리해수욕장,20210710,PM,27.3,5,17.8,2,6.8,3,0.3,5,0.0,5,-,5,4.10,좋음
20210710,HS11,황해중부,학암포해수욕장,20210710,AM,22.6,3,17.8,2,4.9,4,0.2,5,0.0,5,-,5,4.30,좋음
20210710,HS11,황해중부,학암포해수욕장,20210710,PM,22.4,3,17.8,2,5.6,3,0.2,5,0.0,5,-,5,4.00,좋음
20210710,HS12,황해남부,가마미해수욕장,20210710,AM,24.3,4,21.6,4,5.4,3,0.2,5,0.0,5,-,5,4.25,좋음
20210710,HS12,황해남부,가마미해수욕장,20210710,PM,24.0,4,21.6,4,4.8,4,0.2,5,0.0,5,-,5,4.55,좋음
20210710,HS15,황해남부,가계해수욕장,20210710,AM,24.4,4,22.0,5,4.0,4,0.4,5,0.0,5,-,5,4.65,좋음
20210710,HS15,황해남부,가계해수욕장,20210710,PM,24.6,4,22.0,5,5.6,3,0.4,5,0.0,5,-,5,4.35,좋음
20210710,HS16,황해중부,을왕리해수욕장,20210710,AM,21.1,2,22.2,5,3.3,4,0.2,5,0.0,5,-,5,4.55,좋음
20210710,HS16,황해중부,을왕리해수욕장,20210710,PM,20.9,2,22.2,5,5.7,3,0.2,5,0.0,5,-,5,4.25,좋음
20210710,HS17,남해서부,만성리해수욕장,20210710,AM,25.5,4,24.1,5,5.6,3,0.3,5,0.0,5,-,5,4.35,좋음
20210710,HS17,남해서부,만성리해수욕장,20210710,PM,25.7,4,24.1,5,7.0,3,0.3,5,0.0,5,-,5,4.35,좋음
20210710,HS18,남해동부,상주해수욕장,20210710,AM,27.1,5,24.1,5,4.3,4,0.5,4,0.0,5,-,5,4.15,좋음
20210710,HS18,남해동부,상주해수욕장,20210710,PM,26.6,4,24.1,5,5.2,3,0.5,4,0.0,5,-,5,3.80,보통
20210710,HS19,남해서부,명사십리해수욕장,20210710,AM,24.5,4,21.3,4,3.8,4,0.5,4,0.0,5,-,5,4.00,좋음
20210710,HS19,남해서부,명사십리해수욕장,20210710,PM,25.0,4,21.3,4,5.6,3,0.5,4,0.0,5,-,5,3.70,보통
20210710,HS20,제주도,함덕서우봉해수욕장,20210710,AM,25.9,4,25.1,5,8.2,2,0.3,5,0.0,5,-,5,4.05,좋음
20210710,HS20,제주도,함덕서우봉해수욕장,20210710,PM,26.0,4,25.1,5,7.7,3,0.3,5,5.1,2,-,5,2.00,나쁨
20210710,HS21,제주도,협재해수욕장,20210710,AM,26.6,4,25.1,5,7.1,3,0.1,5,0.0,5,-,5,4.35,좋음
20210710,HS21,제주도,협재해수욕장,20210710,PM,26.8,4,25.1,5,8.3,2,0.1,5,3.5,3,-,5,3.00,보통
20210710,HS22,제주도,중문색달해수욕장,20210710,AM,26.6,4,23.3,5,4.7,4,0.7,4,6.1,2,-,5,2.00,나쁨
20210710,HS22,제주도,중문색달해수욕장,20210710,PM,25.8,4,23.3,5,1.8,5,0.7,4,8.7,2,-,5,2.00,나쁨
20210710,HS23,남해서부,율포해수욕장,20210710,AM,24.6,4,21.3,4,5.7,3,0.5,4,0.0,5,-,5,3.70,보통
20210710,HS23,남해서부,율포해수욕장,20210710,PM,24.9,4,21.3,4,7.6,3,0.5,4,0.0,5,-,5,3.70,보통
20210710,HS24,황해남부,송호해수욕장,20210710,AM,24.8,4,22.0,5,4.1,4,0.3,5,0.0,5,-,5,4.65,좋음
20210710,HS24,황해남부,송호해수욕장,20210710,PM,24.5,4,22.0,5,4.6,4,0.3,5,0.0,5,-,5,4.65,좋음
20210710,HS25,제주도,이호테우해수욕장,20210710,AM,32.7,5,25.1,5,8.9,2,0.3,5,0.0,5,-,5,4.10,좋음
20210710,HS25,제주도,이호테우해수욕장,20210710,PM,31.3,5,25.1,5,8.5,2,0.3,5,0.0,5,-,5,4.10,좋음
20210710,HS26,제주도,표선해비치해수욕장,20210710,AM,30.3,5,23.2,5,6.4,3,0.6,4,0.0,5,-,5,3.85,보통
20210710,HS26,제주도,표선해비치해수욕장,20210710,PM,29.1,5,23.2,5,7.6,3,0.6,4,0.0,5,-,5,3.85,보통
20210710,HS28,남해동부,구조라해수욕장,20210710,AM,27.6,5,22.1,5,5.7,3,0.7,4,0.0,5,-,5,3.85,보통
20210710,HS28,남해동부,구조라해수욕장,20210710,PM,26.7,4,22.1,5,7.1,3,0.7,4,0.0,5,-,5,3.80,보통
20210710,HS29,남해동부,해운대해수욕장,20210710,AM,23.9,3,20.8,4,5.9,3,0.5,4,0.0,5,-,5,3.65,보통
20210710,HS29,남해동부,해운대해수욕장,20210710,PM,24.3,4,20.8,4,9.6,2,0.5,4,0.0,5,-,5,3.40,보통
20210710,HS30,남해동부,광안리해수욕장,20210710,AM,24.2,4,20.8,4,5.9,3,0.5,4,0.0,5,-,5,3.70,보통
20210710,HS30,남해동부,광안리해수욕장,20210710,PM,24.7,4,20.8,4,9.2,2,0.5,4,0.0,5,-,5,3.40,보통
20210710,HS31,남해동부,송도해수욕장,20210710,AM,23.8,3,22.6,5,7.6,3,0.5,4,0.0,5,-,5,3.75,보통
20210710,HS31,남해동부,송도해수욕장,20210710,PM,24.4,4,22.6,5,10.2,1,0.5,4,0.0,5,-,5,3.20,보통
20210710,HS32,남해동부,송정해수욕장,20210710,AM,24.6,4,23.3,5,5.8,3,0.6,4,0.0,5,-,5,3.80,보통
20210710,HS32,남해동부,송정해수욕장,20210710,PM,24.6,4,23.3,5,9.6,2,0.6,4,0.0,5,-,5,3.50,보통
20210710,HS33,남해동부,다대포해수욕장,20210710,AM,24.8,4,22.2,5,8.4,2,0.5,4,0.0,5,-,5,3.50,보통
20210710,HS33,남해동부,다대포해수욕장,20210710,PM,24.9,4,22.2,5,9.8,2,0.5,4,0.0,5,-,5,3.50,보통
20210710,HS34,남해동부,일광해수욕장,20210710,AM,25.2,4,18.4,3,8.8,2,0.3,5,0.0,5,-,5,3.85,보통
20210710,HS34,남해동부,일광해수욕장,20210710,PM,25.5,4,18.4,3,10.2,1,0.3,5,0.0,5,-,5,3.55,보통
20210710,HS35,동해중부,경포해수욕장,20210710,AM,22.4,3,21.9,4,4.7,4,0.4,5,0.0,5,-,5,4.50,좋음
20210710,HS35,동해중부,경포해수욕장,20210710,PM,23.2,3,21.9,4,8.5,2,0.4,5,0.0,5,-,5,3.90,보통
20210710,HS36,동해중부,망상해수욕장,20210710,AM,25.2,4,20.3,4,4.2,4,0.4,5,0.0,5,-,5,4.55,좋음
20210710,HS36,동해중부,망상해수욕장,20210710,PM,24.8,4,20.3,4,5.2,3,0.4,5,2.0,3,-,5,3.00,보통
20210710,HS37,동해중부,속초해수욕장,20210710,AM,23.0,3,19.4,3,4.3,4,0.5,4,0.0,5,-,5,3.85,보통
20210710,HS37,동해중부,속초해수욕장,20210710,PM,23.1,3,19.4,3,6.9,3,0.5,4,0.0,5,-,5,3.55,보통
20210710,HS38,동해중부,낙산해수욕장,20210710,AM,22.8,3,21.9,4,4.0,4,0.5,4,0.0,5,-,5,3.95,보통
20210710,HS38,동해중부,낙산해수욕장,20210710,PM,23.2,3,21.9,4,6.1,3,0.5,4,6.0,2,-,5,2.00,나쁨
20210710,HS39,동해남부,영일대해수욕장,20210710,AM,29.0,5,23.4,5,2.8,4,0.4,5,0.0,5,-,5,4.70,매우좋음
20210710,HS39,동해남부,영일대해수욕장,20210710,PM,31.1,5,23.4,5,5.8,3,0.4,5,0.0,5,-,5,4.40,좋음
20210710,HS40,동해남부,월포해수욕장,20210710,AM,23.7,3,23.4,5,2.9,4,0.4,5,0.0,5,-,5,4.60,좋음
20210710,HS40,동해남부,월포해수욕장,20210710,PM,25.4,4,23.4,5,3.8,4,0.4,5,0.5,3,-,5,3.00,보통
20210710,HS41,동해중부,주문진해수욕장,20210710,AM,22.7,3,21.5,4,4.0,4,0.4,5,0.0,5,-,5,4.50,좋음
20210710,HS41,동해중부,주문진해수욕장,20210710,PM,23.2,3,21.5,4,5.4,3,0.4,5,0.0,5,-,5,4.20,좋음
20210710,HS42,동해남부,고래불해수욕장,20210710,AM,23.2,3,21.9,4,5.3,3,0.7,4,0.0,5,-,5,3.65,보통
20210710,HS42,동해남부,고래불해수욕장,20210710,PM,23.7,3,21.9,4,4.7,4,0.7,4,2.0,3,-,5,3.00,보통
20210710,HS43,동해중부,화진포해수욕장,20210710,AM,22.6,3,19.4,3,3.1,4,0.5,4,0.0,5,-,5,3.85,보통
20210710,HS43,동해중부,화진포해수욕장,20210710,PM,22.6,3,19.4,3,5.9,3,0.5,4,2.0,3,-,5,3.00,보통
20210710,HS44,동해남부,관성해수욕장,20210710,AM,28.8,5,18.4,3,7.1,3,0.4,5,0.0,5,-,5,4.20,좋음
20210710,HS44,동해남부,관성해수욕장,20210710,PM,30.0,5,18.4,3,7.8,3,0.4,5,2.5,3,-,5,3.00,보통
20210710,HS46,동해중부,삼척해수욕장,20210710,AM,22.9,3,20.3,4,4.7,4,0.4,5,0.0,5,-,5,4.50,좋음
20210710,HS46,동해중부,삼척해수욕장,20210710,PM,22.8,3,20.3,4,7.3,3,0.4,5,0.0,5,-,5,4.20,좋음
20210710,HS47,동해중부,송지호해수욕장,20210710,AM,22.8,3,19.4,3,4.0,4,0.5,4,0.0,5,-,5,3.85,보통
20210710,HS47,동해중부,송지호해수욕장,20210710,PM,22.9,3,19.4,3,6.9,3,0.5,4,2.0,3,-,5,3.00,보통
20210710,HS49,동해남부,칠포해수욕장,20210710,AM,23.7,3,23.4,5,2.7,4,0.4,5,0.0,5,-,5,4.60,좋음
20210710,HS49,동해남부,칠포해수욕장,20210710,PM,25.7,4,23.4,5,4.5,4,0.4,5,0.0,5,-,5,4.65,좋음
20210710,HS50,동해남부,진하해수욕장,20210710,AM,24.6,4,18.4,3,10.8,1,0.4,5,0.0,5,-,5,3.55,보통
20210710,HS50,동해남부,진하해수욕장,20210710,PM,24.9,4,18.4,3,11.3,1,0.4,5,0.0,5,-,5,3.55,보통
20210710,HS51,황해남부,변산해수욕장,20210710,AM,24.2,4,23.7,5,4.9,4,0.1,5,0.0,5,-,5,4.65,좋음
20210710,HS51,황해남부,변산해수욕장,20210710,PM,24.3,4,23.7,5,5.3,3,0.1,5,0.0,5,-,5,4.35,좋음
20210710,HS52,황해남부,선유도해수욕장,20210710,AM,23.3,3,22.3,5,4.4,4,0.2,5,0.0,5,-,5,4.60,좋음
20210710,HS52,황해남부,선유도해수욕장,20210710,PM,23.3,3,22.3,5,4.7,4,0.2,5,0.0,5,-,5,4.60,좋음
20210710,HS53,황해남부,구시포해수욕장,20210710,AM,24.0,4,21.6,4,6.0,3,0.2,5,0.0,5,-,5,4.25,좋음
20210710,HS53,황해남부,구시포해수욕장,20210710,PM,23.9,3,21.6,4,5.1,3,0.2,5,0.0,5,-,5,4.20,좋음
20210710,HS1,황해중부,대천해수욕장,20210711,AM,22.4,3,23.5,5,4.0,4,0.2,5,6.5,2,-,5,2.00,나쁨
20210710,HS1,황해중부,대천해수욕장,20210711,PM,22.7,3,24.4,5,3.0,4,0.2,5,21.8,1,-,5,1.00,매우나쁨
20210710,HS2,황해중부,춘장대해수욕장,20210711,AM,22.8,3,24.4,5,3.7,4,0.1,5,4.5,3,-,5,3.00,보통
20210710,HS2,황해중부,춘장대해수욕장,20210711,PM,23.1,3,25.2,5,3.2,4,0.1,5,21.8,1,-,5,1.00,매우나쁨
20210710,HS3,황해중부,무창포해수욕장,20210711,AM,22.6,3,24.1,5,4.5,4,0.2,5,3.0,3,-,5,3.00,보통
20210710,HS3,황해중부,무창포해수욕장,20210711,PM,22.8,3,24.9,5,3.1,4,0.2,5,21.9,1,-,5,1.00,매우나쁨
20210710,HS4,황해중부,꽃지해수욕장,20210711,AM,24.4,4,21.8,4,5.5,3,0.1,5,0.0,5,-,5,4.25,좋음
20210710,HS4,황해중부,꽃지해수욕장,20210711,PM,24.7,4,21.9,4,4.9,4,0.1,5,7.0,2,-,5,2.00,나쁨
20210710,HS5,황해중부,만리포해수욕장,20210711,AM,24.7,4,21.0,4,6.1,3,0.1,5,0.0,5,-,5,4.25,좋음
20210710,HS5,황해중부,만리포해수욕장,20210711,PM,26.3,4,21.0,4,5.3,3,0.1,5,3.5,3,-,5,3.00,보통
20210710,HS6,황해중부,몽산포해수욕장,20210711,AM,21.8,2,21.0,4,5.1,3,0.1,5,5.0,3,-,5,3.00,보통
20210710,HS6,황해중부,몽산포해수욕장,20210711,PM,21.9,2,21.0,4,3.9,4,0.1,5,0.0,5,-,5,4.45,좋음
20210710,HS7,황해남부,우전해수욕장,20210711,AM,23.8,3,21.5,4,4.4,4,0.1,5,0.0,5,-,5,4.50,좋음
20210710,HS7,황해남부,우전해수욕장,20210711,PM,24.3,4,21.5,4,5.0,3,0.1,5,17.9,1,-,5,1.00,매우나쁨
20210710,HS8,황해중부,연포해수욕장,20210711,AM,21.7,2,22.1,5,5.1,3,0.2,5,5.0,3,-,5,3.00,보통
20210710,HS8,황해중부,연포해수욕장,20210711,PM,21.8,2,22.3,5,3.6,4,0.1,5,0.0,5,-,5,4.55,좋음
20210710,HS9,황해중부,어은돌해수욕장,20210711,AM,21.5,2,21.0,4,4.7,4,0.2,5,0.0,5,-,5,4.45,좋음
20210710,HS9,황해중부,어은돌해수욕장,20210711,PM,21.7,2,21.0,4,3.8,4,0.1,5,0.0,5,-,5,4.45,좋음
20210710,HS10,황해중부,신두리해수욕장,20210711,AM,26.2,4,19.1,3,6.3,3,0.1,5,0.0,5,-,5,4.15,좋음
20210710,HS10,황해중부,신두리해수욕장,20210711,PM,27.3,5,19.4,3,5.5,3,0.1,5,7.0,2,-,5,2.00,나쁨
20210710,HS11,황해중부,학암포해수욕장,20210711,AM,22.0,3,17.8,2,5.6,3,0.1,5,0.0,5,-,5,4.00,좋음
20210710,HS11,황해중부,학암포해수욕장,20210711,PM,22.1,3,17.8,2,4.8,4,0.1,5,3.5,3,-,5,3.00,보통
20210710,HS12,황해남부,가마미해수욕장,20210711,AM,23.9,3,21.6,4,4.6,4,0.1,5,0.0,5,-,5,4.50,좋음
20210710,HS12,황해남부,가마미해수욕장,20210711,PM,23.6,3,21.6,4,4.9,4,0.1,5,15.7,1,-,5,1.00,매우나쁨
20210710,HS15,황해남부,가계해수욕장,20210711,AM,24.5,4,21.8,4,6.1,3,0.4,5,0.0,5,-,5,4.25,좋음
20210710,HS15,황해남부,가계해수욕장,20210711,PM,24.6,4,22.9,5,6.2,3,0.4,5,7.0,2,-,5,2.00,나쁨
20210710,HS16,황해중부,을왕리해수욕장,20210711,AM,20.7,2,23.1,5,3.9,4,0.1,5,1.5,3,-,5,3.00,보통
20210710,HS16,황해중부,을왕리해수욕장,20210711,PM,21.0,2,23.6,5,3.5,4,0.1,5,0.0,5,-,5,4.55,좋음
20210710,HS17,남해서부,만성리해수욕장,20210711,AM,25.7,4,23.0,5,7.6,3,0.2,5,1.5,3,-,5,3.00,보통
20210710,HS17,남해서부,만성리해수욕장,20210711,PM,25.6,4,23.6,5,7.9,3,0.3,5,3.5,3,-,5,3.00,보통
20210710,HS18,남해동부,상주해수욕장,20210711,AM,26.1,4,23.9,5,5.3,3,0.8,4,0.0,5,-,5,3.80,보통
20210710,HS18,남해동부,상주해수욕장,20210711,PM,26.4,4,24.6,5,5.2,3,0.9,4,0.0,5,-,5,3.80,보통
