생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,특보,특보점수,총점수,예보지수
20210711,SF2,황해남부,가거도,20210711,감성돔,BP,9,5,0.7,0.8,0.9,3,25,26,27,1,24.0,25.0,26.0,5,5,6,7,3,-,5,3.00,보통
20210711,SF35,남해서부,거문도,20210711,농어,SB,9,4,0.6,0.7,0.8,3,21,22,23,4,24.0,25.0,25.0,5,3,4,4,4,-,5,3.68,보통
20210711,SF37,남해서부,거문도,20210711,참돔,RP,9,4,0.6,0.7,0.8,3,21,22,23,4,24.0,25.0,25.0,5,3,4,4,4,-,5,3.68,보통
20210711,SF38,남해서부,거문도,20210711,감성돔,BP,9,5,0.6,0.7,0.8,3,21,22,23,3,24.0,25.0,25.0,5,3,4,4,4,-,5,3.64,보통
20210711,SF39,남해서부,거문도,20210711,우럭,RF,9,3,0.6,0.7,0.8,3,21,22,23,3,24.0,25.0,25.0,5,3,4,4,4,-,5,3.32,보통
20210711,SF14,남해동부,거제도,20210711,우럭,RF,9,3,0.3,0.4,0.4,4,22,22,23,3,26.0,27.0,27.0,5,1,4,6,3,-,5,3.44,보통
20210711,SF11,황해중부,국화도,20210711,우럭,RF,9,3,0.1,0.1,0.2,5,20,21,21,4,22.0,22.0,23.0,4,2,4,6,3,-,5,3.96,보통
20210711,SF56,제주도,김녕,20210711,벵에돔,OP,9,5,0.1,0.1,0.2,5,26,27,27,1,25.0,26.0,26.0,5,1,3,4,4,-,5,3.96,보통
20210711,SF57,제주도,김녕,20210711,농어,SB,9,4,0.1,0.1,0.2,5,26,27,27,2,25.0,26.0,26.0,5,1,3,4,4,-,5,4.00,좋음
20210711,SF58,제주도,김녕,20210711,돌돔,RB,9,2,0.1,0.1,0.2,5,26,27,27,3,25.0,26.0,26.0,5,1,3,4,4,-,5,3.88,보통
20210711,SF59,제주도,김녕,20210711,참돔,RP,9,4,0.1,0.1,0.2,5,26,27,27,2,25.0,26.0,26.0,5,1,3,4,4,-,5,4.00,좋음
20210711,SF49,황해중부,모항항,20210711,우럭,RF,9,3,0.2,0.3,0.3,4,18,19,19,5,21.0,22.0,23.0,4,4,5,5,4,-,5,4.04,좋음
20210711,SF50,황해중부,모항항,20210711,감성돔,BP,9,5,0.2,0.3,0.3,4,18,19,19,4,21.0,22.0,23.0,4,4,5,5,4,-,5,4.16,좋음
20210711,SF51,황해중부,방포항,20210711,우럭,RF,9,3,0.2,0.3,0.3,4,21,22,23,3,21.0,22.0,23.0,4,4,4,5,4,-,5,3.64,보통
20210711,SF74,남해동부,부산남부,20210711,우럭,RF,9,3,0.8,0.8,0.9,3,19,20,20,4,27.0,27.0,28.0,5,4,6,7,3,-,5,3.28,보통
