FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
SW,20210711,AM,25.6,16.4,4.7,16.2,20.9,7.3,0.5,11.7,9.0,2.4,0.4,0.5,1.0,24.9,0,0.0,-,-,79.4,매우좋음
SW,20210711,PM,26.9,14.1,6.5,13.1,22.1,7.3,0.4,10.0,9.0,2.4,0.3,1.0,1.0,24.9,0,0.0,-,-,72.8,좋음
SW,20210712,AM,27.1,13.8,5.0,15.7,20.7,7.3,0.3,10.0,10.0,2.4,0.4,0.5,1.0,24.9,0,0.0,-,-,74.6,좋음
SW,20210712,PM,27.1,13.8,6.3,13.4,22.1,7.3,0.3,10.0,10.0,2.4,0.4,0.5,1.0,24.9,0,0.0,-,-,72.3,좋음
SW,20210713,AM,26.1,15.5,4.7,16.2,20.5,7.3,0.2,10.0,11.0,2.4,0.4,0.5,1.0,24.9,0,0.0,-,-,76.8,매우좋음
SW,20210713,PM,26.9,14.1,5.7,14.5,21.8,7.3,0.1,10.0,11.0,2.4,0.4,0.5,1.0,24.9,0,0.0,-,-,73.7,좋음
SW,20210714,DY,26.6,14.6,4.0,17.4,22.2,7.2,0.4,10.0,12.0,3.9,0.3,1.0,1.0,24.9,0,0.0,-,-,79.0,매우좋음
SW,20210715,DY,25.3,16.9,3.2,18.8,22.6,7.0,0.2,10.0,13.0,3.9,0.4,0.5,1.0,24.9,0,0.0,-,-,82.0,매우좋음
SW,20210716,DY,25.2,17.1,2.7,19.7,23.3,6.7,0.1,10.0,14.0,3.9,0.3,1.0,1.0,24.9,0,0.0,-,-,83.3,매우좋음
SW,20210717,DY,27.5,13.1,4.5,16.6,23.7,6.5,0.1,10.0,15.0,4.9,0.4,0.5,1.0,24.9,0,0.0,-,-,76.5,매우좋음
NE,20210711,AM,25.1,14.3,6.0,11.6,18.5,9.7,0.4,11.8,9.0,5.3,0.3,0.4,1.0,20.2,0,0.0,-,-,73.3,좋음
NE,20210711,PM,26.0,13.0,8.3,8.2,19.9,13.6,0.4,11.8,9.0,5.3,0.3,0.4,1.0,20.2,0,0.0,-,-,72.5,좋음
NE,20210712,AM,25.9,13.1,6.3,11.1,18.3,9.1,0.2,11.8,10.0,5.3,0.3,0.4,1.0,20.2,0,0.0,-,-,71.0,좋음
NE,20210712,PM,26.1,12.8,8.0,8.7,20.1,13.8,0.3,11.8,10.0,5.3,0.3,0.4,1.0,20.2,0,0.0,-,-,73.0,좋음
NE,20210713,AM,25.5,13.7,6.6,10.7,17.9,8.0,0.2,11.8,11.0,5.3,0.2,0.7,1.0,20.2,0,0.0,-,-,70.4,좋음
NE,20210713,PM,26.1,12.8,7.5,9.4,19.5,12.4,0.2,11.8,11.0,5.3,0.3,0.4,1.0,20.2,0,0.0,-,-,72.3,좋음
NE,20210714,DY,25.6,13.6,4.7,13.4,19.8,13.3,0.2,11.8,12.0,8.5,0.3,0.4,1.0,20.2,0,0.0,-,-,81.2,매우좋음
NE,20210715,DY,23.9,16.0,2.4,16.7,20.6,13.8,0.1,11.8,13.0,8.5,0.3,0.4,1.0,20.2,0,0.0,-,-,87.4,매우좋음
NE,20210716,DY,24.1,15.7,2.4,16.7,22.3,13.6,0.1,11.8,14.0,8.5,0.3,0.4,1.0,20.2,0,0.0,-,-,86.9,매우좋음
NE,20210717,DY,26.2,12.7,5.8,11.8,22.3,13.6,0.0,11.8,15.0,10.6,0.3,0.4,1.0,20.2,0,0.0,-,-,81.1,매우좋음
