OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.4,-999.0,-999.0,-999.0,-999.0
조위관측,평택,22,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.1,-999.0,-999.0,-999.0,-999.0
조위관측,부산,22.51,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,20.5,-999.0,-999.0,-999.0,-999.0
조위관측,목포,23.25,-999.0,-999.0,-999.0,-999.0
조위관측,안산,24.08,-999.0,-999.0,-999.0,-999.0
조위관측,포항,23.19,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,23.1,-999.0,-999.0,-999.0,-999.0
조위관측,후포,19.4,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.31,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,22.02,-999.0,-999.0,-999.0,-999.0
조위관측,통영,22.6,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,23.95,-999.0,-999.0,-999.0,-999.0
조위관측,대산,18.73,-999.0,-999.0,-999.0,-999.0
조위관측,군산,22.72,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.25,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,19.6,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,24.9,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,21,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,23.8,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,23.94,-999.0,-999.0,-999.0,-999.0
조위관측,완도,21.29,-999.0,-999.0,-999.0,-999.0
조위관측,진도,22.17,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.4,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,22.36,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,19.89,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,22.81,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,23.97,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,25.676,0.79,206.95,-999.0,5.43
해양부이,신안가거초,25.666,1.15,178.62,191.38,5.82
해양부이,옹진소청초,23.873,0.46,196.34,55.95,6.49
해양부이,경포대해수욕장,21.9,0.46,33,239.7,5.76
해양부이,상왕등도,21.71,0.32,242,264.9,4.68
해양부이,우이도,-999.0,1.08,209,150.8,6.08
해양부이,생일도,21.05,0.36,183,282.8,5.85
해양부이,해운대해수욕장,21.12,0.46,157,208.9,5.07
해양부이,군산항,23.76,-999.0,-999.0,241.4,-999.0
해양부이,평택·당진항,21.46,-999.0,-999.0,300.9,-999.0
해양부이,대천해수욕장,23.41,0.36,217,191,3.71
해양부이,여수항,23.43,-999.0,-999.0,162.1,-999.0
해양부이,통영항,22.2,-999.0,-999.0,29.9,-999.0
해양부이,완도항,20.85,-999.0,-999.0,113.8,-999.0
해양부이,부산항,20.18,-999.0,-999.0,134.5,-999.0
해양부이,부산항신항,23.01,-999.0,-999.0,84.3,-999.0
해양부이,경인항,23.56,-999.0,-999.0,178,-999.0
해양부이,광양항,23.42,-999.0,-999.0,85.2,-999.0
해양부이,태안항,18.45,-999.0,-999.0,244.7,-999.0
해양부이,감천항,17.44,0.11,-999.0,-999.0,5.68
해양부이,인천항,22.95,-999.0,-999.0,245.3,-999.0
해양부이,마산항,24.71,-999.0,-999.0,198.6,-999.0
해양부이,송정해수욕장,22.95,0.55,216,49.5,5.61
해양부이,낙산해수욕장,22.36,0.36,23,249.2,4.52
해양부이,중문해수욕장,23.47,1.13,180,300.8,5.63
해양부이,제주남부,26.7,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,22.7,0.96,213,72,6
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,26.1,0.63,248,20,5.5
해양부이,울릉도북동,22.83,0.81,203,102,5.4
해양부이,울릉도북서,23.47,0.74,174,103,5.3
