NAME,Date_time,WHT,SST
상왕등도,2021-07-12 09,0.08,21.5
상왕등도,2021-07-12 12,0.15,22.95
상왕등도,2021-07-12 15,0.19,22.18
상왕등도,2021-07-12 18,0.17,22.93
상왕등도,2021-07-13 21,0.48,21.89
상왕등도,2021-07-13 00,0.26,21.72
상왕등도,2021-07-13 03,0.3,20.41
상왕등도,2021-07-13 06,0.15,21.18
상왕등도,2021-07-13 09,0.22,21.25
상왕등도,2021-07-13 12,0.09,21.74
상왕등도,2021-07-13 15,0.43,20.96
상왕등도,2021-07-13 18,0.15,20.9
상왕등도,2021-07-14 21,0.09,22.24
상왕등도,2021-07-14 00,0.17,21.77
상왕등도,2021-07-14 03,0.13,21.06
상왕등도,2021-07-14 06,0.19,21.39
상왕등도,2021-07-14 09,0.1,21.52
상왕등도,2021-07-14 12,0.1,21.93
상왕등도,2021-07-14 15,0.1,21.27
상왕등도,2021-07-14 18,0.12,21.97
추자도,2021-07-12 09,0.8,23.5
추자도,2021-07-12 12,0.79,24.64
추자도,2021-07-12 15,0.8,24.58
추자도,2021-07-12 18,0.81,24.26
추자도,2021-07-13 21,0.79,24.13
추자도,2021-07-13 00,0.83,22.5
추자도,2021-07-13 03,0.97,23.17
추자도,2021-07-13 06,1.0,24.0
추자도,2021-07-13 09,0.98,23.72
추자도,2021-07-13 12,0.95,24.68
추자도,2021-07-13 15,0.94,24.93
추자도,2021-07-13 18,0.94,24.56
추자도,2021-07-14 21,0.96,24.14
추자도,2021-07-14 00,0.97,22.74
추자도,2021-07-14 03,0.95,23.37
추자도,2021-07-14 06,0.92,24.64
추자도,2021-07-14 09,0.89,24.16
추자도,2021-07-14 12,0.86,24.58
추자도,2021-07-14 15,0.81,24.91
추자도,2021-07-14 18,0.75,24.71
울진후정,2021-07-12 09,0.17,22.6
울진후정,2021-07-12 12,0.23,23.46
울진후정,2021-07-12 15,0.18,23.77
울진후정,2021-07-12 18,0.03,23.46
울진후정,2021-07-13 21,0.06,23.97
울진후정,2021-07-13 00,0.13,23.72
울진후정,2021-07-13 03,0.1,23.73
울진후정,2021-07-13 06,0.14,23.37
울진후정,2021-07-13 09,0.02,23.62
울진후정,2021-07-13 12,0.16,24.53
울진후정,2021-07-13 15,0.09,24.25
울진후정,2021-07-13 18,0.07,23.58
울진후정,2021-07-14 21,0.07,23.44
울진후정,2021-07-14 00,0.09,22.8
울진후정,2021-07-14 03,0.15,23.19
울진후정,2021-07-14 06,0.22,22.82
울진후정,2021-07-14 09,0.1,23.43
울진후정,2021-07-14 12,0.07,23.7
울진후정,2021-07-14 15,0.1,24.7
