OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.87,-999.0,-999.0,-999.0,-999.0
조위관측,평택,22.59,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.7,-999.0,-999.0,-999.0,-999.0
조위관측,부산,22.85,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,21.08,-999.0,-999.0,-999.0,-999.0
조위관측,목포,22.93,-999.0,-999.0,-999.0,-999.0
조위관측,안산,23.83,-999.0,-999.0,-999.0,-999.0
조위관측,포항,21.9,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,22.3,-999.0,-999.0,-999.0,-999.0
조위관측,후포,18.5,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.82,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,23.27,-999.0,-999.0,-999.0,-999.0
조위관측,통영,23.2,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,25.21,-999.0,-999.0,-999.0,-999.0
조위관측,대산,19.68,-999.0,-999.0,-999.0,-999.0
조위관측,군산,22.49,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.23,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,20.3,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,24.8,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,21.7,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,24.3,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,24.41,-999.0,-999.0,-999.0,-999.0
조위관측,완도,21.86,-999.0,-999.0,-999.0,-999.0
조위관측,진도,22.22,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.6,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,23.2,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.33,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,22.37,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,24.18,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,26.302,0.94,209.94,-999.0,5.31
해양부이,신안가거초,25.45,0.83,172.72,20.87,4.44
해양부이,옹진소청초,24.144,0.74,197.34,331.46,4.61
해양부이,경포대해수욕장,22.47,0.3,19,126.6,5.13
해양부이,상왕등도,22.1,0.27,226,21,4.34
해양부이,우이도,-999.0,0.77,199,318.9,5.17
해양부이,생일도,20.68,0.42,250,143.4,4.6
해양부이,해운대해수욕장,20.44,0.37,158,310.6,4.22
해양부이,군산항,22.37,-999.0,-999.0,20.1,-999.0
해양부이,평택·당진항,20.45,-999.0,-999.0,97.7,-999.0
해양부이,대천해수욕장,23.96,0.29,212,34,3.93
해양부이,여수항,23.24,-999.0,-999.0,201,-999.0
해양부이,통영항,22.17,-999.0,-999.0,100.1,-999.0
해양부이,완도항,22.73,-999.0,-999.0,89.7,-999.0
해양부이,부산항,21.56,-999.0,-999.0,327.1,-999.0
해양부이,부산항신항,24.33,-999.0,-999.0,80.2,-999.0
해양부이,경인항,24.44,-999.0,-999.0,352.8,-999.0
해양부이,광양항,25.62,-999.0,-999.0,223.1,-999.0
해양부이,태안항,19.01,-999.0,-999.0,45.2,-999.0
해양부이,감천항,17.19,0.07,-999.0,-999.0,4.99
해양부이,인천항,23.45,-999.0,-999.0,79.4,-999.0
해양부이,마산항,24.6,-999.0,-999.0,79.6,-999.0
해양부이,송정해수욕장,20.36,0.61,188,79,5.07
해양부이,낙산해수욕장,22.29,0.29,33,58.4,4.83
해양부이,중문해수욕장,23.82,0.97,203,58,5.62
해양부이,제주남부,27,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,23.5,0.77,198,63,4.7
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,27.1,0.5,241,147,4.9
해양부이,울릉도북동,24.02,0.45,183,282,4.8
해양부이,울릉도북서,26.2,0.46,182,240,4.8
