OBS, STN, SST, MWHT
조위관측,인천,23.89,-999.0
조위관측,평택,23.31,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,25.3,-999.0
조위관측,부산,23.61,-999.0
조위관측,묵호,22.99,-999.0
조위관측,목포,22.91,-999.0
조위관측,안산,23.84,-999.0
조위관측,포항,22.31,-999.0
조위관측,서귀포,23,-999.0
조위관측,후포,22.7,-999.0
조위관측,속초,22.79,-999.0
조위관측,울릉도,23.5,-999.0
조위관측,통영,23.2,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,25.36,-999.0
조위관측,대산,19.76,-999.0
조위관측,군산,22.72,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,18.7,-999.0
조위관측,추자도,20.8,-999.0
조위관측,성산포,22.2,-999.0
조위관측,모슬포,24.71,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,24.5,-999.0
조위관측,고흥발포,24.74,-999.0
조위관측,완도,22.98,-999.0
조위관측,진도,22.25,-999.0
조위관측,거제도,22.6,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,23.72,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,19.89,-999.0
조위관측,어청도,23.35,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,24.21,-999.0
해양부이,이어도,26.336,1.11
해양부이,신안가거초,25.171,1.23
해양부이,옹진소청초,23.784,1.55
해양부이,경포대해수욕장,23.09,0.23
해양부이,상왕등도,22.18,0.56
해양부이,우이도,-999.0,1.39
해양부이,생일도,20.79,0.48
해양부이,해운대해수욕장,20.66,0.49
해양부이,군산항,22.73,-999.0
해양부이,평택·당진항,21.22,-999.0
해양부이,대천해수욕장,24.36,0.5
해양부이,여수항,23.96,-999.0
해양부이,통영항,23.13,-999.0
해양부이,완도항,22.15,-999.0
해양부이,부산항,21.23,-999.0
해양부이,부산항신항,22.37,-999.0
해양부이,경인항,24.64,-999.0
해양부이,광양항,24.21,-999.0
해양부이,태안항,20.67,-999.0
해양부이,감천항,21.76,0.09
해양부이,인천항,23.31,-999.0
해양부이,마산항,25.02,-999.0
해양부이,송정해수욕장,22.26,0.54
해양부이,낙산해수욕장,23.15,0.23
해양부이,중문해수욕장,24.08,1.01
해양부이,제주남부,27.3,-999.0
해양부이,대한해협,24.1,0.72
해양부이,남해동부,-999.0,-999.0
해양부이,제주해협,27.4,0.56
해양부이,울릉도북동,24.13,0.36
해양부이,울릉도북서,25.98,0.37
