FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
NW,20210713,AM,27.6,13.3,6.6,13.3,25.7,4.6,0.4,6.4,11.0,2.4,0.2,2.9,3.0,18.6,3,0.0,-,-,67.5,좋음
NW,20210713,PM,28.5,11.7,7.2,12.2,26.2,4.4,0.4,6.4,11.0,2.4,0.3,2.0,3.0,18.6,3,0.0,-,-,63.7,보통
NW,20210714,AM,27.7,13.1,5.4,15.5,26.1,4.4,0.3,6.4,12.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,70.7,좋음
NW,20210714,PM,27.8,12.9,5.6,15.1,26.4,4.3,0.3,6.4,12.0,3.8,0.3,2.0,3.1,18.6,3,0.0,-,-,69.1,좋음
NW,20210715,AM,26.5,15.3,3.0,19.8,26.6,4.2,0.2,6.4,13.0,3.8,0.2,2.9,3.6,8.0,3,0.0,-,-,66.4,좋음
NW,20210715,PM,26.4,15.5,3.2,19.4,26.9,4.1,0.2,6.4,13.0,3.8,0.2,2.9,3.7,8.0,3,0.0,-,-,66.1,좋음
NW,20210716,DY,26.7,14.9,5.2,15.8,26.9,4.1,0.2,6.4,14.0,3.8,0.2,2.9,3.0,18.6,3,0.0,-,-,72.5,좋음
NW,20210717,DY,26.4,15.5,5.7,14.9,25.7,4.6,0.2,6.4,15.0,4.8,0.2,2.9,3.0,18.6,3,0.0,-,-,73.7,좋음
NW,20210718,DY,27.1,14.2,7.8,11.1,26.1,4.4,0.3,6.4,1.0,4.8,0.2,2.9,4.0,8.0,3,0.0,-,-,57.8,보통
NW,20210719,DY,28.3,12.0,8.4,10.1,25.8,4.6,0.8,6.0,2.0,4.8,0.2,2.9,4.0,8.0,3,0.0,-,-,54.4,나쁨
SW,20210713,AM,26.8,14.2,5.9,14.0,25.2,5.7,0.9,6.7,11.0,2.6,0.4,1.2,2.6,17.4,3,0.0,-,-,67.8,좋음
SW,20210713,PM,26.6,14.5,5.1,15.4,25.6,5.5,0.9,6.7,11.0,2.6,0.5,0.1,3.0,17.4,3,0.0,-,-,68.2,좋음
SW,20210714,AM,26.3,15.0,4.3,16.8,25.6,5.5,0.7,7.9,12.0,4.2,0.4,1.2,3.0,17.4,3,0.0,-,-,74.0,좋음
