FC_AREA,DATE,HR,MEAN_TEMP,TEMP_SCRE,MEAN_WSPD,WSPD_SCRE,MEAN_SST,SST_SCRE,MEAN_WHT,WAVE_SCRE,MUL,MUL_SCRE,MEAN_CURR,CURR_SCRE,MEAN_SKY,SKY_SCRE,CARNIVAL_NUM,MEAN_RAIN,WARN_SEA,WARN_LAND,FINAL_SCRE,SCRE_CLASS
CN,20210713,AM,26.4,14.8,3.6,17.9,23.9,8.2,0.2,9.6,11.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,78.0,매우좋음
CN,20210713,PM,26.4,14.8,5.1,15.3,24.8,7.6,0.2,9.6,11.0,3.4,,0.0,1.0,24.1,0,0.0,-,-,74.8,좋음
CN,20210714,AM,26.1,15.3,4.1,17.1,23.7,8.3,0.1,9.6,12.0,5.5,,0.0,1.2,24.1,0,0.0,-,-,79.9,매우좋음
CN,20210714,PM,26.1,15.3,4.6,16.2,24.2,8.0,0.1,9.6,12.0,5.5,,0.0,1.1,24.1,0,0.0,-,-,78.7,매우좋음
CN,20210715,AM,25.8,15.9,1.9,20.9,23.8,8.3,0.1,9.6,13.0,5.5,,0.0,3.0,16.9,0,0.1,-,-,60.0,보통
CN,20210715,PM,26.1,15.3,3.4,18.3,24.5,7.8,0.1,9.6,13.0,5.5,,0.0,1.7,24.1,0,0.3,-,-,60.0,보통
CN,20210716,DY,26.0,15.5,4.3,16.7,24.9,7.6,0.2,9.6,14.0,5.5,,0.0,4.0,7.2,0,0.0,-,-,62.1,보통
CN,20210717,DY,26.1,15.3,6.2,13.4,24.8,7.6,0.4,9.6,15.0,6.9,,0.0,3.0,16.9,0,0.0,-,-,69.7,좋음
CN,20210718,DY,27.4,13.1,6.4,13.1,25.3,7.3,0.4,9.6,1.0,6.9,,0.0,3.8,7.2,0,0.0,-,-,57.2,보통
CN,20210719,DY,27.5,12.9,7.8,10.7,25.6,7.1,0.8,9.0,2.0,6.9,,0.0,4.0,7.2,0,0.0,-,-,53.8,나쁨
IS,20210713,AM,25.8,10.2,3.3,11.8,24.2,13.2,0.6,14.4,11.0,7.7,0.3,3.0,1.0,15.5,0,0.0,-,-,75.8,매우좋음
IS,20210713,PM,25.6,10.4,5.1,9.8,24.8,12.6,0.6,14.4,11.0,7.7,0.4,1.6,1.0,15.5,0,0.0,-,-,72.0,좋음
IS,20210714,AM,25.5,10.5,4.4,10.6,23.7,13.7,0.5,15.5,12.0,12.4,0.3,3.0,2.5,10.8,0,0.0,-,-,76.5,매우좋음
IS,20210714,PM,25.5,10.5,4.3,10.7,24.3,13.1,0.4,13.2,12.0,12.4,0.4,1.6,1.8,15.5,0,0.0,-,-,77.0,매우좋음
IS,20210715,AM,25.4,10.6,1.8,13.5,24.2,13.2,0.3,13.2,13.0,12.4,0.3,3.0,3.0,10.8,0,0.0,-,-,76.7,매우좋음
IS,20210715,PM,25.4,10.6,2.7,12.5,24.6,12.8,0.2,13.2,13.0,12.4,0.3,3.0,2.7,10.8,0,0.0,-,-,75.3,매우좋음
IS,20210716,DY,24.9,11.2,4.9,10.1,25.1,12.3,0.3,13.2,14.0,12.4,0.3,3.0,4.0,4.6,0,0.0,-,-,66.8,좋음
IS,20210717,DY,24.9,11.2,6.9,7.8,24.8,12.6,0.7,13.4,15.0,15.5,0.3,3.0,3.0,10.8,0,0.0,-,-,74.3,좋음
IS,20210718,DY,25.5,10.5,7.8,6.9,25.5,11.9,0.9,11.3,1.0,15.5,0.3,3.0,3.8,4.6,0,0.0,-,-,63.7,보통
IS,20210719,DY,25.7,10.3,9.1,5.4,25.8,11.6,1.6,4.1,2.0,15.5,0.4,1.6,4.0,4.6,0,0.0,-,-,53.1,나쁨
