생성시간, 예측시간, 지점코드, 선박명, 운항지점, 지수, 지수단계, 수정사유
2021-07-14,2021-07-14 00:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 06:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 18:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 06:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 12:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 18:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 00:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
