생산일,코드,권역,지역,예측일자,갯벌열림시간,갯벌닫힘시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210825,TL2,황해중부,백미리마을,20210825,09:00,15:10,6.17,5,24.8,26.4,27.5,5,3.5,4.8,5.9,3,4,2,8.1,2,-,5,2.00,나쁨
20210825,TL3,남해동부,문항마을,20210825,15:00,18:00,3.00,5,24.8,25.8,26.6,5,0.1,2.0,4.7,4,4,2,3.1,3,-,5,3.00,보통
20210825,TL5,황해남부,만돌마을,20210825,09:00,12:10,3.17,5,23.9,25.2,26.4,5,2.0,4.2,5.8,3,4,2,4.6,3,-,5,3.00,보통
20210825,TL6,황해남부,하전마을,20210825,09:00,13:40,4.67,5,23.8,25.0,26.2,5,2.2,4.2,5.7,3,4,2,5.7,2,-,5,2.00,나쁨
20210825,TL9,황해중부,월하성마을,20210825,09:00,13:40,4.67,5,23.8,25.3,26.2,5,4.5,4.9,5.4,3,4,2,12.5,1,-,5,1.00,매우나쁨
20210825,TL10,황해중부,선감마을,20210825,11:00,14:00,3.00,5,23.9,24.7,24.9,5,5.2,6.2,7.1,3,4,2,10.8,1,-,5,1.00,매우나쁨
20210825,TL13,황해남부,돌머리마을,20210825,09:00,13:40,4.67,5,23.8,24.9,26.1,5,0.4,2.2,3.1,4,4,2,9.3,2,-,5,2.00,나쁨
20210825,TL17,황해남부,신시도마을,20210825,09:00,14:40,5.67,5,23.8,24.8,25.4,5,3.4,5.5,7.5,3,4,2,7.7,2,-,5,2.00,나쁨
20210825,TL20,남해동부,다대마을,20210825,15:00,16:50,1.83,4,25.3,25.4,25.6,5,3.7,5.7,6.5,3,4,2,3.2,3,-,5,3.00,보통
20210825,TL21,남해동부,냉천마을,20210825,14:40,18:00,3.33,5,25.0,25.8,26.8,5,0.6,2.0,4.5,4,4,2,1.5,3,-,5,3.00,보통
20210825,TL25,황해중부,병술만마을,20210825,10:10,14:10,4.00,5,24.0,24.4,24.9,5,6.3,7.1,8.1,3,4,2,11.0,1,-,5,1.00,매우나쁨
20210825,TL31,남해서부,백사마을,20210825,16:20,18:00,1.67,4,25.2,26.8,28.3,5,1.0,3.1,4.6,4,4,2,6.0,2,-,5,2.00,나쁨
20210825,TL32,남해서부,장양마을,20210825,15:20,18:00,2.67,5,25.2,26.5,27.4,5,0.8,2.7,3.7,4,4,2,3.6,3,-,5,3.00,보통
20210825,TL33,남해서부,거차마을,20210825,10:00,18:00,8.00,5,25.0,26.3,27.5,5,1.8,2.6,3.5,4,4,2,2.0,3,-,5,3.00,보통
20210825,TL34,황해남부,죽림마을,20210825,0:00,0:00,0.00,0,23.9,26.4,28.9,5,1.5,3.6,5.3,3,4,2,1.6,3,-,5,0.00,체험불가
20210825,TL2,황해중부,백미리마을,20210826,09:00,15:50,6.83,5,25.0,26.9,28.0,5,5.0,5.7,6.1,3,4,2,0.0,5,-,5,4.15,좋음
20210825,TL3,남해동부,문항마을,20210826,15:30,18:00,2.50,5,25.8,26.5,27.1,5,1.4,3.1,5.5,3,3,3,0.0,5,-,5,4.35,좋음
20210825,TL5,황해남부,만돌마을,20210826,09:00,12:40,3.67,5,25.6,26.0,26.4,5,3.0,5.0,6.6,3,3,3,1.8,3,-,5,3.00,보통
20210825,TL6,황해남부,하전마을,20210826,10:10,14:10,4.00,5,25.6,25.9,26.5,5,2.6,5.0,6.8,3,3,3,1.1,3,-,5,3.00,보통
20210825,TL9,황해중부,월하성마을,20210826,10:10,14:10,4.00,5,24.8,26.4,27.2,5,3.0,5.0,5.5,3,4,2,0.0,5,-,5,4.15,좋음
20210825,TL10,황해중부,선감마을,20210826,11:30,14:30,3.00,5,24.5,24.9,25.1,5,5.4,6.2,7.1,3,4,2,0.0,5,-,5,4.15,좋음
20210825,TL13,황해남부,돌머리마을,20210826,10:10,14:10,4.00,5,25.6,26.8,28.0,5,1.8,3.4,5.2,3,3,3,2.8,3,-,5,3.00,보통
20210825,TL17,황해남부,신시도마을,20210826,09:00,15:10,6.17,5,24.9,25.6,26.1,5,5.1,6.1,7.0,3,3,3,0.0,5,-,5,4.35,좋음
20210825,TL20,남해동부,다대마을,20210826,15:30,17:20,1.83,4,24.9,25.1,25.4,5,4.1,5.3,5.9,3,1,5,0.0,5,-,5,4.12,좋음
