생산일,코드,해수욕장,예측일자,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,총점수
20210826,HS1,대천해수욕장,20210825,AM,24.1,4,25.8,5,7.2,3,0.6,4,3.80
20210826,HS1,대천해수욕장,20210825,PM,24.9,4,25.8,5,6.5,3,0.6,4,3.80
20210826,HS2,춘장대해수욕장,20210825,AM,24.2,4,25.8,5,6.2,3,0.6,4,3.80
20210826,HS2,춘장대해수욕장,20210825,PM,25.0,4,25.8,5,6.3,3,0.6,4,3.80
20210826,HS3,무창포해수욕장,20210825,AM,24.2,4,25.8,5,6.8,3,0.6,4,3.80
20210826,HS3,무창포해수욕장,20210825,PM,24.9,4,25.8,5,6.3,3,0.6,4,3.80
20210826,HS4,꽃지해수욕장,20210825,AM,25.4,4,25.2,5,7.4,3,0.6,4,3.80
20210826,HS4,꽃지해수욕장,20210825,PM,25.3,4,25.0,5,7.0,3,0.4,5,4.35
20210826,HS5,만리포해수욕장,20210825,AM,26.5,4,23.6,5,8.3,2,0.7,4,3.50
20210826,HS5,만리포해수욕장,20210825,PM,25.7,4,23.7,5,7.4,3,0.8,4,3.80
20210826,HS6,몽산포해수욕장,20210825,AM,24.1,4,23.6,5,8.8,2,0.7,4,3.50
20210826,HS6,몽산포해수욕장,20210825,PM,24.4,4,23.7,5,7.7,3,0.8,4,3.80
20210826,HS7,우전해수욕장,20210825,AM,23.6,3,24.9,5,4.5,4,0.7,4,4.05
20210826,HS7,우전해수욕장,20210825,PM,24.8,4,25.1,5,4.7,4,0.9,4,4.10
20210826,HS8,연포해수욕장,20210825,AM,24.2,4,23.6,5,8.9,2,0.7,4,3.50
20210826,HS8,연포해수욕장,20210825,PM,24.4,4,23.7,5,7.8,3,0.8,4,3.80
20210826,HS9,어은돌해수욕장,20210825,AM,24.4,4,23.6,5,9.4,2,0.7,4,3.50
20210826,HS9,어은돌해수욕장,20210825,PM,24.5,4,23.7,5,8.1,2,0.8,4,3.50
20210826,HS10,신두리해수욕장,20210825,AM,27.4,5,23.3,5,8.0,2,0.7,4,3.55
20210826,HS10,신두리해수욕장,20210825,PM,26.3,4,23.4,5,7.1,3,0.8,4,3.80
20210826,HS11,학암포해수욕장,20210825,AM,25.3,4,23.3,5,8.4,2,0.4,5,4.05
20210826,HS11,학암포해수욕장,20210825,PM,25.0,4,23.4,5,7.2,3,0.5,4,3.80
20210826,HS12,가마미해수욕장,20210825,AM,24.0,4,25.0,5,4.0,4,0.6,4,4.10
20210826,HS12,가마미해수욕장,20210825,PM,25.4,4,25.2,5,5.8,3,0.6,4,3.80
20210826,HS15,가계해수욕장,20210825,AM,24.6,4,25.1,5,3.5,4,1.0,3,3.55
20210826,HS15,가계해수욕장,20210825,PM,25.4,4,25.0,5,4.1,4,0.9,4,4.10
20210826,HS16,을왕리해수욕장,20210825,AM,24.3,4,25.1,5,8.5,2,0.6,4,3.50
20210826,HS16,을왕리해수욕장,20210825,PM,24.2,4,25.5,5,7.8,3,0.3,5,4.35
20210826,HS17,만성리해수욕장,20210825,AM,25.4,4,26.7,5,2.7,4,0.4,5,4.65
20210826,HS17,만성리해수욕장,20210825,PM,25.8,4,26.7,5,5.9,3,0.6,4,3.80
20210826,HS18,상주해수욕장,20210825,AM,25.7,4,26.7,5,2.8,4,1.0,3,3.55
20210826,HS18,상주해수욕장,20210825,PM,26.0,4,26.7,5,3.5,4,1.1,3,3.55
20210826,HS19,명사십리해수욕장,20210825,AM,25.0,4,25.4,5,3.2,4,0.7,4,4.10
20210826,HS19,명사십리해수욕장,20210825,PM,25.5,4,25.4,5,4.1,4,1.0,3,3.55
20210826,HS20,함덕서우봉해수욕장,20210825,AM,25.3,4,24.7,5,6.2,3,0.7,4,3.80
20210826,HS20,함덕서우봉해수욕장,20210825,PM,25.8,4,24.9,5,3.8,4,0.8,4,4.10
20210826,HS21,협재해수욕장,20210825,AM,26.0,4,24.7,5,5.2,3,1.2,3,3.25
20210826,HS21,협재해수욕장,20210825,PM,27.2,5,24.9,5,7.6,3,0.9,4,3.85
20210826,HS22,중문색달해수욕장,20210825,AM,26.6,4,24.0,5,5.5,3,1.4,3,3.25
20210826,HS22,중문색달해수욕장,20210825,PM,26.5,4,23.8,5,5.2,3,2.0,1,2.15
20210826,HS23,율포해수욕장,20210825,AM,24.9,4,25.4,5,1.7,5,0.7,4,4.40
20210826,HS23,율포해수욕장,20210825,PM,25.3,4,25.4,5,5.0,3,1.0,3,3.25
20210826,HS24,송호해수욕장,20210825,AM,25.1,4,25.1,5,3.7,4,0.6,4,4.10
20210826,HS24,송호해수욕장,20210825,PM,25.7,4,25.0,5,4.2,4,0.5,4,4.10
20210826,HS25,이호테우해수욕장,20210825,AM,26.1,4,24.7,5,6.3,3,0.7,4,3.80
20210826,HS25,이호테우해수욕장,20210825,PM,29.5,5,24.9,5,7.5,3,0.8,4,3.85
20210826,HS26,표선해비치해수욕장,20210825,AM,28.2,5,25.3,5,6.0,3,0.7,4,3.85
20210826,HS26,표선해비치해수욕장,20210825,PM,27.2,5,25.0,5,7.4,3,0.7,4,3.85
20210826,HS28,구조라해수욕장,20210825,AM,26.1,4,23.6,5,5.0,3,1.1,3,3.25
20210826,HS28,구조라해수욕장,20210825,PM,26.6,4,24.1,5,5.4,3,1.5,2,2.70
20210826,HS29,해운대해수욕장,20210825,AM,25.5,4,20.1,4,8.0,2,0.7,4,3.40
20210826,HS29,해운대해수욕장,20210825,PM,25.7,4,19.9,3,7.7,3,0.8,4,3.60
20210826,HS30,광안리해수욕장,20210825,AM,25.7,4,20.1,4,7.5,3,0.7,4,3.70
20210826,HS30,광안리해수욕장,20210825,PM,26.0,4,19.9,3,7.5,3,0.8,4,3.60
20210826,HS31,송도해수욕장,20210825,AM,25.3,4,24.1,5,6.8,3,0.9,4,3.80
20210826,HS31,송도해수욕장,20210825,PM,25.6,4,24.3,5,7.0,3,0.8,4,3.80
20210826,HS32,송정해수욕장,20210825,AM,25.6,4,21.7,4,8.3,2,0.8,4,3.40
20210826,HS32,송정해수욕장,20210825,PM,25.8,4,19.5,3,7.8,3,1.1,3,3.05
20210826,HS33,다대포해수욕장,20210825,AM,25.7,4,23.6,5,7.9,3,0.9,4,3.80
20210826,HS33,다대포해수욕장,20210825,PM,25.9,4,23.6,5,7.3,3,0.8,4,3.80
20210826,HS34,일광해수욕장,20210825,AM,26.4,4,22.0,5,7.5,3,0.6,4,3.80
20210826,HS34,일광해수욕장,20210825,PM,26.4,4,21.8,4,7.2,3,0.7,4,3.70
20210826,HS35,경포해수욕장,20210825,AM,23.5,3,22.9,5,5.8,3,1.2,3,3.20
20210826,HS35,경포해수욕장,20210825,PM,25.2,4,23.0,5,8.1,2,0.9,4,3.50
20210826,HS36,망상해수욕장,20210825,AM,23.8,3,22.5,5,3.3,4,0.8,4,4.05
20210826,HS36,망상해수욕장,20210825,PM,26.0,4,22.5,5,5.3,3,1.0,3,3.25
20210826,HS37,속초해수욕장,20210825,AM,23.3,3,22.8,5,4.5,4,1.1,3,3.50
20210826,HS37,속초해수욕장,20210825,PM,23.9,3,22.8,5,4.2,4,0.9,4,4.05
20210826,HS38,낙산해수욕장,20210825,AM,23.3,3,22.9,5,4.5,4,1.1,3,3.50
20210826,HS38,낙산해수욕장,20210825,PM,24.0,4,22.9,5,4.7,4,0.9,4,4.10
20210826,HS39,영일대해수욕장,20210825,AM,28.1,5,24.9,5,3.0,4,0.4,5,4.70
20210826,HS39,영일대해수욕장,20210825,PM,25.3,4,25.1,5,2.8,4,0.3,5,4.65
20210826,HS40,월포해수욕장,20210825,AM,25.6,4,24.9,5,3.5,4,0.4,5,4.65
20210826,HS40,월포해수욕장,20210825,PM,25.3,4,25.1,5,3.7,4,0.3,5,4.65
20210826,HS41,주문진해수욕장,20210825,AM,23.3,3,21.5,4,4.1,4,1.0,3,3.40
20210826,HS41,주문진해수욕장,20210825,PM,24.6,4,21.6,4,6.2,3,0.8,4,3.70
20210826,HS42,고래불해수욕장,20210825,AM,26.2,4,24.9,5,5.4,3,1.1,3,3.25
20210826,HS42,고래불해수욕장,20210825,PM,25.5,4,25.0,5,6.2,3,0.9,4,3.80
20210826,HS43,화진포해수욕장,20210825,AM,22.7,3,22.8,5,4.0,4,1.0,3,3.50
20210826,HS43,화진포해수욕장,20210825,PM,23.3,3,22.8,5,4.4,4,1.0,3,3.50
20210826,HS44,관성해수욕장,20210825,AM,27.9,5,22.0,5,5.0,3,0.6,4,3.85
20210826,HS44,관성해수욕장,20210825,PM,25.4,4,21.8,4,3.3,4,0.8,4,4.00
20210826,HS46,삼척해수욕장,20210825,AM,23.7,3,22.5,5,4.6,4,0.8,4,4.05
20210826,HS46,삼척해수욕장,20210825,PM,24.5,4,22.5,5,7.5,3,1.0,3,3.25
20210826,HS47,송지호해수욕장,20210825,AM,23.2,3,22.8,5,3.1,4,1.0,3,3.50
20210826,HS47,송지호해수욕장,20210825,PM,23.6,3,22.8,5,4.5,4,1.0,3,3.50
20210826,HS49,칠포해수욕장,20210825,AM,25.7,4,24.9,5,5.5,3,0.4,5,4.35
20210826,HS49,칠포해수욕장,20210825,PM,25.2,4,25.1,5,4.2,4,0.3,5,4.65
20210826,HS50,진하해수욕장,20210825,AM,26.2,4,22.0,5,8.3,2,0.6,4,3.50
20210826,HS50,진하해수욕장,20210825,PM,26.2,4,21.8,4,8.5,2,0.8,4,3.40
20210826,HS51,변산해수욕장,20210825,AM,24.3,4,25.6,5,5.0,3,0.5,4,3.80
20210826,HS51,변산해수욕장,20210825,PM,25.7,4,25.8,5,6.8,3,0.4,5,4.35
20210826,HS52,선유도해수욕장,20210825,AM,24.1,4,26.2,5,4.8,4,0.6,4,4.10
20210826,HS52,선유도해수욕장,20210825,PM,25.1,4,26.0,5,7.4,3,0.6,4,3.80
20210826,HS53,구시포해수욕장,20210825,AM,24.0,4,25.0,5,3.6,4,0.6,4,4.10
20210826,HS53,구시포해수욕장,20210825,PM,25.6,4,25.2,5,5.8,3,0.6,4,3.80
