STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
SS1,동명항,20210826,AM,25.0,26.0,27.0,3.8,3.9,4.0,4,0
SS1,동명항,20210826,PM,27.0,27.3,28.0,3.5,3.9,4.1,4,0
SS1,동명항,20210827,AM,26.0,26.5,27.0,3.3,4.3,5.3,4,0
SS1,동명항,20210827,PM,24.0,25.3,27.0,3.3,5.0,5.8,4,0
SS1,동명항,20210828,AM,25.0,26.5,28.0,4.9,5.3,5.7,3,0
SS1,동명항,20210828,PM,26.0,27.3,28.0,4.1,4.6,4.9,1,0
SS2,남애항,20210826,AM,27.0,28.0,29.0,0.8,1.8,2.7,3,0
SS2,남애항,20210826,PM,28.0,28.3,29.0,2.7,2.9,3.1,4,0
SS2,남애항,20210827,AM,28.0,28.5,29.0,5.7,6.1,6.4,3,6.2
SS2,남애항,20210827,PM,28.0,28.7,29.0,5.2,6.0,6.4,3,1.5
SS2,남애항,20210828,AM,28.0,28.5,29.0,4.6,4.8,4.9,3,0
SS2,남애항,20210828,PM,28.0,28.7,29.0,3.8,4.3,4.6,3,0
SS3,강문해변,20210826,AM,24.0,25.0,26.0,0.9,1.1,1.4,4,0
SS3,강문해변,20210826,PM,26.0,26.0,26.0,1.4,1.5,1.8,4,0
SS3,강문해변,20210827,AM,26.0,26.5,27.0,3.1,3.7,4.2,4,0
SS3,강문해변,20210827,PM,23.0,25.0,27.0,3.1,3.4,3.6,4,0
SS3,강문해변,20210828,AM,24.0,25.5,27.0,2.8,3.1,3.4,4,0
SS3,강문해변,20210828,PM,26.0,26.7,27.0,2.2,2.5,2.8,1,0
SS4,오산항,20210826,AM,24.0,25.0,26.0,0.8,1.3,1.8,4,0
SS4,오산항,20210826,PM,26.0,27.0,28.0,1.2,1.6,1.9,4,0
SS4,오산항,20210827,AM,25.0,25.5,26.0,2.8,3.2,3.6,4,0
SS4,오산항,20210827,PM,24.0,25.3,26.0,1.5,2.6,3.4,4,0
SS4,오산항,20210828,AM,24.0,25.5,27.0,1.4,1.9,2.5,4,0
SS4,오산항,20210828,PM,26.0,26.7,27.0,0.9,1.1,1.4,1,0
SS5,월포해수욕장,20210826,AM,27.0,27.5,28.0,1.8,2.0,2.2,4,0
SS5,월포해수욕장,20210826,PM,27.0,27.7,28.0,2.2,2.9,3.5,4,0
SS5,월포해수욕장,20210827,AM,26.0,26.5,27.0,2.3,2.8,3.4,4,0
SS5,월포해수욕장,20210827,PM,25.0,26.3,27.0,2.1,2.6,3.5,4,0
SS5,월포해수욕장,20210828,AM,26.0,26.5,27.0,0.9,1.5,2.1,4,0
SS5,월포해수욕장,20210828,PM,26.0,26.7,27.0,2.1,3.2,4.3,4,0
SS6,구조라해수욕장,20210826,AM,27.0,28.0,29.0,1.1,2.6,4.1,1,0
SS6,구조라해수욕장,20210826,PM,29.0,29.3,30.0,1.1,1.4,1.9,3,0
SS6,구조라해수욕장,20210827,AM,27.0,27.5,28.0,1.6,2.2,2.7,3,0
SS6,구조라해수욕장,20210827,PM,27.0,27.7,28.0,0.9,1.7,2.7,4,0
SS6,구조라해수욕장,20210828,AM,26.0,27.5,29.0,1.2,2.2,3.3,4,0
SS6,구조라해수욕장,20210828,PM,28.0,28.7,29.0,1.2,1.8,2.2,4,0
SS7,미조도,20210826,AM,25.0,26.0,27.0,3.3,3.3,3.3,1,11.8
SS7,미조도,20210826,PM,25.0,26.0,27.0,3.3,3.7,4.3,3,0
SS7,미조도,20210827,AM,26.0,26.5,27.0,1.8,2.9,4.1,4,0
SS7,미조도,20210827,PM,26.0,26.7,27.0,4.1,4.8,5.7,4,0
SS7,미조도,20210828,AM,25.0,25.0,25.0,1.8,2.8,3.8,4,0.5
SS7,미조도,20210828,PM,25.0,25.3,26.0,1.8,3.2,4.3,4,4
SS8,거문도,20210826,AM,26.0,27.0,28.0,3.8,4.0,4.3,3,1.5
SS8,거문도,20210826,PM,27.0,27.7,28.0,3.8,4.3,4.7,3,0
SS8,거문도,20210827,AM,26.0,27.0,28.0,1.7,3.3,4.9,4,0
SS8,거문도,20210827,PM,27.0,28.0,29.0,4.9,6.0,6.6,4,0.5
SS8,거문도,20210828,AM,26.0,27.0,28.0,1.9,2.6,3.3,4,1.5
SS8,거문도,20210828,PM,27.0,27.7,28.0,1.9,3.4,5.1,4,3.9
SS9,성산일출봉,20210826,AM,26.0,26.5,27.0,1.6,1.7,1.8,3,0
SS9,성산일출봉,20210826,PM,27.0,27.0,27.0,1.2,1.5,1.7,3,0
SS9,성산일출봉,20210827,AM,27.0,28.0,29.0,4.5,4.8,5.2,4,0
SS9,성산일출봉,20210827,PM,28.0,28.7,29.0,3.1,3.9,4.5,1,0
SS9,성산일출봉,20210828,AM,27.0,27.5,28.0,3.9,4.7,5.4,4,0
SS9,성산일출봉,20210828,PM,27.0,27.7,28.0,2.7,3.3,3.9,4,0
SS10,문섬,20210826,AM,27.0,27.5,28.0,1.1,1.7,2.2,3,0
SS10,문섬,20210826,PM,28.0,28.3,29.0,2.2,3.1,3.8,3,0
SS10,문섬,20210827,AM,28.0,28.5,29.0,5.8,6.0,6.3,1,0
SS10,문섬,20210827,PM,28.0,28.7,29.0,5.3,5.8,6.3,1,0
SS10,문섬,20210828,AM,28.0,28.5,29.0,3.6,3.9,4.2,3,0
SS10,문섬,20210828,PM,28.0,28.7,29.0,3.1,3.4,3.6,3,0
SS11,홍도,20210826,AM,27.0,27.0,27.0,5.7,6.0,6.2,3,0
SS11,홍도,20210826,PM,27.0,27.0,27.0,3.9,4.9,5.7,4,0
SS11,홍도,20210827,AM,26.0,26.0,26.0,7.6,8.3,9.0,4,2.4
SS11,홍도,20210827,PM,25.0,25.7,26.0,4.9,7.0,9.0,4,6.4
SS11,홍도,20210828,AM,25.0,25.5,26.0,3.5,4.3,5.1,4,3.2
SS11,홍도,20210828,PM,25.0,25.7,26.0,2.8,3.3,3.5,4,0
SS12,울릉도,20210826,AM,26.0,27.0,28.0,2.1,2.5,2.8,3,0
SS12,울릉도,20210826,PM,26.0,27.0,28.0,2.1,3.1,3.9,3,0
SS12,울릉도,20210827,AM,27.0,27.5,28.0,2.1,2.4,2.7,3,0
SS12,울릉도,20210827,PM,24.0,26.3,28.0,2.1,4.6,7.5,4,0
SS12,울릉도,20210828,AM,26.0,26.5,27.0,3.3,3.9,4.5,4,0
SS12,울릉도,20210828,PM,25.0,26.3,27.0,3.4,4.1,4.5,3,0
