STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
SF2,가거도,20210828,AM,25.0,25.0,25.0,5.2,5.6,6.0,4,4.4
SF2,가거도,20210828,PM,25.0,25.7,26.0,4.2,5.1,6.0,4,10
SF2,가거도,20210829,AM,27.0,27.0,27.0,5.1,5.4,5.7,3,2.5
SF2,가거도,20210829,PM,27.0,27.0,27.0,5.2,5.6,5.8,4,2.5
SF2,가거도,20210830,AM,27.0,27.0,27.0,6.7,6.8,6.8,3,0
SF2,가거도,20210830,PM,27.0,27.0,27.0,4.6,5.6,6.8,4,0
SF21,거문도,20210828,AM,26.0,26.0,26.0,1.6,3.1,4.6,4,1.6
SF21,거문도,20210828,PM,26.0,26.7,27.0,1.5,1.8,2.4,4,2.5
SF21,거문도,20210829,AM,26.0,26.5,27.0,1.1,1.5,1.8,3,0
SF21,거문도,20210829,PM,27.0,27.0,27.0,1.8,2.3,2.7,3,0
SF21,거문도,20210830,AM,26.0,26.0,26.0,2.7,2.9,3.0,1,0
SF21,거문도,20210830,PM,26.0,26.7,27.0,2.6,2.6,2.7,1,0
SF35,거문도,20210828,AM,26.0,26.0,26.0,1.6,3.1,4.6,4,1.6
SF35,거문도,20210828,PM,26.0,26.7,27.0,1.5,1.8,2.4,4,2.5
SF35,거문도,20210829,AM,26.0,26.5,27.0,1.1,1.5,1.8,3,0
SF35,거문도,20210829,PM,27.0,27.0,27.0,1.8,2.3,2.7,3,0
SF35,거문도,20210830,AM,26.0,26.0,26.0,2.7,2.9,3.0,1,0
SF35,거문도,20210830,PM,26.0,26.7,27.0,2.6,2.6,2.7,1,0
SF36,거문도,20210828,AM,26.0,26.0,26.0,1.6,3.1,4.6,4,1.6
SF36,거문도,20210828,PM,26.0,26.7,27.0,1.5,1.8,2.4,4,2.5
SF36,거문도,20210829,AM,26.0,26.5,27.0,1.1,1.5,1.8,3,0
SF36,거문도,20210829,PM,27.0,27.0,27.0,1.8,2.3,2.7,3,0
SF36,거문도,20210830,AM,26.0,26.0,26.0,2.7,2.9,3.0,1,0
SF36,거문도,20210830,PM,26.0,26.7,27.0,2.6,2.6,2.7,1,0
SF37,거문도,20210828,AM,26.0,26.0,26.0,1.6,3.1,4.6,4,1.6
SF37,거문도,20210828,PM,26.0,26.7,27.0,1.5,1.8,2.4,4,2.5
SF37,거문도,20210829,AM,26.0,26.5,27.0,1.1,1.5,1.8,3,0
SF37,거문도,20210829,PM,27.0,27.0,27.0,1.8,2.3,2.7,3,0
SF37,거문도,20210830,AM,26.0,26.0,26.0,2.7,2.9,3.0,1,0
SF37,거문도,20210830,PM,26.0,26.7,27.0,2.6,2.6,2.7,1,0
SF38,거문도,20210828,AM,26.0,26.0,26.0,1.6,3.1,4.6,4,1.6
SF38,거문도,20210828,PM,26.0,26.7,27.0,1.5,1.8,2.4,4,2.5
SF38,거문도,20210829,AM,26.0,26.5,27.0,1.1,1.5,1.8,3,0
SF38,거문도,20210829,PM,27.0,27.0,27.0,1.8,2.3,2.7,3,0
SF38,거문도,20210830,AM,26.0,26.0,26.0,2.7,2.9,3.0,1,0
SF38,거문도,20210830,PM,26.0,26.7,27.0,2.6,2.6,2.7,1,0
SF39,거문도,20210828,AM,26.0,26.0,26.0,1.6,3.1,4.6,4,1.6
SF39,거문도,20210828,PM,26.0,26.7,27.0,1.5,1.8,2.4,4,2.5
SF39,거문도,20210829,AM,26.0,26.5,27.0,1.1,1.5,1.8,3,0
SF39,거문도,20210829,PM,27.0,27.0,27.0,1.8,2.3,2.7,3,0
SF39,거문도,20210830,AM,26.0,26.0,26.0,2.7,2.9,3.0,1,0
SF39,거문도,20210830,PM,26.0,26.7,27.0,2.6,2.6,2.7,1,0
SF14,거제도,20210828,AM,26.0,26.5,27.0,1.2,1.5,1.9,4,0
SF14,거제도,20210828,PM,26.0,27.0,28.0,1.2,1.7,2.2,4,0
SF14,거제도,20210829,AM,26.0,27.0,28.0,2.5,2.9,3.2,4,0
SF14,거제도,20210829,PM,27.0,27.7,28.0,3.2,3.8,4.4,4,3.8
SF14,거제도,20210830,AM,27.0,27.5,28.0,3.2,3.6,4.0,4,0
SF14,거제도,20210830,PM,27.0,27.7,28.0,3.8,4.1,4.5,4,2.4
SF11,국화도,20210828,AM,23.0,24.0,25.0,1.0,1.5,2.0,4,0
SF11,국화도,20210828,PM,24.0,25.0,26.0,2.0,2.7,3.2,4,0
SF11,국화도,20210829,AM,23.0,23.5,24.0,0.8,1.1,1.3,4,2.5
SF11,국화도,20210829,PM,24.0,24.3,25.0,0.7,1.3,1.9,4,0
SF11,국화도,20210830,AM,22.0,22.5,23.0,5.0,5.5,6.0,4,0
SF11,국화도,20210830,PM,23.0,24.0,25.0,1.9,3.1,5.0,4,0
SF56,김녕,20210828,AM,27.0,27.5,28.0,2.0,2.4,2.8,4,4.8
SF56,김녕,20210828,PM,27.0,27.7,28.0,1.4,1.7,2.0,4,0
SF56,김녕,20210829,AM,27.0,28.0,29.0,1.4,1.6,1.8,3,0
SF56,김녕,20210829,PM,28.0,28.3,29.0,0.8,1.4,1.8,3,0
SF56,김녕,20210830,AM,27.0,27.5,28.0,1.2,1.4,1.5,1,0
SF56,김녕,20210830,PM,27.0,27.7,28.0,1.5,2.2,3.0,3,0
SF57,김녕,20210828,AM,27.0,27.5,28.0,2.0,2.4,2.8,4,4.8
SF57,김녕,20210828,PM,27.0,27.7,28.0,1.4,1.7,2.0,4,0
SF57,김녕,20210829,AM,27.0,28.0,29.0,1.4,1.6,1.8,3,0
SF57,김녕,20210829,PM,28.0,28.3,29.0,0.8,1.4,1.8,3,0
SF57,김녕,20210830,AM,27.0,27.5,28.0,1.2,1.4,1.5,1,0
SF57,김녕,20210830,PM,27.0,27.7,28.0,1.5,2.2,3.0,3,0
SF58,김녕,20210828,AM,27.0,27.5,28.0,2.0,2.4,2.8,4,4.8
SF58,김녕,20210828,PM,27.0,27.7,28.0,1.4,1.7,2.0,4,0
SF58,김녕,20210829,AM,27.0,28.0,29.0,1.4,1.6,1.8,3,0
SF58,김녕,20210829,PM,28.0,28.3,29.0,0.8,1.4,1.8,3,0
SF58,김녕,20210830,AM,27.0,27.5,28.0,1.2,1.4,1.5,1,0
SF58,김녕,20210830,PM,27.0,27.7,28.0,1.5,2.2,3.0,3,0
SF59,김녕,20210828,AM,27.0,27.5,28.0,2.0,2.4,2.8,4,4.8
SF59,김녕,20210828,PM,27.0,27.7,28.0,1.4,1.7,2.0,4,0
SF59,김녕,20210829,AM,27.0,28.0,29.0,1.4,1.6,1.8,3,0
SF59,김녕,20210829,PM,28.0,28.3,29.0,0.8,1.4,1.8,3,0
SF59,김녕,20210830,AM,27.0,27.5,28.0,1.2,1.4,1.5,1,0
SF59,김녕,20210830,PM,27.0,27.7,28.0,1.5,2.2,3.0,3,0
