산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,특보,특보점수,총점수,예보지수
20210828,SR1,부산,송정해수욕장,20210828,AM,0.6,5,201.0,151.0,1,5.0,1,4.4,199.0,4,20.4,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210828,PM,0.3,2,291.0,241.0,1,4.4,1,6.3,60.0,3,22.9,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210829,AM,0.2,2,275.0,225.0,1,3.5,1,4.9,68.0,4,24.1,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210829,PM,0.3,2,277.0,227.0,1,3.1,1,8.1,58.0,3,24.5,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210830,AM,0.2,2,279.0,229.0,1,3.2,1,7.8,51.0,3,23.0,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210830,PM,0.2,2,280.0,230.0,1,3.1,1,8.0,54.0,3,23.8,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210831,AM,0.1,2,21.0,-29.0,1,4.3,1,8.5,226.0,3,24.8,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210831,PM,0.1,2,345.0,295.0,1,4.4,1,8.2,215.0,3,25.7,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210901,AM,0.3,2,270.0,220.0,1,4.5,1,5.1,57.0,3,25.9,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210901,PM,0.3,2,271.0,221.0,1,4.6,1,7.8,58.0,3,26.2,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210902,AM,0.5,5,288.0,238.0,1,5.6,1,10.1,48.0,2,23.8,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210902,PM,0.6,5,347.0,297.0,1,4.8,1,12.2,53.0,2,24.1,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210903,AM,0.3,2,359.0,309.0,1,5.1,1,8.6,28.0,3,21.1,5,-,5,2,나쁨
20210828,SR1,부산,송정해수욕장,20210903,PM,0.3,2,325.0,275.0,1,5.8,1,9.2,111.0,2,22.1,5,-,5,2,나쁨
