생산일,코드,권역,지역,예측일자,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소유속,평균유속,최대유속,유속점수,최소수온,평균수온,최대수온,수온점수,총점수
20210828,SS1,동해중부,동명항,20210827,12,3,0.3,0.4,0.5,4,0.1,0.10000000149011612,0.10000000149011612,5,23,23,23,4,4.05
20210828,SS2,동해중부,남애항,20210827,12,3,0.2,0.4,0.4,4,0.1,0.20000000298023224,0.30000001192092896,4,21,21,21,3,3.70
20210828,SS3,동해중부,강문해변,20210827,12,3,0.2,0.4,0.4,4,0.20000000298023224,0.20000000298023224,0.30000001192092896,4,23,23,23,4,3.80
20210828,SS4,동해남부,오산항,20210827,12,3,0.3,0.4,0.4,4,0.1,0.10000000149011612,0.20000000298023224,5,26,26,26,5,4.15
20210828,SS5,동해남부,월포해수욕장,20210827,12,3,0.3,0.3,0.3,4,0.1,0.10000000149011612,0.20000000298023224,5,25,25,26,5,4.15
20210828,SS6,남해동부,구조라해수욕장,20210827,12,3,0.4,0.5,0.6,3,0.10000000149011612,0.20000000298023224,0.30000001192092896,4,23,24,24,5,3.45
20210828,SS7,남해동부,미조도,20210827,12,3,0.2,0.3,0.4,4,0.10000000149011612,0.20000000298023224,0.30000001192092896,4,27,27,28,5,3.90
20210828,SS8,남해서부,거문도,20210827,12,3,0.9,0.9,1.0,3,0.20000000298023224,0.6000000238418579,1.2000000476837158,1,25,25,26,5,2.70
20210828,SS9,제주도,성산일출봉,20210827,12,3,0.3,0.4,0.5,4,0.1,0.30000001192092896,0.6000000238418579,1,25,25,26,5,3.15
20210828,SS10,제주도,문섬,20210827,12,3,0.7,0.9,1.1,2,0.30000001192092896,0.5,0.800000011920929,1,22,23,23,4,2.15
20210828,SS11,황해남부,홍도,20210827,12,3,0.7,0.9,1.5,2,0.20000000298023224,0.5,1.0,1,22,22,22,4,2.15
20210828,SS12,동해중부,울릉도,20210827,12,3,0.3,0.4,0.6,3,0.5,0.800000011920929,0.8999999761581421,1,24,24,24,5,2.70
20210828,SS13,제주도,어영,20210827,12,3,0.3,0.6,3.1,1,0.1,0.30000001192092896,0.6000000238418579,1,25,26,26,5,1.80
