WARNING_AREA,TYPE,START_DAY,START_TIME,END_DAY,END_TIME
-,SW,20210829,AM,20210829,AM
-,CW,20210829,AM,20210829,AM
-,DR,20210829,AM,20210829,AM
-,SS,20210829,AM,20210829,AM
-,WW,20210829,AM,20210829,AM
-,TY,20210829,AM,20210829,AM
-,SN,20210829,AM,20210829,AM
-,YD,20210829,AM,20210829,AM
영광,SR,20210829,AM,20210829,PM
익산,SR,20210829,AM,20210829,PM
김제,SR,20210829,AM,20210829,PM
부안,SR,20210829,AM,20210829,PM
고창,SR,20210829,AM,20210829,PM
제주도동부,HW,20210829,AM,20210829,PM
제주도북부,HW,20210829,AM,20210829,PM
제주도서부,HW,20210829,AM,20210829,PM
