생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210829,SD19,남해서부,우도,20210829,9:00,10:50,1.83,3,26.5,28.4,29.5,5,3.5,6.5,8.1,3,1,5,0,5,-,5,3.4,보통
20210829,SD19,남해서부,우도,20210829,17:35,18:00,0.42,1,26.5,28.4,29.5,5,3.5,6.5,8.1,3,1,5,6.7,2,-,5,1,매우나쁨
20210829,SD20,황해중부,선재도,20210829,10:32,18:00,7.47,5,21.6,22.2,23.9,4,2.6,5.4,7.4,3,1,5,0,5,-,5,4.75,매우좋음
20210829,SD21,황해남부,화도,20210829,9:00,18:00,9,5,25.6,25.9,27.2,5,5.9,6.7,7.5,3,1,5,7.3,2,-,5,2,나쁨
20210829,SD4,황해중부,제부도,20210829,9:57,18:00,8.05,5,21.5,22.2,24.7,4,2.8,5.5,9.2,2,1,5,0,5,-,5,4.65,좋음
20210829,SD5,제주도,서건도,20210829,9:00,10:45,1.75,3,24.2,27.9,28.7,5,2.6,5.2,6.1,3,1,5,0,5,-,5,3.4,보통
20210829,SD6,황해중부,실미도,20210829,12:02,17:28,5.43,5,21.4,22,23.8,4,3.7,5.3,6.5,3,1,5,0,5,-,5,4.75,매우좋음
20210829,SD8,황해중부,웅도,20210829,9:33,18:00,8.45,5,22,22.4,25,4,2.5,6.5,8.6,3,1,5,0,5,-,5,4.75,매우좋음
20210829,SD9,황해중부,소야도,20210829,12:10,17:09,4.98,5,21.2,22,24.5,4,4.1,6.6,10.4,2,1,5,0,5,-,5,4.65,좋음
20210829,SD19,남해서부,우도,20210830,9:00,11:41,2.68,4,26.6,28.8,29,5,2,3.4,4.7,4,1,5,3.1,3,-,5,3,보통
20210829,SD20,황해중부,선재도,20210830,10:47,18:00,7.22,5,22.4,23.5,26.3,4,2.9,3.9,5.2,3,1,5,0,5,-,5,4.75,매우좋음
20210829,SD21,황해남부,화도,20210830,9:00,18:00,9,5,24.1,24.9,27.3,5,4.3,5.4,6.4,3,1,5,2.4,3,-,5,3,보통
20210829,SD4,황해중부,제부도,20210830,9:56,18:00,8.07,5,22.5,23.4,26,4,3.8,4.4,4.9,4,1,5,0,5,-,5,4.85,매우좋음
20210829,SD5,제주도,서건도,20210830,9:00,11:40,2.67,4,25.7,27.6,28.4,5,4.4,5,5.7,3,1,5,0,5,-,5,4.1,좋음
20210829,SD6,황해중부,실미도,20210830,12:36,18:00,5.4,5,22.3,23.2,25.9,4,2.6,4,5.2,3,1,5,0,5,-,5,4.75,매우좋음
20210829,SD8,황해중부,웅도,20210830,9:00,18:00,9,5,22.8,23.1,26.7,4,3.9,4.7,5,3,1,5,0,5,-,5,4.75,매우좋음
20210829,SD9,황해중부,소야도,20210830,12:51,17:42,4.85,5,22.5,23,25.6,4,2.8,3.5,4.8,4,1,5,0,5,-,5,4.85,매우좋음
20210829,SD19,남해서부,우도,20210831,9:00,12:53,3.88,5,25.2,27,28.5,5,0.9,3.2,5.5,3,1,5,11.2,1,-,5,1,매우나쁨
20210829,SD20,황해중부,선재도,20210831,10:50,18:00,7.17,5,23,23.9,25.1,4,1.1,6.1,10.2,2,1,5,12.5,1,-,5,1,매우나쁨
20210829,SD21,황해남부,화도,20210831,9:00,18:00,9,5,25.2,25.8,26.4,5,3.2,4.3,4.9,4,1,5,0,5,-,5,4.9,매우좋음
20210829,SD4,황해중부,제부도,20210831,9:00,18:00,9,5,22.9,24,25.2,5,1.5,5.1,7.6,3,1,5,20.2,1,-,5,1,매우나쁨
20210829,SD5,제주도,서건도,20210831,9:00,12:55,3.92,5,23.3,26.8,27.4,5,0.6,3.3,4.3,4,1,5,0,5,-,5,4.9,매우좋음
20210829,SD6,황해중부,실미도,20210831,13:25,18:00,4.58,5,22.9,23.6,24.6,4,2.2,6.6,10,2,1,5,21.4,1,-,5,1,매우나쁨
20210829,SD8,황해중부,웅도,20210831,9:00,18:00,9,5,23.3,24.4,25.6,5,2.8,5.3,7.6,3,1,5,19.2,5,-,5,1,매우나쁨
20210829,SD9,황해중부,소야도,20210831,13:50,18:00,4.17,5,22.5,23.3,24.1,4,3.2,7.4,10.9,2,1,5,18.7,5,-,5,1,매우나쁨
