산출날짜,코드,구분,지역,예측날짜,오전오후,유의파고,파고점수,파향,상대파향,파향점수,파주기,파주기점수,풍속,풍향,풍속점수,수온,수온점수,총점수,예보지수
20210829,SR1,부산,송정해수욕장,20210829,AM,0.3,2,279.0,229.0,1,2.9,1,6.3,47.0,3,23.5,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210829,PM,0.4,2,283.0,233.0,1,3.2,1,9.3,57.0,2,24.4,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210830,AM,0.2,2,284.0,234.0,1,3.7,1,3.8,205.0,4,19.9,4,2,나쁨
20210829,SR1,부산,송정해수욕장,20210830,PM,0.1,2,282.0,232.0,1,3.5,1,5.1,209.0,3,21.6,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210831,AM,0.0,2,278.0,228.0,1,3.4,1,4.7,206.0,4,22.8,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210831,PM,0.0,2,279.0,229.0,1,3.7,1,4.8,197.0,4,23.6,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210901,AM,0.1,2,328.0,278.0,1,3.4,1,5.2,58.0,3,24.0,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210901,PM,0.3,2,19.0,-31.0,1,3.1,1,10.1,54.0,2,24.4,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210902,AM,0.5,2,18.0,-32.0,1,3.9,1,10.6,48.0,2,22.3,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210902,PM,0.5,5,15.0,-35.0,1,4.7,1,9.5,38.0,2,23.3,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210903,AM,0.6,5,257.0,207.0,1,7.4,4,9.2,235.0,2,20.4,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210903,PM,0.7,5,254.0,204.0,1,7.8,4,11.0,231.0,2,20.8,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210904,AM,0.9,5,258.0,208.0,1,6.8,4,10.9,224.0,2,21.5,5,2,나쁨
20210829,SR1,부산,송정해수욕장,20210904,PM,0.9,5,259.0,209.0,1,7.0,4,11.0,220.0,2,22.4,5,2,나쁨
