생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,총점수,예보지수
20210830,SD19,남해서부,우도,20210830,09:00,11:41,2.68,4,25.3,27.0,28.3,5,1.10,2.10,4.20,4,4,2,3.75,보통
20210830,SD20,황해중부,선재도,20210830,10:47,18:00,7.22,5,23.8,24.3,24.8,5,0.70,2.50,4.00,4,4,2,4.45,좋음
20210830,SD21,황해남부,화도,20210830,09:00,18:00,9.00,5,24.1,24.8,25.1,5,0.70,2.70,4.30,4,4,2,4.45,좋음
20210830,SD4,황해중부,제부도,20210830,09:56,18:00,8.07,5,23.5,23.9,24.4,4,1.30,3.20,4.40,4,4,2,4.40,좋음
20210830,SD5,제주도,서건도,20210830,09:00,11:40,2.67,4,24.9,28.2,29.2,5,1.50,4.50,5.70,3,4,2,3.65,보통
20210830,SD6,황해중부,실미도,20210830,12:36,18:00,5.40,5,23.8,24.0,24.3,5,0.80,2.90,4.60,4,4,2,4.45,좋음
20210830,SD8,황해중부,웅도,20210830,09:00,18:00,9.00,5,24.0,24.1,24.3,5,1.20,3.40,4.40,4,4,2,4.45,좋음
20210830,SD9,황해중부,소야도,20210830,12:51,17:42,4.85,5,24.0,24.1,24.3,5,1.30,2.60,4.00,4,4,2,4.45,좋음
20210830,SD19,남해서부,우도,20210831,09:00,12:53,3.88,5,25.0,27.6,29.1,5,1.70,3.20,4.50,4,4,2,4.45,좋음
20210830,SD20,황해중부,선재도,20210831,10:50,18:00,7.17,5,21.6,22.3,23.1,4,3.30,6.10,11.10,2,4,2,4.20,좋음
20210830,SD21,황해남부,화도,20210831,09:00,18:00,9.00,5,24.8,25.3,25.7,5,2.40,4.80,7.40,3,3,3,4.50,좋음
20210830,SD4,황해중부,제부도,20210831,09:00,18:00,9.00,5,21.3,21.9,22.5,4,4.00,5.50,8.50,3,4,2,4.30,좋음
20210830,SD5,제주도,서건도,20210831,09:00,12:55,3.92,5,23.2,26.9,27.6,5,0.90,3.50,4.40,4,1,5,4.90,매우좋음
20210830,SD6,황해중부,실미도,20210831,13:25,18:00,4.58,5,21.7,22.5,23.4,4,3.10,5.50,9.30,2,4,2,4.20,좋음
20210830,SD8,황해중부,웅도,20210831,09:00,18:00,9.00,5,21.5,21.8,22.4,4,3.70,7.60,10.40,2,4,2,4.20,좋음
20210830,SD9,황해중부,소야도,20210831,13:50,18:00,4.17,5,21.4,22.2,22.6,4,4.80,7.90,12.60,2,4,2,4.20,좋음
20210830,SD19,남해서부,우도,20210901,09:00,14:24,5.40,5,26.6,27.9,28.6,5,5.60,8.30,10.30,2,4,2,4.25,좋음
20210830,SD20,황해중부,선재도,20210901,09:00,18:00,9.00,5,22.8,23.7,24.2,4,1.70,5.80,8.90,3,4,2,4.30,좋음
20210830,SD21,황해남부,화도,20210901,09:00,18:00,9.00,5,25.4,25.7,26.0,5,6.70,8.40,9.40,2,4,2,4.25,좋음
20210830,SD4,황해중부,제부도,20210901,09:00,18:00,9.00,5,23.5,24.0,24.3,5,1.40,2.90,6.10,3,4,2,4.35,좋음
20210830,SD5,제주도,서건도,20210901,09:00,14:20,5.33,5,24.7,27.6,28.5,5,2.90,5.60,6.50,3,4,2,4.35,좋음
20210830,SD6,황해중부,실미도,20210901,14:42,18:00,3.30,5,22.2,23.5,24.3,4,5.90,7.40,8.30,3,4,2,4.30,좋음
20210830,SD8,황해중부,웅도,20210901,09:00,18:00,9.00,5,23.5,23.9,24.9,4,1.30,3.90,5.40,3,4,2,4.30,좋음
20210830,SD9,황해중부,소야도,20210901,15:22,18:00,2.63,4,22.8,23.5,24.2,4,3.90,5.60,8.00,3,4,2,3.60,보통
