STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
SD1,진도,20210830,AM,26.0,27.5,29.0,1.4,1.6,1.9,3,0
SD1,진도,20210830,PM,27.0,28.3,29.0,1.9,2.5,2.9,4,0
SD1,진도,20210831,AM,26.0,27.5,29.0,1.3,2.1,3.0,3,0
SD1,진도,20210831,PM,26.0,27.7,29.0,3.0,3.2,3.5,3,0
SD1,진도,20210901,AM,26.0,26.5,27.0,6.6,6.7,6.8,3,0
SD1,진도,20210901,PM,26.0,26.7,27.0,6.7,7.0,7.6,4,0
SD2,무창포,20210830,AM,23.0,24.0,25.0,0.6,1.4,2.2,4,0
SD2,무창포,20210830,PM,24.0,24.7,25.0,0.6,2.6,3.9,4,0
SD2,무창포,20210831,AM,23.0,23.0,23.0,1.9,2.8,3.8,4,0
SD2,무창포,20210831,PM,23.0,23.7,24.0,1.9,2.9,3.6,4,6
SD2,무창포,20210901,AM,24.0,24.5,25.0,10.8,11.1,11.4,4,15.3
SD2,무창포,20210901,PM,24.0,24.7,25.0,8.5,9.6,10.8,4,9.8
SD4,제부도,20210830,AM,23.0,24.0,25.0,1.3,1.9,2.5,4,0
SD4,제부도,20210830,PM,24.0,24.7,25.0,2.5,4.3,5.2,4,0
SD4,제부도,20210831,AM,23.0,23.0,23.0,1.7,2.0,2.4,4,0
SD4,제부도,20210831,PM,22.0,22.7,23.0,1.4,2.2,2.8,4,13
SD4,제부도,20210901,AM,21.0,21.5,22.0,4.9,5.7,6.5,4,11.9
SD4,제부도,20210901,PM,22.0,23.0,24.0,2.4,3.7,4.9,4,19.8
SD5,서건도,20210830,AM,29.0,29.0,29.0,2.5,2.9,3.3,4,0
SD5,서건도,20210830,PM,28.0,28.7,29.0,2.7,3.1,3.4,1,0
SD5,서건도,20210831,AM,29.0,29.5,30.0,1.6,2.4,3.1,3,0
SD5,서건도,20210831,PM,28.0,29.0,30.0,3.1,3.3,3.6,1,0
SD5,서건도,20210901,AM,29.0,29.0,29.0,4.6,4.9,5.2,4,0
SD5,서건도,20210901,PM,28.0,28.7,29.0,5.1,5.4,5.8,4,0
SD6,실미도,20210830,AM,23.0,23.5,24.0,2.2,2.5,2.8,4,0
SD6,실미도,20210830,PM,24.0,24.3,25.0,2.8,4.9,6.7,4,0
