생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210830,SF2,황해남부,가거도,20210829,감성돔,BP,14,2,0.8,0.9,1.0,3,24,24,25,2,26,26,26,5,6,7,8,3,2.72
20210830,SF35,남해서부,거문도,20210829,농어,SB,14,1,0.5,0.5,0.6,3,25,26,26,2,26,26,26,5,3,5,6,3,2.56
20210830,SF37,남해서부,거문도,20210829,참돔,RP,14,1,0.5,0.5,0.6,3,25,26,26,2,26,26,26,5,3,5,6,3,2.56
20210830,SF38,남해서부,거문도,20210829,감성돔,BP,14,2,0.5,0.5,0.6,3,25,26,26,1,26,26,26,5,3,5,6,3,2.52
20210830,SF39,남해서부,거문도,20210829,우럭,RF,14,5,0.5,0.5,0.6,3,25,26,26,2,26,26,26,5,3,5,6,3,3.20
20210830,SF14,남해동부,거제도,20210829,우럭,RF,14,5,0.3,0.4,0.5,4,24,24,25,3,26,28,28,5,1,5,7,3,3.76
20210830,SF11,황해중부,국화도,20210829,우럭,RF,14,5,0.1,0.2,0.2,5,25,25,25,2,22,22,23,4,3,6,9,2,3.64
20210830,SF56,제주도,김녕,20210829,벵에돔,OP,14,2,0.3,0.5,0.8,3,26,27,28,1,27,27,27,5,1,2,4,4,2.76
20210830,SF57,제주도,김녕,20210829,농어,SB,14,1,0.3,0.5,0.8,3,26,27,28,2,27,27,27,5,1,2,4,4,2.80
20210830,SF58,제주도,김녕,20210829,돌돔,RB,14,2,0.3,0.5,0.8,3,26,27,28,3,27,27,27,5,1,2,4,4,3.16
20210830,SF59,제주도,김녕,20210829,참돔,RP,14,1,0.3,0.5,0.8,3,26,27,28,2,27,27,27,5,1,2,4,4,2.80
20210830,SF49,황해중부,모항항,20210829,우럭,RF,14,5,0.1,0.2,0.2,5,23,23,24,3,22,22,23,4,3,7,10,2,3.84
20210830,SF50,황해중부,모항항,20210829,감성돔,BP,14,2,0.1,0.2,0.2,5,23,23,24,2,22,22,23,4,3,7,10,2,3.16
20210830,SF51,황해중부,방포항,20210829,우럭,RF,14,5,0.1,0.1,0.2,5,24,24,24,3,22,23,23,4,4,6,9,2,3.84
20210830,SF74,남해동부,부산남부,20210829,우럭,RF,14,5,0.6,0.7,0.9,3,20,21,22,4,27,28,29,5,4,6,7,3,3.60
20210830,SF75,남해동부,부산남부,20210829,감성돔,BP,14,2,0.6,0.7,0.9,3,20,21,22,3,27,28,29,5,4,6,7,3,2.92
20210830,SF76,남해동부,부산남부,20210829,돌돔,RB,14,2,0.6,0.7,0.9,3,20,21,22,4,27,28,29,5,4,6,7,3,3.12
20210830,SF77,남해동부,부산남부,20210829,참돔,RP,14,1,0.6,0.7,0.9,3,20,21,22,4,27,28,29,5,4,6,7,3,2.96
20210830,SF78,남해동부,부산남부,20210829,벵에돔,OP,14,2,0.6,0.7,0.9,3,20,21,22,4,27,28,29,5,4,6,7,3,3.12
20210830,SF79,남해동부,부산남부,20210829,농어,SB,14,1,0.6,0.7,0.9,3,20,21,22,4,27,28,29,5,4,6,7,3,2.96
20210830,SF67,남해동부,부산동부,20210829,우럭,RF,14,5,0.2,0.3,0.5,4,20,21,24,4,26,26,27,5,5,8,9,2,3.72
