생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수
20210830,SK1,인천-백령,하모니플라워,쾌속카페리,20210829,AM,3.7,1,2071,4,0.4,0.4,0.5,4,5.1,6.6,8.8,3,3.18
20210830,SK1,인천-백령,하모니플라워,쾌속카페리,20210829,PM,3.7,1,2071,4,0.3,0.4,0.4,5,4.7,5.7,7.4,3,3.62
20210830,SK1,인천-백령,코리아킹,초쾌속선,20210829,AM,3.7,1,534,3,0.4,0.4,0.5,4,5.1,6.6,8.8,3,3.05
20210830,SK1,인천-백령,코리아킹,초쾌속선,20210829,PM,3.7,1,534,3,0.3,0.4,0.4,5,4.7,5.7,7.4,3,3.50
20210830,SK2,인천-연평,플라잉카페리,쾌속카페리,20210829,AM,2.0,3,573,3,0.4,0.4,0.5,4,5.4,5.9,7.1,3,3.45
20210830,SK2,인천-연평,플라잉카페리,쾌속카페리,20210829,PM,2.0,3,573,3,0.3,0.4,0.4,5,4.3,5.4,7.1,3,3.90
20210830,SK19,인천-단동,동방명주6,카페리,20210829,AM,16.0,1,16537,5,0.4,0.4,0.5,4,6.0,7.0,8.0,3,3.30
20210830,SK19,인천-단동,동방명주6,카페리,20210829,PM,16.0,1,16537,5,0.3,0.4,0.4,5,4.2,5.2,6.8,3,3.75
20210830,SK20,인천-석도,화동명주8,카페리,20210829,AM,14.0,1,35092,5,0.4,0.4,0.5,4,9.5,10.4,11.2,2,1.50
20210830,SK20,인천-석도,화동명주8,카페리,20210829,PM,14.0,1,35092,5,0.3,0.4,0.4,5,5.4,7.2,10.3,2,1.50
20210830,SK21,대천-외연,웨스트프론티어,일반선,20210829,AM,2.2,3,140,2,0.1,0.1,0.2,5,4.7,5.8,7.9,3,3.77
20210830,SK21,대천-외연,웨스트프론티어,일반선,20210829,PM,2.2,3,140,2,0.1,0.2,0.3,5,5.7,8.1,10.3,2,1.50
20210830,SK3,군산-어청,뉴어청훼리,고속선,20210829,AM,2.7,2,121,2,0.6,0.6,0.7,4,4.0,5.1,7.6,3,3.12
20210830,SK3,군산-어청,뉴어청훼리,고속선,20210829,PM,2.7,2,121,2,0.3,0.4,0.7,4,5.9,7.9,9.6,2,1.50
20210830,SK14,격포-위도,파장금카페리,고속선,20210829,AM,0.8,4,322,2,0.4,0.4,0.5,4,2.1,3.5,5.9,3,3.53
20210830,SK14,격포-위도,파장금카페리,고속선,20210829,PM,0.8,4,322,2,0.2,0.3,0.3,5,2.2,5.3,8.2,3,3.97
20210830,SK18,목포-홍도,뉴골드스타,초쾌속선,20210829,AM,2.5,2,308,2,0.9,0.9,1.0,3,7.7,8.3,8.9,3,2.68
20210830,SK18,목포-홍도,뉴골드스타,초쾌속선,20210829,PM,2.5,2,308,2,0.7,0.9,1.0,3,6.5,7.3,8.0,3,2.68
20210830,SK18,목포-홍도,남해엔젤,초쾌속선,20210829,AM,2.5,2,319,2,0.9,0.9,1.0,3,7.7,8.3,8.9,3,2.68
20210830,SK18,목포-홍도,남해엔젤,초쾌속선,20210829,PM,2.5,2,319,2,0.7,0.9,1.0,3,6.5,7.3,8.0,3,2.68
20210830,SK4,목포-제주,퀸제누비아,카페리,20210829,AM,4.5,1,27391,5,0.7,0.8,0.8,4,6.6,7.0,9.5,2,1.50
20210830,SK4,목포-제주,퀸제누비아,카페리,20210829,PM,4.5,1,27391,5,0.8,0.8,0.8,4,8.4,9.1,9.5,2,1.50
20210830,SK4,목포-제주,퀸메리,카페리,20210829,AM,4.5,1,13665,5,0.7,0.8,0.8,4,6.6,7.0,9.5,2,1.50
20210830,SK4,목포-제주,퀸메리,카페리,20210829,PM,4.5,1,13665,5,0.8,0.8,0.8,4,8.4,9.1,9.5,2,1.50
20210830,SK5,완도-제주,송림블루오션,카페리,20210829,AM,5.0,1,2374,4,0.7,0.8,0.8,4,4.5,6.8,9.5,2,1.50
20210830,SK5,완도-제주,송림블루오션,카페리,20210829,PM,5.0,1,2374,4,0.8,0.8,0.8,4,8.4,9.1,9.5,2,1.50
20210830,SK5,완도-제주,한일블루나래,쾌속카페리,20210829,AM,1.7,3,1605,4,0.7,0.8,0.8,4,4.5,6.8,9.5,2,1.50
20210830,SK5,완도-제주,한일블루나래,쾌속카페리,20210829,PM,1.7,3,1605,4,0.8,0.8,0.8,4,8.4,9.1,9.5,2,1.50
