생산일,코드,권역,지역,예측일자,어종,어종타입,물때,물때점수,최소파고,평균파고,최대파고,파고점수,최소수온,평균수온,최대수온,수온점수,최저기온,평균기온,최대기온,기온점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수,예보지수
20210831,SF2,황해남부,가거도,20210831,감성돔,BP,1,1,0.4,0.5,0.6,3,26.4,27.1,27.5,1,26.1,26.2,26.2,5,4.3,5.8,7.0,3,2.36,나쁨
20210831,SF35,남해서부,거문도,20210831,농어,SB,1,2,0.1,0.1,0.2,5,25.5,26.4,26.7,2,26.0,26.1,26.3,5,0.3,2.9,6.1,3,3.44,보통
20210831,SF37,남해서부,거문도,20210831,참돔,RP,1,2,0.1,0.1,0.2,5,25.5,26.4,26.7,2,26.0,26.1,26.3,5,0.3,2.9,6.1,3,3.44,보통
20210831,SF38,남해서부,거문도,20210831,감성돔,BP,1,1,0.1,0.1,0.2,5,25.5,26.4,26.7,1,26.0,26.1,26.3,5,0.3,2.9,6.1,3,3.08,보통
20210831,SF39,남해서부,거문도,20210831,우럭,RF,1,5,0.1,0.1,0.2,5,25.5,26.4,26.7,2,26.0,26.1,26.3,5,0.3,2.9,6.1,3,3.92,보통
20210831,SF14,남해동부,거제도,20210831,우럭,RF,1,5,0.1,0.1,0.1,5,25.2,25.7,26.1,2,24.9,25.1,25.5,5,3.5,5.7,6.8,3,3.92,보통
20210831,SF11,황해중부,국화도,20210831,우럭,RF,1,5,0.2,0.5,0.6,3,25.7,25.8,25.9,2,20.6,21.1,21.8,4,2.0,6.0,10.2,2,2.60,나쁨
20210831,SF56,제주도,김녕,20210831,벵에돔,OP,1,1,0.1,0.1,0.1,5,27.9,28.3,28.6,1,26.3,26.8,27.4,5,0.6,3.3,5.5,3,3.08,보통
20210831,SF57,제주도,김녕,20210831,농어,SB,1,2,0.1,0.1,0.1,5,27.9,28.3,28.6,1,26.3,26.8,27.4,5,0.6,3.3,5.5,3,3.24,보통
20210831,SF58,제주도,김녕,20210831,돌돔,RB,1,2,0.1,0.1,0.1,5,27.9,28.3,28.6,2,26.3,26.8,27.4,5,0.6,3.3,5.5,3,3.44,보통
20210831,SF59,제주도,김녕,20210831,참돔,RP,1,2,0.1,0.1,0.1,5,27.9,28.3,28.6,1,26.3,26.8,27.4,5,0.6,3.3,5.5,3,3.24,보통
20210831,SF49,황해중부,모항항,20210831,우럭,RF,1,5,0.2,0.4,0.6,3,23.1,23.2,23.3,3,20.9,21.9,24.3,4,3.4,6.8,9.8,2,2.60,나쁨
