생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,특보,특보점수,총점수,예보지수
20210831,SK1,인천-백령,하모니플라워,쾌속카페리,20210831,AM,3.7,1,2071,4,0.1,0.1,0.3,5,1.8,4.1,7.7,3,-,5,3.62,좋음
20210831,SK1,인천-백령,하모니플라워,쾌속카페리,20210831,PM,3.7,1,2071,4,0.2,0.6,1.3,3,2.7,7.6,11.9,2,WW,1,1,매우나쁨
20210831,SK1,인천-백령,코리아킹,초쾌속선,20210831,AM,3.7,1,534,3,0.1,0.1,0.3,5,1.8,4.1,7.7,3,-,5,3.5,좋음
20210831,SK1,인천-백령,코리아킹,초쾌속선,20210831,PM,3.7,1,534,3,0.2,0.6,1.3,3,2.7,7.6,11.9,2,WW,1,1,매우나쁨
20210831,SK2,인천-연평,플라잉카페리,쾌속카페리,20210831,AM,2,3,573,3,0.1,0.1,0.3,5,2.2,4,5.9,3,-,5,3.9,좋음
20210831,SK2,인천-연평,플라잉카페리,쾌속카페리,20210831,PM,2,3,573,3,0.4,0.9,1.3,3,2.7,6.2,11.5,2,WW,1,1,매우나쁨
20210831,SK19,인천-단동,동방명주6,카페리,20210831,AM,16,1,16537,5,0.1,0.1,0.3,5,1.1,4.4,7.7,3,-,5,3.75,좋음
20210831,SK19,인천-단동,동방명주6,카페리,20210831,PM,16,1,16537,5,0.4,0.7,1.3,3,0.5,7.3,13.4,2,WW,1,1,매우나쁨
20210831,SK20,인천-석도,화동명주8,카페리,20210831,AM,14,1,35092,5,0.1,0.1,0.3,5,2.2,6.7,10.1,2,-,5,1.5,나쁨
20210831,SK20,인천-석도,화동명주8,카페리,20210831,PM,14,1,35092,5,0.3,0.8,1.3,3,4.1,9.9,13.9,2,WW,1,1,매우나쁨
20210831,SK21,대천-외연,웨스트프론티어,일반선,20210831,AM,2.2,3,140,2,0.1,0.1,0.2,5,1.3,3,4.3,4,-,5,4,좋음
20210831,SK21,대천-외연,웨스트프론티어,일반선,20210831,PM,2.2,3,140,2,0.1,0.1,0.2,5,3.2,6.5,9.2,2,WW,1,1,매우나쁨
20210831,SK3,군산-어청,뉴어청훼리,고속선,20210831,AM,2.7,2,121,2,0.2,0.2,0.4,5,0.8,2.4,4.1,4,-,5,3.8,좋음
20210831,SK3,군산-어청,뉴어청훼리,고속선,20210831,PM,2.7,2,121,2,0.1,0.1,0.2,5,0.8,3.3,7.5,3,WW,1,1,매우나쁨
20210831,SK14,격포-위도,파장금카페리,고속선,20210831,AM,0.8,4,322,2,0.2,0.2,0.3,5,1.8,2.8,3.4,4,-,5,4.2,좋음
20210831,SK14,격포-위도,파장금카페리,고속선,20210831,PM,0.8,4,322,2,0.1,0.1,0.2,5,1.3,2.2,3.2,4,-,5,4.2,좋음
20210831,SK18,목포-홍도,뉴골드스타,초쾌속선,20210831,AM,2.5,2,308,2,0.1,0.2,0.3,5,0.8,2.9,4.8,4,-,5,3.8,좋음
20210831,SK18,목포-홍도,뉴골드스타,초쾌속선,20210831,PM,2.5,2,308,2,0.1,0.2,0.5,4,2.9,5.4,7.1,3,-,5,3.12,보통
20210831,SK18,목포-홍도,남해엔젤,초쾌속선,20210831,AM,2.5,2,319,2,0.1,0.2,0.3,5,0.8,2.9,4.8,4,-,5,3.8,좋음
20210831,SK18,목포-홍도,남해엔젤,초쾌속선,20210831,PM,2.5,2,319,2,0.1,0.2,0.5,4,2.9,5.4,7.1,3,-,5,3.12,보통
20210831,SK4,목포-제주,퀸제누비아,카페리,20210831,AM,4.5,1,27391,5,0.1,0.1,0.3,5,0.5,2.5,5.3,3,-,5,3.75,좋음
20210831,SK4,목포-제주,퀸제누비아,카페리,20210831,PM,4.5,1,27391,5,0.1,0.1,0.3,5,1.1,3.9,7,3,-,5,3.75,좋음
20210831,SK4,목포-제주,퀸메리,카페리,20210831,AM,4.5,1,13665,5,0.1,0.1,0.3,5,0.5,2.5,5.3,3,-,5,3.75,좋음
