STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
HS1,대천해수욕장,20210831,AM,23.0,24.0,25.0,0.9,2.1,3.2,4,3
HS1,대천해수욕장,20210831,PM,24.0,24.7,25.0,0.9,2.1,4.1,4,0
HS1,대천해수욕장,20210901,AM,24.0,24.0,24.0,1.0,1.9,2.8,4,34.5
HS1,대천해수욕장,20210901,PM,23.0,23.7,24.0,2.1,3.0,4.1,4,55.7
HS1,대천해수욕장,20210902,AM,23.0,23.5,24.0,5.6,5.7,5.7,4,0
HS1,대천해수욕장,20210902,PM,23.0,23.7,24.0,5.6,6.1,6.8,4,0
HS2,춘장대해수욕장,20210831,AM,23.0,24.0,25.0,0.9,2.3,3.7,4,0
HS2,춘장대해수욕장,20210831,PM,25.0,25.0,25.0,0.9,2.3,4.8,4,0
HS2,춘장대해수욕장,20210901,AM,24.0,24.0,24.0,0.8,2.1,3.4,4,53.1
HS2,춘장대해수욕장,20210901,PM,23.0,23.3,24.0,3.4,3.9,4.7,4,39.2
HS2,춘장대해수욕장,20210902,AM,23.0,23.5,24.0,4.7,5.1,5.5,4,0
HS2,춘장대해수욕장,20210902,PM,24.0,24.3,25.0,4.7,6.0,8.1,4,2.9
HS3,무창포해수욕장,20210831,AM,23.0,24.5,26.0,1.0,2.2,3.5,4,0.6
HS3,무창포해수욕장,20210831,PM,24.0,25.0,26.0,0.9,2.2,4.8,4,0
HS3,무창포해수욕장,20210901,AM,24.0,24.0,24.0,0.9,2.1,3.3,4,39.6
HS3,무창포해수욕장,20210901,PM,24.0,24.0,24.0,2.5,3.4,4.5,4,49.9
HS3,무창포해수욕장,20210902,AM,23.0,23.5,24.0,6.0,6.0,6.1,4,0
HS3,무창포해수욕장,20210902,PM,23.0,24.0,25.0,6.0,6.9,8.0,4,0
HS4,꽃지해수욕장,20210831,AM,22.0,23.0,24.0,3.4,3.8,4.3,4,3.1
HS4,꽃지해수욕장,20210831,PM,23.0,23.7,24.0,4.3,5.1,6.7,4,0
HS4,꽃지해수욕장,20210901,AM,23.0,23.0,23.0,0.9,2.2,3.6,4,58.4
HS4,꽃지해수욕장,20210901,PM,23.0,23.3,24.0,3.6,4.6,6.0,4,16.1
HS4,꽃지해수욕장,20210902,AM,22.0,22.5,23.0,7.1,7.2,7.2,4,0
HS4,꽃지해수욕장,20210902,PM,23.0,23.3,24.0,7.2,7.7,8.5,4,0
HS5,만리포해수욕장,20210831,AM,23.0,23.0,23.0,2.3,4.4,6.6,4,0
HS5,만리포해수욕장,20210831,PM,21.0,22.0,23.0,6.6,6.8,7.3,4,1.5
HS5,만리포해수욕장,20210901,AM,22.0,22.5,23.0,3.5,3.8,4.1,4,59.9
HS5,만리포해수욕장,20210901,PM,23.0,23.3,24.0,4.1,4.8,5.7,4,2.8
HS5,만리포해수욕장,20210902,AM,23.0,23.5,24.0,5.1,5.2,5.3,4,0
HS5,만리포해수욕장,20210902,PM,23.0,24.0,25.0,5.1,5.6,6.0,4,0
HS6,몽산포해수욕장,20210831,AM,22.0,22.5,23.0,2.7,3.9,5.0,4,0.7
HS6,몽산포해수욕장,20210831,PM,22.0,22.7,23.0,5.0,5.7,7.0,4,0
HS6,몽산포해수욕장,20210901,AM,23.0,23.0,23.0,1.6,2.2,2.8,4,49.7
HS6,몽산포해수욕장,20210901,PM,23.0,23.3,24.0,2.8,3.8,5.5,4,2.7
HS6,몽산포해수욕장,20210902,AM,22.0,23.0,24.0,5.7,5.9,6.1,4,0
HS6,몽산포해수욕장,20210902,PM,23.0,24.0,25.0,6.1,6.3,6.5,4,0
HS7,우전해수욕장,20210831,AM,26.0,27.0,28.0,3.5,4.0,4.4,4,0
HS7,우전해수욕장,20210831,PM,26.0,27.3,28.0,4.4,4.8,5.3,4,0
HS7,우전해수욕장,20210901,AM,26.0,26.5,27.0,8.1,8.8,9.6,4,0
HS7,우전해수욕장,20210901,PM,25.0,26.3,27.0,3.2,6.0,8.1,4,14.3
HS7,우전해수욕장,20210902,AM,24.0,24.5,25.0,2.6,3.1,3.6,4,0
HS7,우전해수욕장,20210902,PM,24.0,24.7,25.0,3.1,3.5,3.8,4,1.3
HS8,연포해수욕장,20210831,AM,22.0,22.5,23.0,2.3,3.5,4.7,4,0
HS8,연포해수욕장,20210831,PM,22.0,22.3,23.0,4.7,5.1,5.7,4,0
HS8,연포해수욕장,20210901,AM,23.0,23.0,23.0,1.9,2.2,2.6,4,40.3
HS8,연포해수욕장,20210901,PM,23.0,23.3,24.0,2.6,3.4,4.7,4,3.6
HS8,연포해수욕장,20210902,AM,22.0,23.0,24.0,4.9,5.1,5.2,4,0
HS8,연포해수욕장,20210902,PM,23.0,24.0,25.0,5.2,5.4,5.5,4,0
HS9,어은돌해수욕장,20210831,AM,23.0,23.0,23.0,2.3,4.2,6.2,4,0
HS9,어은돌해수욕장,20210831,PM,21.0,22.0,23.0,6.2,6.6,7.2,4,0
HS9,어은돌해수욕장,20210901,AM,23.0,23.5,24.0,3.2,3.5,3.7,4,53.3
HS9,어은돌해수욕장,20210901,PM,23.0,23.7,24.0,3.7,4.5,5.6,4,3
HS9,어은돌해수욕장,20210902,AM,23.0,24.0,25.0,5.0,5.1,5.2,4,0
HS9,어은돌해수욕장,20210902,PM,23.0,24.3,25.0,5.0,5.6,6.3,4,0
HS10,신두리해수욕장,20210831,AM,23.0,23.0,23.0,2.0,4.0,5.9,4,0
HS10,신두리해수욕장,20210831,PM,21.0,22.0,23.0,5.7,5.9,6.0,4,4.5
HS10,신두리해수욕장,20210901,AM,22.0,23.0,24.0,3.0,3.5,4.0,4,52.4
HS10,신두리해수욕장,20210901,PM,23.0,23.7,24.0,4.0,4.6,5.2,4,0
HS10,신두리해수욕장,20210902,AM,23.0,23.5,24.0,4.8,4.8,4.8,4,0
HS10,신두리해수욕장,20210902,PM,23.0,24.3,26.0,4.8,5.0,5.3,4,0
HS11,학암포해수욕장,20210831,AM,22.0,22.0,22.0,1.9,3.8,5.7,4,0
HS11,학암포해수욕장,20210831,PM,21.0,21.7,22.0,5.4,5.5,5.7,4,4.7
HS11,학암포해수욕장,20210901,AM,22.0,23.0,24.0,3.0,3.5,4.0,4,44.5
HS11,학암포해수욕장,20210901,PM,23.0,23.7,24.0,4.0,4.6,5.0,4,0
HS11,학암포해수욕장,20210902,AM,22.0,23.0,24.0,4.8,4.8,4.9,4,0
HS11,학암포해수욕장,20210902,PM,23.0,24.0,25.0,4.2,4.8,5.4,4,0
HS12,가마미해수욕장,20210831,AM,25.0,26.5,28.0,1.7,3.1,4.4,4,5
HS12,가마미해수욕장,20210831,PM,27.0,27.7,28.0,4.4,5.2,5.7,4,0
HS12,가마미해수욕장,20210901,AM,26.0,26.0,26.0,7.2,8.8,10.4,4,0.9
HS12,가마미해수욕장,20210901,PM,24.0,25.3,26.0,4.3,5.7,7.2,4,17
HS12,가마미해수욕장,20210902,AM,24.0,24.5,25.0,4.2,4.3,4.4,4,0
HS12,가마미해수욕장,20210902,PM,24.0,24.7,25.0,3.6,4.2,4.6,4,0
HS15,가계해수욕장,20210831,AM,27.0,28.0,29.0,2.7,3.5,4.3,4,0
HS15,가계해수욕장,20210831,PM,27.0,28.3,29.0,3.3,4.1,4.6,4,0
HS15,가계해수욕장,20210901,AM,26.0,27.0,28.0,7.8,8.3,8.8,4,0
HS15,가계해수욕장,20210901,PM,26.0,27.3,28.0,7.0,7.9,8.8,4,4.2
HS15,가계해수욕장,20210902,AM,25.0,25.0,25.0,0.9,2.1,3.2,4,0
HS15,가계해수욕장,20210902,PM,24.0,25.0,26.0,0.9,1.8,2.2,4,1.9
HS16,을왕리해수욕장,20210831,AM,21.0,21.5,22.0,1.6,2.6,3.6,4,0
HS16,을왕리해수욕장,20210831,PM,20.0,20.7,21.0,3.6,6.1,8.2,4,7.7
HS16,을왕리해수욕장,20210901,AM,21.0,21.5,22.0,8.0,9.0,10.0,4,16
HS16,을왕리해수욕장,20210901,PM,22.0,22.3,23.0,8.2,8.9,10.0,4,0
HS16,을왕리해수욕장,20210902,AM,21.0,22.0,23.0,6.7,7.3,7.9,4,1
HS16,을왕리해수욕장,20210902,PM,23.0,23.3,24.0,5.2,6.2,7.9,4,0
HS17,만성리해수욕장,20210831,AM,26.0,27.0,28.0,2.8,3.1,3.4,4,1
HS17,만성리해수욕장,20210831,PM,28.0,28.0,28.0,3.4,3.6,3.8,4,0
HS17,만성리해수욕장,20210901,AM,26.0,26.5,27.0,8.7,8.8,9.0,4,0
HS17,만성리해수욕장,20210901,PM,27.0,27.3,28.0,6.5,7.6,8.7,4,1
HS17,만성리해수욕장,20210902,AM,24.0,24.0,24.0,4.1,4.8,5.4,4,0
HS17,만성리해수욕장,20210902,PM,24.0,24.0,24.0,2.4,4.6,7.2,4,2.7
HS18,상주해수욕장,20210831,AM,27.0,28.0,29.0,3.1,3.5,3.9,4,1.6
HS18,상주해수욕장,20210831,PM,27.0,28.0,29.0,3.1,3.2,3.4,3,0
HS18,상주해수욕장,20210901,AM,27.0,27.5,28.0,9.8,10.1,10.4,4,0
HS18,상주해수욕장,20210901,PM,27.0,27.7,28.0,8.7,9.7,10.4,4,0
HS18,상주해수욕장,20210902,AM,25.0,25.5,26.0,5.1,5.8,6.4,4,0
HS18,상주해수욕장,20210902,PM,23.0,24.7,26.0,2.8,5.2,7.6,4,0.5
HS19,명사십리해수욕장,20210831,AM,26.0,27.0,28.0,0.9,2.1,3.3,4,0
HS19,명사십리해수욕장,20210831,PM,27.0,27.7,28.0,2.5,3.3,4.0,3,0
HS19,명사십리해수욕장,20210901,AM,27.0,27.5,28.0,7.6,7.7,7.8,4,0
HS19,명사십리해수욕장,20210901,PM,26.0,27.3,28.0,6.9,7.5,7.8,4,0
HS19,명사십리해수욕장,20210902,AM,25.0,25.5,26.0,0.3,1.6,2.9,4,0
HS19,명사십리해수욕장,20210902,PM,24.0,25.0,26.0,0.3,1.9,2.7,4,0
HS20,함덕서우봉해수욕장,20210831,AM,27.0,27.5,28.0,0.4,0.9,1.3,3,0
HS20,함덕서우봉해수욕장,20210831,PM,27.0,27.7,28.0,1.0,1.5,2.1,3,0
HS20,함덕서우봉해수욕장,20210901,AM,27.0,27.5,28.0,5.1,5.1,5.1,3,0
HS20,함덕서우봉해수욕장,20210901,PM,27.0,27.7,28.0,4.9,5.2,5.5,3,0
HS20,함덕서우봉해수욕장,20210902,AM,26.0,26.0,26.0,2.1,3.0,3.8,4,2.5
HS20,함덕서우봉해수욕장,20210902,PM,24.0,25.0,26.0,1.9,2.1,2.2,4,8.4
HS21,협재해수욕장,20210831,AM,27.0,28.0,29.0,3.2,3.6,4.1,3,0
HS21,협재해수욕장,20210831,PM,28.0,28.7,29.0,4.1,4.5,4.8,3,0
HS21,협재해수욕장,20210901,AM,27.0,27.5,28.0,6.2,6.6,6.9,4,0
HS21,협재해수욕장,20210901,PM,27.0,27.3,28.0,4.7,5.5,6.2,3,0
HS21,협재해수욕장,20210902,AM,26.0,26.5,27.0,0.9,0.9,1.0,4,4.9
HS21,협재해수욕장,20210902,PM,26.0,26.7,27.0,1.0,1.6,1.9,4,4
HS22,중문색달해수욕장,20210831,AM,29.0,29.5,30.0,2.1,2.9,3.7,3,0
HS22,중문색달해수욕장,20210831,PM,28.0,29.3,30.0,3.2,3.6,3.9,3,0
HS22,중문색달해수욕장,20210901,AM,29.0,29.0,29.0,5.1,5.3,5.6,4,0
HS22,중문색달해수욕장,20210901,PM,28.0,28.7,29.0,3.8,4.6,5.1,4,0
HS22,중문색달해수욕장,20210902,AM,28.0,28.5,29.0,3.6,3.7,3.8,4,2
HS22,중문색달해수욕장,20210902,PM,27.0,28.0,29.0,2.5,3.1,3.6,4,2.9
HS23,율포해수욕장,20210831,AM,26.0,27.0,28.0,0.8,2.2,3.6,4,0
HS23,율포해수욕장,20210831,PM,27.0,27.7,28.0,3.2,3.6,4.0,4,0
HS23,율포해수욕장,20210901,AM,26.0,27.0,28.0,5.8,6.2,6.5,4,0
HS23,율포해수욕장,20210901,PM,26.0,27.0,28.0,4.3,5.2,5.8,4,1.8
HS23,율포해수욕장,20210902,AM,24.0,24.5,25.0,1.1,1.3,1.5,4,0
HS23,율포해수욕장,20210902,PM,24.0,24.7,25.0,1.5,2.0,2.5,4,0.5
HS24,송호해수욕장,20210831,AM,27.0,27.5,28.0,2.3,3.0,3.8,4,0
HS24,송호해수욕장,20210831,PM,27.0,27.7,28.0,2.9,3.6,4.1,3,0
HS24,송호해수욕장,20210901,AM,27.0,27.5,28.0,7.7,7.9,8.2,4,0
HS24,송호해수욕장,20210901,PM,26.0,27.0,28.0,7.0,7.6,8.2,4,1.4
HS24,송호해수욕장,20210902,AM,25.0,25.0,25.0,0.8,1.8,2.8,4,0
HS24,송호해수욕장,20210902,PM,24.0,25.0,26.0,0.8,2.0,2.7,4,0
HS25,이호테우해수욕장,20210831,AM,28.0,29.0,30.0,2.1,2.3,2.5,3,0
HS25,이호테우해수욕장,20210831,PM,29.0,29.7,30.0,2.5,3.3,3.8,3,0
HS25,이호테우해수욕장,20210901,AM,29.0,29.5,30.0,6.7,6.8,6.9,3,0
HS25,이호테우해수욕장,20210901,PM,28.0,29.3,30.0,5.6,6.1,6.7,3,0
HS25,이호테우해수욕장,20210902,AM,26.0,26.5,27.0,1.7,2.2,2.8,4,4.2
HS25,이호테우해수욕장,20210902,PM,25.0,26.0,27.0,1.6,1.9,2.4,4,4.5
HS26,표선해비치해수욕장,20210831,AM,28.0,28.5,29.0,2.0,3.2,4.4,3,0
HS26,표선해비치해수욕장,20210831,PM,27.0,28.3,29.0,4.4,5.0,5.5,3,0
HS26,표선해비치해수욕장,20210901,AM,28.0,28.5,29.0,7.7,8.2,8.7,3,0
HS26,표선해비치해수욕장,20210901,PM,27.0,28.3,29.0,6.4,7.2,7.7,3,0
HS26,표선해비치해수욕장,20210902,AM,27.0,27.5,28.0,1.2,3.1,5.0,4,0
HS26,표선해비치해수욕장,20210902,PM,25.0,26.7,28.0,0.7,1.3,2.1,4,3.6
