STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
TL1,우전마을,20210901,AM,26.0,26.5,27.0,7.7,8.2,8.8,4,0
TL1,우전마을,20210901,PM,25.0,26.3,27.0,4.4,5.6,7.7,4,1.8
TL1,우전마을,20210902,AM,24.0,24.5,25.0,3.5,4.0,4.4,4,0
TL1,우전마을,20210902,PM,24.0,25.0,26.0,2.8,3.7,4.4,4,12.6
TL1,우전마을,20210903,AM,24.0,25.0,26.0,3.0,3.9,4.7,4,0
TL1,우전마을,20210903,PM,24.0,25.3,26.0,2.1,2.8,3.3,4,0
TL2,백미리마을,20210901,AM,22.0,22.0,22.0,5.5,6.0,6.4,4,22.1
TL2,백미리마을,20210901,PM,22.0,23.0,24.0,5.3,6.0,6.4,4,0
TL2,백미리마을,20210902,AM,21.0,22.0,23.0,6.5,6.5,6.6,4,0
TL2,백미리마을,20210902,PM,23.0,23.3,24.0,5.8,6.1,6.6,4,0
TL2,백미리마을,20210903,AM,21.0,22.5,24.0,3.1,4.0,4.9,4,0
TL2,백미리마을,20210903,PM,24.0,25.0,26.0,0.5,1.8,3.1,4,0
TL3,문항마을,20210901,AM,27.0,28.0,29.0,7.7,8.4,9.1,4,0
TL3,문항마을,20210901,PM,28.0,28.7,29.0,5.6,6.8,7.7,4,0
TL3,문항마을,20210902,AM,23.0,23.0,23.0,4.8,4.9,5.0,4,1.5
TL3,문항마을,20210902,PM,23.0,23.0,23.0,5.0,5.6,6.2,4,2.3
TL3,문항마을,20210903,AM,23.0,24.0,25.0,4.8,5.7,6.6,4,0
TL3,문항마을,20210903,PM,25.0,25.3,26.0,4.5,5.4,6.9,4,0
TL4,전곡리마을,20210901,AM,22.0,22.5,23.0,5.8,6.3,6.8,4,21
TL4,전곡리마을,20210901,PM,23.0,23.7,24.0,5.6,6.4,6.8,4,0
TL4,전곡리마을,20210902,AM,21.0,22.0,23.0,7.1,7.2,7.2,4,0
TL4,전곡리마을,20210902,PM,23.0,23.3,24.0,6.3,6.7,7.2,4,0
TL4,전곡리마을,20210903,AM,22.0,23.5,25.0,3.2,4.2,5.2,4,0
TL4,전곡리마을,20210903,PM,25.0,25.3,26.0,1.0,2.2,3.2,4,0
TL5,만돌마을,20210901,AM,25.0,25.5,26.0,4.5,4.5,4.5,4,0.8
TL5,만돌마을,20210901,PM,24.0,25.0,26.0,3.1,3.8,4.5,4,1.5
TL5,만돌마을,20210902,AM,24.0,24.5,25.0,3.6,3.7,3.8,4,0
TL5,만돌마을,20210902,PM,24.0,24.7,25.0,1.9,3.1,3.8,4,1.4
TL5,만돌마을,20210903,AM,24.0,25.0,26.0,1.4,1.9,2.4,4,0
TL5,만돌마을,20210903,PM,25.0,25.7,26.0,0.9,1.3,1.5,4,0
TL6,하전마을,20210901,AM,25.0,25.5,26.0,3.3,3.6,3.9,4,1.7
TL6,하전마을,20210901,PM,24.0,25.0,26.0,2.7,3.4,3.9,4,1.9
TL6,하전마을,20210902,AM,23.0,24.0,25.0,3.1,3.2,3.4,4,0
TL6,하전마을,20210902,PM,24.0,24.7,25.0,1.4,2.6,3.4,4,0.9
TL6,하전마을,20210903,AM,23.0,24.5,26.0,1.3,1.6,2.0,4,0
TL6,하전마을,20210903,PM,25.0,25.7,26.0,0.6,1.1,1.3,4,0
TL7,궁평마을,20210901,AM,22.0,22.0,22.0,5.4,5.9,6.4,4,37.4
TL7,궁평마을,20210901,PM,22.0,22.7,23.0,5.2,6.0,6.4,4,0
TL7,궁평마을,20210902,AM,20.0,21.0,22.0,6.4,6.6,6.7,4,0
TL7,궁평마을,20210902,PM,22.0,22.7,23.0,5.9,6.3,6.7,4,0
TL7,궁평마을,20210903,AM,21.0,22.5,24.0,3.5,4.3,5.1,4,0
TL7,궁평마을,20210903,PM,24.0,24.3,25.0,0.5,1.8,3.5,4,0
TL8,신리마을,20210901,AM,26.0,26.5,27.0,6.2,6.2,6.3,4,0
TL8,신리마을,20210901,PM,26.0,26.7,27.0,4.5,5.4,6.2,4,0
TL8,신리마을,20210902,AM,24.0,24.0,24.0,0.5,1.1,1.7,4,0
TL8,신리마을,20210902,PM,23.0,23.7,24.0,0.5,1.5,2.0,4,3.3
TL8,신리마을,20210903,AM,23.0,24.0,25.0,5.8,5.9,6.1,4,0
TL8,신리마을,20210903,PM,25.0,25.3,26.0,5.8,6.3,6.5,4,0
TL9,월하성마을,20210901,AM,24.0,24.5,25.0,1.7,2.7,3.7,4,31.9
TL9,월하성마을,20210901,PM,24.0,24.3,25.0,3.1,3.6,4.1,4,0
TL9,월하성마을,20210902,AM,23.0,23.5,24.0,4.2,4.2,4.3,4,0
TL9,월하성마을,20210902,PM,24.0,24.3,25.0,4.3,4.9,5.6,4,0
TL9,월하성마을,20210903,AM,23.0,24.5,26.0,3.0,4.0,5.1,4,0
TL9,월하성마을,20210903,PM,25.0,25.7,26.0,1.8,2.3,3.0,4,0
