OBS, STN, SST, MWHT
파고부이,신진도,23.6,0.4
파고부이,삽시도,24.1,0.5
파고부이,이작도,23.9,0.3
파고부이,자월도,23.6,0.4
파고부이,서천,24.7,0.4
파고부이,천수만,24.7,0.2
파고부이,안면도,24.1,0.2
파고부이,장봉도,23.9,0.2
파고부이,장안퇴,23.7,0.4
파고부이,연평도,25.1,0.5
파고부이,진도,22.2,0.2
파고부이,군산,25.0,0.5
파고부이,영광,25.2,0.4
파고부이,맹골수도,20.4,0.5
파고부이,대치마도,24.8,0.5
파고부이,비안도,25.4,0.5
파고부이,자은,24.4,0.7
파고부이,낙월,26.1,0.3
파고부이,변산,25.3,0.3
파고부이,조도,21.2,0.2
파고부이,불무도,21.8,0.3
파고부이,위도,24.6,0.5
파고부이,위도동부,25.5,0.3
파고부이,청산도,23.5,0.5
파고부이,금오도,25.5,0.8
파고부이,노화도,25.1,0.3
파고부이,고흥,25.8,0.3
파고부이,나로도,26.2,0.6
파고부이,초도,24.1,0.4
파고부이,제주항,26.8,0.4
파고부이,중문,25.0,0.4
파고부이,추자도,25.4,0.5
파고부이,우도,27.1,0.4
파고부이,가파도,26.1,0.7
파고부이,협재,27.7,0.6
파고부이,김녕,27.1,0.4
파고부이,신산,26.1,0.5
파고부이,영락,25.2,0.7
파고부이,구엄,27.5,0.5
파고부이,위미,25.8,0.7
파고부이,신창,29.2,1.0
파고부이,하도,27.1,0.4
파고부이,두미도,26.2,0.4
파고부이,장안,24.9,0.7
파고부이,해금강,24.6,1.0
파고부이,오륙도,25.0,0.9
파고부이,다대포,24.2,0.5
파고부이,한산도,25.5,0.4
파고부이,잠도,26.3,0.2
파고부이,소매물도,25.9,0.5
파고부이,남해,24.2,0.5
파고부이,연화도,25.7,0.7
파고부이,사량도,25.1,0.1
파고부이,기장,25.3,1.2
파고부이,지심도,25.2,1.3
파고부이,이수도,25.0,0.5
파고부이,후포,22.9,1.3
파고부이,간절곶,22.5,-999.0
파고부이,월포,23.9,1.3
파고부이,당사,23.5,1.1
파고부이,죽변,25.0,1.3
파고부이,구룡포,23.4,1.4
파고부이,독도,23.0,1.0
파고부이,혈암,23.2,0.4
파고부이,구암,23.4,0.3
파고부이,연곡,19.8,0.9
파고부이,울릉읍,24.2,1.3
파고부이,토성,22.3,1.2
파고부이,맹방,19.9,0.9
파고부이,울릉서부,-999.0,-999.0
파고부이,고성,22.5,0.9
파고부이,강릉,22.9,1.0
파고부이,삼척,-999.0,-999.0
해양기상,울릉도,-999.0,1.4
해양기상,덕적도,23.9,0.4
해양기상,거문도,24.5,0.7
해양기상,거제도,25.8,1.9
해양기상,동해,24.3,1.3
해양기상,포항,25.3,1.8
해양기상,마라도,27.7,0.8
해양기상,외연도,25.8,0.6
해양기상,신안,24.7,-999.0
해양기상,추자도,26.5,0.6
해양기상,인천,24.2,0.7
해양기상,부안,25.7,0.7
해양기상,서귀포,28.0,0.9
해양기상,통영,25.8,1.4
해양기상,울산,26.5,1.9
해양기상,울진,26.2,1.4
해양기상,서해170,25.9,0.5
해양기상,서해206,27.2,0.7
해양기상,가거도,24.1,0.7
해양기상,홍도,26.3,0.8
해양기상,서해190,27.1,0.7
